STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
6,75,Panipat,0,Panipat,0,Panipat,"Panipat,Panipat,Panipat,Haryana,India"
6,75,Panipat,375,Panipat,0,Panipat,"Panipat,Panipat,Panipat,Haryana,India"
6,76,Sonipat,0,Sonipat,0,Sonipat,"Sonipat,Sonipat,Sonipat,Haryana,India"
6,76,Sonipat,380,Sonipat,0,Sonipat,"Sonipat,Sonipat,Sonipat,Haryana,India"
9,134,Bijnor,712,Najibabad,111528,Mahavatpur Dalpat,"Mahavatpur Dalpat,Najibabad,Bijnor,Uttar Pradesh,India"
9,134,Bijnor,714,Nagina,112860,Heerapur Nilapat,"Heerapur Nilapat,Nagina,Bijnor,Uttar Pradesh,India"
9,134,Bijnor,714,Nagina,113044,Sripat,"Sripat,Nagina,Bijnor,Uttar Pradesh,India"
9,134,Bijnor,715,Dhampur,113744,Jamalpur Mahipat,"Jamalpur Mahipat,Dhampur,Bijnor,Uttar Pradesh,India"
9,136,Rampur,724,Tanda,116557,Manpur Chapat,"Manpur Chapat,Tanda,Rampur,Uttar Pradesh,India"
9,136,Rampur,724,Tanda,116592,Saharia Narpat,"Saharia Narpat,Tanda,Rampur,Uttar Pradesh,India"
9,139,Baghpat,0,Baghpat,0,Baghpat,"Baghpat,Baghpat,Baghpat,Uttar Pradesh,India"
9,139,Baghpat,736,Baghpat,0,Baghpat,"Baghpat,Baghpat,Baghpat,Uttar Pradesh,India"
9,140,Ghaziabad,738,Modinagar,119554,Mohammadpur Amad Baghpat,"Mohammadpur Amad Baghpat,Modinagar,Ghaziabad,Uttar Pradesh,India"
9,141,Gautam Buddha Nagar,742,Dadri,120184,Junpat,"Junpat,Dadri,Gautam Buddha Nagar,Uttar Pradesh,India"
9,143,Aligarh,754,Atrauli,122108,Orenidalpat,"Orenidalpat,Atrauli,Aligarh,Uttar Pradesh,India"
9,147,Firozabad,772,Firozabad,125574,:Garhi Chhatrapat,":Garhi Chhatrapat,Firozabad,Firozabad,Uttar Pradesh,India"
9,147,Firozabad,773,Jasrana ,125656,Fatehpurpat,"Fatehpurpat,Jasrana,Firozabad,Uttar Pradesh,India"
9,150,Bareilly,788,Nawabganj ,130735,Guladia Mahipat,"Guladia Mahipat,Nawabganj,Bareilly,Uttar Pradesh,India"
9,150,Bareilly,789,Faridpur ,130819,Khajuria Shampat,"Khajuria Shampat,Faridpur,Bareilly,Uttar Pradesh,India"
9,151,Pilibhit,791,Bisalpur,131909,Simra Mahipat,"Simra Mahipat,Bisalpur,Pilibhit,Uttar Pradesh,India"
9,152,Shahjahanpur,794,Tilhar,133399,Paharipur Bhoopat,"Paharipur Bhoopat,Tilhar,Shahjahanpur,Uttar Pradesh,India"
9,161,Etawah,836,Jaswantnagar,147408,Aarazi Sarai Bhopat,"Aarazi Sarai Bhopat,Jaswantnagar,Etawah,Uttar Pradesh,India"
9,161,Etawah,836,Jaswantnagar,147410,Sarai Bhopat,"Sarai Bhopat,Jaswantnagar,Etawah,Uttar Pradesh,India"
9,164,Kanpur Nagar,848,Bilhaur ,150089,Nevada Tarapat,"Nevada Tarapat,Bilhaur,Kanpur Nagar,Uttar Pradesh,India"
9,171,Chitrakoot,875,Karwi,155716,Chak Bhupat,"Chak Bhupat,Karwi,Chitrakoot,Uttar Pradesh,India"
9,173,Pratapgarh,880,Lalganj ,157760,Saraidalpat,"Saraidalpat,Lalganj,Pratapgarh,Uttar Pradesh,India"
9,173,Pratapgarh,882,Pratapgarh,158957,Sarai Bhoopat,"Sarai Bhoopat,Pratapgarh,Pratapgarh,Uttar Pradesh,India"
9,175,Allahabad ,891,Bara  ,162004,Hinauti Duniyapat,"Hinauti Duniyapat,Bara,Allahabad,Uttar Pradesh,India"
9,177,Faizabad,903,Milkipur,165927,Sonhar Ganpat,"Sonhar Ganpat,Milkipur,Faizabad,Uttar Pradesh,India"
9,183,Gonda,928,Gonda ,174340,Jagdeeshpur Sanpat,"Jagdeeshpur Sanpat,Gonda,Gonda,Uttar Pradesh,India"
9,190,Deoria,959,Deoria,190091,Bishunpur Dalpat,"Bishunpur Dalpat,Deoria,Deoria,Uttar Pradesh,India"
9,190,Deoria,962,Salempur,191399,Bardiha Dalpat,"Bardiha Dalpat,Salempur,Deoria,Uttar Pradesh,India"
9,193,Ballia,975,Belthara Road,197811,Kupat,"Kupat,Belthara Road,Ballia,Uttar Pradesh,India"
9,193,Ballia,978,Ballia,199061,Patkhouli Mustkle Samrathpat,"Patkhouli Mustkle Samrathpat,Ballia,Ballia,Uttar Pradesh,India"
9,195,Ghazipur,988,Saidpur,204106,Sona Bhupat,"Sona Bhupat,Saidpur,Ghazipur,Uttar Pradesh,India"
9,195,Ghazipur,989,Ghazipur,204732,Jagadishpur Vidyapat,"Jagadishpur Vidyapat,Ghazipur,Ghazipur,Uttar Pradesh,India"
9,199,Mirzapur,1003,Chunar,212738,Amarpat,"Amarpat,Chunar,Mirzapur,Uttar Pradesh,India"
