STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
14,272,Senapati,1863,Sadar Hills East,268960,Urangpat,"Urangpat,Sadar Hills East,Senapati,Manipur,India"
14,272,Senapati,1863,Sadar Hills East,268998,Ngakhapat,"Ngakhapat,Sadar Hills East,Senapati,Manipur,India"
14,274,Churachandpur,1871,Churachandpur,269780,Lailampat,"Lailampat,Churachandpur,Churachandpur,Manipur,India"
14,276,Thoubal,1878,Kakching,269989,Loushipat,"Loushipat,Kakching,Thoubal,Manipur,India"
14,276,Thoubal,1878,Kakching,269993,Kharungpat,"Kharungpat,Kakching,Thoubal,Manipur,India"
14,276,Thoubal,1878,Kakching,270005,Laphupat,"Laphupat,Kakching,Thoubal,Manipur,India"
14,277,Imphal West,1879,Lamshang,270053,Khonghampat,"Khonghampat,Lamshang,Imphal West,Manipur,India"
14,277,Imphal West,1881,Lamphelpat,0,Lamphelpat,"Lamphelpat,Lamphelpat,Imphal West,Manipur,India"
14,278,Imphal East,1885,Porompat,0,Porompat,"Porompat,Porompat,Imphal East,Manipur,India"
14,278,Imphal East,1885,Porompat,270291,Laingampat,"Laingampat,Porompat,Imphal East,Manipur,India"
14,278,Imphal East,1885,Porompat,270298,Makhapat,"Makhapat,Porompat,Imphal East,Manipur,India"
14,278,Imphal East,1885,Porompat,270302,Gangapat,"Gangapat,Porompat,Imphal East,Manipur,India"
14,280,Chandel,1894,Chandel ,270774,Unopat,"Unopat,Chandel,Chandel,Manipur,India"
