STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
10,203,Pashchim Champaran,1018,Lauriya,216745,Pandepatti,"Pandepatti,Lauriya,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1024,Jogapatti,0,Jogapatti,"Jogapatti,Jogapatti,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1024,Jogapatti,217047,Sihpatti,"Sihpatti,Jogapatti,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1024,Jogapatti,217057,Kuarpatti,"Kuarpatti,Jogapatti,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1024,Jogapatti,217058,Dularpatti,"Dularpatti,Jogapatti,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1024,Jogapatti,217065,Laukaria Jogapatti,"Laukaria Jogapatti,Jogapatti,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1024,Jogapatti,217075,Manopatti,"Manopatti,Jogapatti,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1024,Jogapatti,217086,Basopatti,"Basopatti,Jogapatti,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1024,Jogapatti,217110,Bharthapatti,"Bharthapatti,Jogapatti,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1025,Chanpatia,217161,Karampatti,"Karampatti,Chanpatia,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1025,Chanpatia,217196,Bandipatti,"Bandipatti,Chanpatia,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1025,Chanpatia,217197,Turhapatti,"Turhapatti,Chanpatia,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1028,Bettiah,217364,Tola Loharpatti,"Tola Loharpatti,Bettiah,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1030,Nautan,217450,Rekha Sundarpatti,"Rekha Sundarpatti,Nautan,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1030,Nautan,217451,Lilapatti,"Lilapatti,Nautan,Pashchim Champaran,Bihar,India"
10,203,Pashchim Champaran,1030,Nautan,217454,Churamanpatti,"Churamanpatti,Nautan,Pashchim Champaran,Bihar,India"
10,205,Sheohar,1062,Tariani Chowk,218904,Khurpatti,"Khurpatti,Tariani Chowk,Sheohar,Bihar,India"
10,206,Sitamarhi,1067,Parihar,219171,Jabdi Loharpatti,"Jabdi Loharpatti,Parihar,Sitamarhi,Bihar,India"
10,206,Sitamarhi,1067,Parihar,219193,Sardalpatti,"Sardalpatti,Parihar,Sitamarhi,Bihar,India"
10,206,Sitamarhi,1067,Parihar,219201,Mahadeopatti,"Mahadeopatti,Parihar,Sitamarhi,Bihar,India"
10,206,Sitamarhi,1068,Sursand,219208,Raghunipatti,"Raghunipatti,Sursand,Sitamarhi,Bihar,India"
10,206,Sitamarhi,1068,Sursand,219223,Sihniapatti,"Sihniapatti,Sursand,Sitamarhi,Bihar,India"
10,206,Sitamarhi,1068,Sursand,219229,Chandpatti,"Chandpatti,Sursand,Sitamarhi,Bihar,India"
