STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
20,351,Godda,2556,Thakurgangti,355849,Kurpatti,"Kurpatti,Thakurgangti,Godda,Jharkhand,India"
20,360,Hazaribagh,2644,Chauparan,367643,Bhaiapatti,"Bhaiapatti,Chauparan,Hazaribagh,Jharkhand,India"
20,362,Dumka,2666,Saraiyahat,369568,Pagwara Pachhimpatti,"Pagwara Pachhimpatti,Saraiyahat,Dumka,Jharkhand,India"
20,362,Dumka,2666,Saraiyahat,369570,Pagwara Purabpatti,"Pagwara Purabpatti,Saraiyahat,Dumka,Jharkhand,India"
20,362,Dumka,2666,Saraiyahat,369605,Mahtopatti,"Mahtopatti,Saraiyahat,Dumka,Jharkhand,India"
20,362,Dumka,2668,Ramgarh,370403,Sarsa Pachhimpatti,"Sarsa Pachhimpatti,Ramgarh,Dumka,Jharkhand,India"
20,362,Dumka,2668,Ramgarh,370405,Sarsa Purabpatti,"Sarsa Purabpatti,Ramgarh,Dumka,Jharkhand,India"
20,362,Dumka,2674,Jama,371630,Pargadih Purabpatti,"Pargadih Purabpatti,Jama,Dumka,Jharkhand,India"
20,362,Dumka,2674,Jama,371720,Hardipatti,"Hardipatti,Jama,Dumka,Jharkhand,India"
20,362,Dumka,2674,Jama,371849,Rajpatti,"Rajpatti,Jama,Dumka,Jharkhand,India"
