STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
28,541,Khammam,4730,Bhadrachalam,579079,Mummadivaru,"Mummadivaru,Bhadrachalam,Khammam,India"
28,542,Srikakulam,4769,Veeraghattam,579943,Adaru,"Adaru,Veeraghattam,Srikakulam,India"
28,542,Srikakulam,4774,Meliaputti,580212,Dabaru,"Dabaru,Meliaputti,Srikakulam,India"
28,542,Srikakulam,4774,Meliaputti,580224,Thumukinda Banjaru,"Thumukinda Banjaru,Meliaputti,Srikakulam,India"
28,542,Srikakulam,4776,Mandasa,580339,Dabaru,"Dabaru,Mandasa,Srikakulam,India"
28,542,Srikakulam,4791,Kotabommali,581082,Tilaru,"Tilaru,Kotabommali,Srikakulam,India"
28,543,Vizianagaram,4812,Parvathipuram,582157,Adaru,"Adaru,Parvathipuram,Vizianagaram,India"
28,543,Vizianagaram,4817,Salur,582384,Mudakaru,"Mudakaru,Salur,Vizianagaram,India"
28,543,Vizianagaram,4817,Salur,582393,Kudakaru,"Kudakaru,Salur,Vizianagaram,India"
28,544,Visakhapatnam,4841,Munchingi Puttu,583292,Jalaripodaru,"Jalaripodaru,Munchingi Puttu,Visakhapatnam,India"
28,544,Visakhapatnam,4841,Munchingi Puttu,583295,Mallipodaru,"Mallipodaru,Munchingi Puttu,Visakhapatnam,India"
28,544,Visakhapatnam,4841,Munchingi Puttu,583304,Japparu,"Japparu,Munchingi Puttu,Visakhapatnam,India"
28,544,Visakhapatnam,4841,Munchingi Puttu,583313,Langbapodaru,"Langbapodaru,Munchingi Puttu,Visakhapatnam,India"
28,544,Visakhapatnam,4841,Munchingi Puttu,583316,Karlapodaru,"Karlapodaru,Munchingi Puttu,Visakhapatnam,India"
28,544,Visakhapatnam,4842,Peda Bayalu,583673,Nanubaru,"Nanubaru,Peda Bayalu,Visakhapatnam,India"
28,544,Visakhapatnam,4844,Araku Valley,583952,Chendrapodaru,"Chendrapodaru,Araku Valley,Visakhapatnam,India"
28,544,Visakhapatnam,4844,Araku Valley,584038,Piripodaru,"Piripodaru,Araku Valley,Visakhapatnam,India"
28,544,Visakhapatnam,4844,Araku Valley,584099,Adaru,"Adaru,Araku Valley,Visakhapatnam,India"
28,544,Visakhapatnam,4845,Ananthagiri,584192,Sorasapodaru,"Sorasapodaru,Ananthagiri,Visakhapatnam,India"
28,544,Visakhapatnam,4847,Paderu,584797,Varukaru,"Varukaru,Paderu,Visakhapatnam,India"
28,544,Visakhapatnam,4848,G.Madugula,584934,Pina Kiltharu,"Pina Kiltharu,G.Madugula,Visakhapatnam,India"
28,544,Visakhapatnam,4848,G.Madugula,584942,Pedda Kiltaru,"Pedda Kiltaru,G.Madugula,Visakhapatnam,India"
28,544,Visakhapatnam,4848,G.Madugula,585072,Gemmelibaru,"Gemmelibaru,G.Madugula,Visakhapatnam,India"
28,544,Visakhapatnam,4849,Chintapalle,585186,Joharu,"Joharu,Chintapalle,Visakhapatnam,India"
