STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
28,554,Chittoor,5381,Varadaiahpalem,595963,Padirikuppam,"Padirikuppam,Varadaiahpalem,Chittoor,India"
28,554,Chittoor,5397,Vedurukuppam,0,Vedurukuppam,"Vedurukuppam,Vedurukuppam,Chittoor,India"
28,554,Chittoor,5397,Vedurukuppam,596204,Kurivikuppam,"Kurivikuppam,Vedurukuppam,Chittoor,India"
28,554,Chittoor,5397,Vedurukuppam,596207,Vedurukuppam,"Vedurukuppam,Vedurukuppam,Chittoor,India"
28,554,Chittoor,5402,Satyavedu,596310,Rallakuppam,"Rallakuppam,Satyavedu,Chittoor,India"
28,554,Chittoor,5402,Satyavedu,596322,Kothamarikuppam,"Kothamarikuppam,Satyavedu,Chittoor,India"
28,554,Chittoor,5402,Satyavedu,596329,Dasukuppam,"Dasukuppam,Satyavedu,Chittoor,India"
28,554,Chittoor,5402,Satyavedu,596331,Pedukuppam,"Pedukuppam,Satyavedu,Chittoor,India"
28,554,Chittoor,5406,Nagari,596399,Nagarajukuppam,"Nagarajukuppam,Nagari,Chittoor,India"
28,554,Chittoor,5406,Nagari,596402,Oranthangal Gollakuppam,"Oranthangal Gollakuppam,Nagari,Chittoor,India"
28,554,Chittoor,5407,Puttur,596403,Kasamkuppam,"Kasamkuppam,Puttur,Chittoor,India"
28,554,Chittoor,5407,Puttur,596413,Tirumalakuppam,"Tirumalakuppam,Puttur,Chittoor,India"
28,554,Chittoor,5408,Karvetinagar,596420,Kesavakuppam,"Kesavakuppam,Karvetinagar,Chittoor,India"
28,554,Chittoor,5419,Srirangarajapuram,596622,Pillarikuppam,"Pillarikuppam,Srirangarajapuram,Chittoor,India"
28,554,Chittoor,5419,Srirangarajapuram,596626,Muddikuppam,"Muddikuppam,Srirangarajapuram,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596790,Padigalakuppam,"Padigalakuppam,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596792,Sivunikuppam,"Sivunikuppam,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596807,Bendanakuppam,"Bendanakuppam,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596809,Konerukuppam,"Konerukuppam,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596837,Dandikuppam,"Dandikuppam,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596859,Anchinayanikuppam,"Anchinayanikuppam,Santhipuram,Chittoor,India"
28,554,Chittoor,5428,Ramakuppam,0,Ramakuppam,"Ramakuppam,Ramakuppam,Chittoor,India"
28,554,Chittoor,5428,Ramakuppam,596986,Ramakuppam,"Ramakuppam,Ramakuppam,Chittoor,India"
28,554,Chittoor,5428,Ramakuppam,596987,Attikuppam,"Attikuppam,Ramakuppam,Chittoor,India"
28,554,Chittoor,5428,Ramakuppam,596993,Kadasinakuppam,"Kadasinakuppam,Ramakuppam,Chittoor,India"
28,554,Chittoor,5429,Bangarupalem,597016,Sadakuppam,"Sadakuppam,Bangarupalem,Chittoor,India"
28,554,Chittoor,5431,Gudipala,597091,Marakalakuppam,"Marakalakuppam,Gudipala,Chittoor,India"
28,554,Chittoor,5432,Palasamudram,597102,Vengalarajukuppam,"Vengalarajukuppam,Palasamudram,Chittoor,India"
