STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
28,534,Karimnagar,4432,Yellareddipet,572402,Dumala,"Dumala,Yellareddipet,Karimnagar,India"
28,534,Karimnagar,4433,Gambhiraopet,572423,Narmala,"Narmala,Gambhiraopet,Karimnagar,India"
28,538,Mahbubnagar,4603,Gadwal,576231,Paramala,"Paramala,Gadwal,Mahbubnagar,India"
28,539,Nalgonda,4623,Jaji Reddi Gudem,576657,Kommala,"Kommala,Jaji Reddi Gudem,Nalgonda,India"
28,539,Nalgonda,4660,Anumula,577409,Mukkamala,"Mukkamala,Anumula,Nalgonda,India"
28,540,Warangal,4707,Geesugonda,578353,Kommala,"Kommala,Geesugonda,Warangal,India"
28,541,Khammam,4724,Venkatapuram,578764,Chalamala,"Chalamala,Venkatapuram,Khammam,India"
28,541,Khammam,4726,Cherla,578878,Chalamala,"Chalamala,Cherla,Khammam,India"
28,541,Khammam,4732,Chintur,579170,Tummala,"Tummala,Chintur,Khammam,India"
28,541,Khammam,4761,Konijerla,579764,Konda Vanamala,"Konda Vanamala,Konijerla,Khammam,India"
28,542,Srikakulam,4774,Meliaputti,580177,Kosamala,"Kosamala,Meliaputti,Srikakulam,India"
28,542,Srikakulam,4776,Mandasa,580322,Kusumala,"Kusumala,Mandasa,Srikakulam,India"
28,543,Vizianagaram,4817,Salur,582355,Poyimala,"Poyimala,Salur,Vizianagaram,India"
28,543,Vizianagaram,4817,Salur,582359,Chintamala,"Chintamala,Salur,Vizianagaram,India"
28,544,Visakhapatnam,4853,Golugonda,585776,Cheedigummala,"Cheedigummala,Golugonda,Visakhapatnam,India"
28,544,Visakhapatnam,4855,Rolugunta,585819,Kanchugummala,"Kanchugummala,Rolugunta,Visakhapatnam,India"
28,545,East Godavari,4935,Ambajipeta,587802,Mukkamala,"Mukkamala,Ambajipeta,East Godavari,India"
28,546,West Godavari,4955,Dwarakatirumala,0,Dwarakatirumala,"Dwarakatirumala,Dwarakatirumala,West Godavari,India"
28,546,West Godavari,4955,Dwarakatirumala,588238,Dwarakatirumala,"Dwarakatirumala,Dwarakatirumala,West Godavari,India"
28,546,West Godavari,4971,Peravali,588537,Mukkamala,"Mukkamala,Peravali,West Godavari,India"
28,548,Guntur,5061,Bollapalle,590060,Gandiganumala,"Gandiganumala,Bollapalle,Guntur,India"
28,549,Prakasam,5145,Chandra Sekhara Puram,591440,Talaneelamala,"Talaneelamala,Chandra Sekhara Puram,Prakasam,India"
28,550,Sri Potti Sriramulu Nellore,5188,Balayapalle,592432,Mallemala,"Mallemala,Balayapalle,Sri Potti Sriramulu Nellore,India"
28,550,Sri Potti Sriramulu Nellore,5189,Ojili,592454,Manamala,"Manamala,Ojili,Sri Potti Sriramulu Nellore,India"
