STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
28,554,Chittoor,5424,Venkatagirikota,596771,Nernipalle,"Nernipalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596772,Peddanapalle,"Peddanapalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596773,Paipalle,"Paipalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596774,Patrapalle,"Patrapalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596775,Hanumapalle,"Hanumapalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596776,Tirumala  Pichigundlapalle,"Tirumala  Pichigundlapalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596777,Bodiguttapalle,"Bodiguttapalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596778,Gonumakulapalle,"Gonumakulapalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596779,Kumbarlapalle,"Kumbarlapalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596782,Mattiguttapalle,"Mattiguttapalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596784,Bairupalle,"Bairupalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596785,Gudipalle,"Gudipalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596786,Papepalle,"Papepalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596788,Pedda Bharanipalle,"Pedda Bharanipalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596793,Nadeetheeram Dasarlapalle,"Nadeetheeram Dasarlapalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596795,Panuganipalle,"Panuganipalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596796,Jodiverrivanipalle,"Jodiverrivanipalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596798,S.Bandapalle,"S.Bandapalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596799,Konerugollapalle,"Konerugollapalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5424,Venkatagirikota,596800,Chintamakulapalle,"Chintamakulapalle,Venkatagirikota,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596803,Vadagandlapalle,"Vadagandlapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596806,Regadadinnepalle,"Regadadinnepalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596811,Chinthakampalle,"Chinthakampalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596814,Chinagandlapalle,"Chinagandlapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596816,Boyanapalle,"Boyanapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596817,Gundusettipalle,"Gundusettipalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596818,Matam Santhampalle,"Matam Santhampalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596819,Kenamakulapalle,"Kenamakulapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596821,Gunjarlapalle,"Gunjarlapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596824,Gesikapalle,"Gesikapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596827,Muddanapalle,"Muddanapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596828,Cheemanapalle,"Cheemanapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596830,Jalliganipalle,"Jalliganipalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596831,Morasanapalle,"Morasanapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596833,Donkumanipalle,"Donkumanipalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596834,Arimuthanapalle,"Arimuthanapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596835,Nallarallapalle,"Nallarallapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596836,Chowdampalle,"Chowdampalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596838,Sonnegownipalle,"Sonnegownipalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596841,Kadirimuthanapalle,"Kadirimuthanapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596842,Redlapalle,"Redlapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596843,Veduruguttapalle,"Veduruguttapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596844,Kadiriobanapalle,"Kadiriobanapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596846,Sonnegownnipalle,"Sonnegownnipalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596847,Thammiganipalle,"Thammiganipalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596851,Madanapalle,"Madanapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596852,Kadapalle,"Kadapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596853,Banthimadugu Gollapalle,"Banthimadugu Gollapalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596854,Chillamanipalle,"Chillamanipalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596855,Jeedimanipalle,"Jeedimanipalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5425,Santhipuram,596858,Santhampalle,"Santhampalle,Santhipuram,Chittoor,India"
28,554,Chittoor,5426,Gudupalle,0,Gudupalle,"Gudupalle,Gudupalle,Chittoor,India"
