STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
28,532,Adilabad,4324,Boath,569704,Anduru,"Anduru,Boath,Adilabad,India"
28,532,Adilabad,4335,Kaddam,570055,Kondkuru,"Kondkuru,Kaddam,Adilabad,India"
28,535,Medak,4485,Wargal,573682,Veluru,"Veluru,Wargal,Medak,India"
28,538,Mahbubnagar,4581,Telkapalle,575690,Gattunellikuduru,"Gattunellikuduru,Telkapalle,Mahbubnagar,India"
28,538,Mahbubnagar,4581,Telkapalle,575691,Pedduru,"Pedduru,Telkapalle,Mahbubnagar,India"
28,538,Mahbubnagar,4582,Tadoor,575705,Akunellikuduru,"Akunellikuduru,Tadoor,Mahbubnagar,India"
28,538,Mahbubnagar,4582,Tadoor,575715,Gunthakoduru,"Gunthakoduru,Tadoor,Mahbubnagar,India"
28,538,Mahbubnagar,4608,Veepangandla,576328,Konduru,"Konduru,Veepangandla,Mahbubnagar,India"
28,539,Nalgonda,4617,Alair,576542,Kolluru,"Kolluru,Alair,Nalgonda,India"
28,539,Nalgonda,4635,Kattangoor,576900,Eduluru,"Eduluru,Kattangoor,Nalgonda,India"
28,539,Nalgonda,4639,Chivvemla,576977,Gunjaluru,"Gunjaluru,Chivvemla,Nalgonda,India"
28,539,Nalgonda,4671,Mella Cheruvu,577593,Revuru,"Revuru,Mella Cheruvu,Nalgonda,India"
28,540,Warangal,4696,Zaffergadh,578179,Thammadapalle Guduru,"Thammadapalle Guduru,Zaffergadh,Warangal,India"
28,540,Warangal,4698,Raghunathpalle,578221,Koduru,"Koduru,Raghunathpalle,Warangal,India"
28,540,Warangal,4700,Lingalaghanpur,578247,Cheeturu,"Cheeturu,Lingalaghanpur,Warangal,India"
28,540,Warangal,4703,Raiparthy,578287,Konduru,"Konduru,Raiparthy,Warangal,India"
28,541,Khammam,4723,Wazeed,578688,Peruru,"Peruru,Wazeed,Khammam,India"
28,541,Khammam,4723,Wazeed,578689,Peruru,"Peruru,Wazeed,Khammam,India"
28,541,Khammam,4723,Wazeed,578725,Koppusuru,"Koppusuru,Wazeed,Khammam,India"
28,541,Khammam,4723,Wazeed,578731,Morumuru,"Morumuru,Wazeed,Khammam,India"
28,541,Khammam,4723,Wazeed,578732,Morumuru,"Morumuru,Wazeed,Khammam,India"
28,541,Khammam,4726,Cherla,578847,Koyyuru,"Koyyuru,Cherla,Khammam,India"
28,541,Khammam,4726,Cherla,578853,Kothuru,"Kothuru,Cherla,Khammam,India"
28,541,Khammam,4726,Cherla,578906,Kudunuru,"Kudunuru,Cherla,Khammam,India"
28,541,Khammam,4726,Cherla,578907,Kudunuru,"Kudunuru,Cherla,Khammam,India"
28,541,Khammam,4727,Manuguru,0,Manuguru,"Manuguru,Manuguru,Khammam,India"
28,541,Khammam,4729,Dummugudem,578970,Kothuru,"Kothuru,Dummugudem,Khammam,India"
28,541,Khammam,4731,Kunavaram,579097,Kuturu,"Kuturu,Kunavaram,Khammam,India"
28,541,Khammam,4731,Kunavaram,579098,Mulluru,"Mulluru,Kunavaram,Khammam,India"
28,541,Khammam,4731,Kunavaram,579104,Bodunuru,"Bodunuru,Kunavaram,Khammam,India"
28,541,Khammam,4731,Kunavaram,579109,Kothuru,"Kothuru,Kunavaram,Khammam,India"
28,541,Khammam,4731,Kunavaram,579112,Palluru,"Palluru,Kunavaram,Khammam,India"
28,541,Khammam,4732,Chintur,579178,Kummuru,"Kummuru,Chintur,Khammam,India"
28,541,Khammam,4732,Chintur,579180,Ulumuru,"Ulumuru,Chintur,Khammam,India"
28,541,Khammam,4732,Chintur,579188,Mukkunuru,"Mukkunuru,Chintur,Khammam,India"
28,541,Khammam,4732,Chintur,579192,Kolthuru,"Kolthuru,Chintur,Khammam,India"
28,541,Khammam,4732,Chintur,579193,Kansuluru,"Kansuluru,Chintur,Khammam,India"
28,541,Khammam,4732,Chintur,579202,Kuyuguru,"Kuyuguru,Chintur,Khammam,India"
28,541,Khammam,4732,Chintur,579206,Guduru,"Guduru,Chintur,Khammam,India"
28,541,Khammam,4732,Chintur,579225,Chowluru,"Chowluru,Chintur,Khammam,India"
28,541,Khammam,4733,Vararamachandrapuram,579245,Kunduluru,"Kunduluru,Vararamachandrapuram,Khammam,India"
28,541,Khammam,4733,Vararamachandrapuram,579250,Tekuluru,"Tekuluru,Vararamachandrapuram,Khammam,India"
28,541,Khammam,4733,Vararamachandrapuram,579252,Venkuturu,"Venkuturu,Vararamachandrapuram,Khammam,India"
28,541,Khammam,4733,Vararamachandrapuram,579278,Kothuru,"Kothuru,Vararamachandrapuram,Khammam,India"
28,541,Khammam,4733,Vararamachandrapuram,579279,Kalthunuru,"Kalthunuru,Vararamachandrapuram,Khammam,India"
28,541,Khammam,4733,Vararamachandrapuram,579282,Isunuru,"Isunuru,Vararamachandrapuram,Khammam,India"
28,541,Khammam,4733,Vararamachandrapuram,579288,Ippuru,"Ippuru,Vararamachandrapuram,Khammam,India"
28,541,Khammam,4733,Vararamachandrapuram,579293,Kolluru,"Kolluru,Vararamachandrapuram,Khammam,India"
28,541,Khammam,4734,Velairpadu,579299,Kothuru,"Kothuru,Velairpadu,Khammam,India"
28,541,Khammam,4734,Velairpadu,579302,Tekuru,"Tekuru,Velairpadu,Khammam,India"
28,541,Khammam,4735,Kukunoor,579315,Gommuru,"Gommuru,Kukunoor,Khammam,India"
28,541,Khammam,4743,Garla,579451,Pulluru,"Pulluru,Garla,Khammam,India"
28,541,Khammam,4747,Chandrugonda,579501,Maddukuru,"Maddukuru,Chandrugonda,Khammam,India"
28,541,Khammam,4750,Dammapeta,579538,Katkuru,"Katkuru,Dammapeta,Khammam,India"
28,541,Khammam,4753,Enkuru,0,Enkuru,"Enkuru,Enkuru,Khammam,India"
28,541,Khammam,4753,Enkuru,579601,Enkuru,"Enkuru,Enkuru,Khammam,India"
28,541,Khammam,4760,Chinthakani,579733,Kodumuru,"Kodumuru,Chinthakani,Khammam,India"
28,541,Khammam,4762,Tallada,579781,Muddunuru,"Muddunuru,Tallada,Khammam,India"
28,541,Khammam,4763,Kallur,579787,Chennuru,"Chennuru,Kallur,Khammam,India"
28,541,Khammam,4763,Kallur,579790,Talluru,"Talluru,Kallur,Khammam,India"
28,541,Khammam,4766,Madhira,579855,Atukuru,"Atukuru,Madhira,Khammam,India"
28,541,Khammam,4766,Madhira,579860,Dendukuru,"Dendukuru,Madhira,Khammam,India"
28,541,Khammam,4766,Madhira,579867,Illuru,"Illuru,Madhira,Khammam,India"
28,541,Khammam,4766,Madhira,579868,Chilukuru,"Chilukuru,Madhira,Khammam,India"
28,541,Khammam,4767,Yerrupalem,579878,Mamunuru,"Mamunuru,Yerrupalem,Khammam,India"
28,541,Khammam,4768,Vemsoor,579903,Guduru,"Guduru,Vemsoor,Khammam,India"
28,541,Khammam,4768,Vemsoor,579908,Kandukuru,"Kandukuru,Vemsoor,Khammam,India"
28,542,Srikakulam,4769,Veeraghattam,579916,Pedduru,"Pedduru,Veeraghattam,Srikakulam,India"
28,542,Srikakulam,4769,Veeraghattam,579920,Nadukuru,"Nadukuru,Veeraghattam,Srikakulam,India"
28,542,Srikakulam,4770,Seethampeta,579977,Kusumuru,"Kusumuru,Seethampeta,Srikakulam,India"
28,542,Srikakulam,4770,Seethampeta,580027,Pedduru,"Pedduru,Seethampeta,Srikakulam,India"
28,542,Srikakulam,4770,Seethampeta,580055,Gulumuru,"Gulumuru,Seethampeta,Srikakulam,India"
28,542,Srikakulam,4772,Kothuru,0,Kothuru,"Kothuru,Kothuru,Srikakulam,India"
28,542,Srikakulam,4772,Kothuru,580102,Ponnuturu,"Ponnuturu,Kothuru,Srikakulam,India"
28,542,Srikakulam,4772,Kothuru,580107,Kothuru,"Kothuru,Kothuru,Srikakulam,India"
28,542,Srikakulam,4772,Kothuru,580126,Anguru,"Anguru,Kothuru,Srikakulam,India"
28,542,Srikakulam,4773,Pathapatnam,580138,Nallakotturu,"Nallakotturu,Pathapatnam,Srikakulam,India"
28,542,Srikakulam,4773,Pathapatnam,580153,Kotturu,"Kotturu,Pathapatnam,Srikakulam,India"
28,542,Srikakulam,4773,Pathapatnam,580175,Themburu,"Themburu,Pathapatnam,Srikakulam,India"
28,542,Srikakulam,4774,Meliaputti,580200,Chinna Pedda  Kothuru,"Chinna Pedda  Kothuru,Meliaputti,Srikakulam,India"
28,542,Srikakulam,4774,Meliaputti,580208,Kommuru,"Kommuru,Meliaputti,Srikakulam,India"
28,542,Srikakulam,4774,Meliaputti,580214,Gedalapoluru,"Gedalapoluru,Meliaputti,Srikakulam,India"
28,542,Srikakulam,4774,Meliaputti,580216,Joduru,"Joduru,Meliaputti,Srikakulam,India"
28,542,Srikakulam,4774,Meliaputti,580243,Kothuru,"Kothuru,Meliaputti,Srikakulam,India"
28,542,Srikakulam,4774,Meliaputti,580246,Naidupoluru,"Naidupoluru,Meliaputti,Srikakulam,India"
