STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
12,248,Papum Pare,1599,Gumto ,262521,Bogoli,"Bogoli,Gumto,Papum Pare,Arunachal Pradesh,India"
12,250,West Siang,1629,Kamba,263472,Karbak Moli,"Karbak Moli,Kamba,West Siang,Arunachal Pradesh,India"
12,250,West Siang,1629,Kamba,263474,Kambu Moli,"Kambu Moli,Kamba,West Siang,Arunachal Pradesh,India"
12,250,West Siang,1629,Kamba,263501,Balek Goli,"Balek Goli,Kamba,West Siang,Arunachal Pradesh,India"
12,250,West Siang,1642,Bagra ,263770,Pigi Moli,"Pigi Moli,Bagra,West Siang,Arunachal Pradesh,India"
12,251,East Siang,1650,Nari ,263843,Depi Moli,"Depi Moli,Nari,East Siang,Arunachal Pradesh,India"
12,251,East Siang,1653,Ruksin ,263867,Rayang Moli,"Rayang Moli,Ruksin,East Siang,Arunachal Pradesh,India"
12,255,Lower Subansiri,1696,Old Ziro ,264816,Myoli,"Myoli,Old Ziro,Lower Subansiri,Arunachal Pradesh,India"
12,255,Lower Subansiri,1698,Yazali ,264909,Khompu Nyoli,"Khompu Nyoli,Yazali,Lower Subansiri,Arunachal Pradesh,India"
12,257,Dibang Valley,1718,Anini ,265952,Matoli,"Matoli,Anini,Dibang Valley,Arunachal Pradesh,India"
12,257,Dibang Valley,1720,Anelih,266015,Aoli,"Aoli,Anelih,Dibang Valley,Arunachal Pradesh,India"
12,257,Dibang Valley,1721,Kronli (Arzoo circle),266024,Aoli,"Aoli,Kronli (Arzoo circle),Dibang Valley,Arunachal Pradesh,India"
12,258,Lower Dibang Valley,1722,Hunli,266069,Esoli,"Esoli,Hunli,Lower Dibang Valley,Arunachal Pradesh,India"
12,258,Lower Dibang Valley,1722,Hunli,266086,Kebaboli,"Kebaboli,Hunli,Lower Dibang Valley,Arunachal Pradesh,India"
12,258,Lower Dibang Valley,1727,Koronu,266353,Anuboli,"Anuboli,Koronu,Lower Dibang Valley,Arunachal Pradesh,India"
