STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
18,303,Barpeta,2019.0,Kalgachia,282695,Jamer Kur,"Jamer Kur,Kalgachia,Barpeta,Assam,India"
18,303,Barpeta,2022.0,Barpeta,283068,Khandarkur,"Khandarkur,Barpeta,Barpeta,Assam,India"
18,303,Barpeta,2022.0,Barpeta,283142,Nangalkur,"Nangalkur,Barpeta,Barpeta,Assam,India"
18,303,Barpeta,2023.0,Sarthebari,283191,Potlarkur,"Potlarkur,Sarthebari,Barpeta,Assam,India"
18,303,Barpeta,2025.0,Sarupeta,283357,Purbaluasur,"Purbaluasur,Sarupeta,Barpeta,Assam,India"
18,303,Barpeta,2025.0,Sarupeta,283406,Borkur,"Borkur,Sarupeta,Barpeta,Assam,India"
18,303,Barpeta,2025.0,Sarupeta,283415,Luashur,"Luashur,Sarupeta,Barpeta,Assam,India"
18,304,Morigaon,2027.0,Bhuragaon,283633,1.No. Borkur,"1.No. Borkur,Bhuragaon,Morigaon,Assam,India"
18,304,Morigaon,2027.0,Bhuragaon,283654,2.No. Borkur,"2.No. Borkur,Bhuragaon,Morigaon,Assam,India"
18,304,Morigaon,2029.0,Marigaon,283868,Bhangamur,"Bhangamur,Marigaon,Morigaon,Assam,India"
18,305,Nagaon,2032.0,Samaguri,284359,Bhagamur,"Bhagamur,Samaguri,Nagaon,Assam,India"
18,305,Nagaon,2037.0,Kampur,284983,Jomarmur,"Jomarmur,Kampur,Nagaon,Assam,India"
18,306,Sonitpur,2043.0,Tezpur,286305,Purani Alimur,"Purani Alimur,Tezpur,Sonitpur,Assam,India"
18,306,Sonitpur,2046.0,Helem,287014,Balijan Mazdur,"Balijan Mazdur,Helem,Sonitpur,Assam,India"
18,307,Lakhimpur,2049.0,Bihpuria,287735,Bodoti Alimur,"Bodoti Alimur,Bihpuria,Lakhimpur,Assam,India"
18,307,Lakhimpur,2053.0,Dhakuakhana,288414,N.C. Amlakhi Kutur,"N.C. Amlakhi Kutur,Dhakuakhana,Lakhimpur,Assam,India"
18,307,Lakhimpur,2053.0,Dhakuakhana,288423,N.C. Lutachur Indur,"N.C. Lutachur Indur,Dhakuakhana,Lakhimpur,Assam,India"
18,307,Lakhimpur,2054.0,Subansiri,288555,Alimur,"Alimur,Subansiri,Lakhimpur,Assam,India"
18,308,Dhemaji,2053.0,Dhakuakhana,289662,No.1 Lutachur,"No.1 Lutachur,Dhakuakhana,Dhemaji,Assam,India"
18,308,Dhemaji,2055.0,Dhemaji,288686,Butikur,"Butikur,Dhemaji,Dhemaji,Assam,India"
18,308,Dhemaji,2057.0,Jonai,289432,Krishnapur Majdur,"Krishnapur Majdur,Jonai,Dhemaji,Assam,India"
18,310,Dibrugarh,2067.0,Moran,291862,Kalalur,"Kalalur,Moran,Dibrugarh,Assam,India"
18,311,Sivasagar,2070.0,Dimow,292422,Milonkur,"Milonkur,Dimow,Sivasagar,Assam,India"
18,311,Sivasagar,2070.0,Dimow,292445,Nemutangakur,"Nemutangakur,Dimow,Sivasagar,Assam,India"
18,311,Sivasagar,2072.0,Amguri,292721,Guhainkur,"Guhainkur,Amguri,Sivasagar,Assam,India"
18,314,Karbi Anglong,2088.0,Donka,295365,Bichi-Thur,"Bichi-Thur,Donka,Karbi Anglong,Assam,India"
18,314,Karbi Anglong,2088.0,Donka,295722,Mokindur,"Mokindur,Donka,Karbi Anglong,Assam,India"
18,314,Karbi Anglong,2089.0,Diphu,296206,Kharka Bahadur,"Kharka Bahadur,Diphu,Karbi Anglong,Assam,India"
18,314,Karbi Anglong,2090.0,Phuloni,297003,Lanbai Pahar (Majur,"Lanbai Pahar (Majur,Phuloni,Karbi Anglong,Assam,India"
18,315,Dima Hasao,2092.0,Umrangso,298319,Panimur,"Panimur,Umrangso,Dima Hasao,Assam,India"
18,315,Dima Hasao,2092.0,Umrangso,298353,Dithur,"Dithur,Umrangso,Dima Hasao,Assam,India"
18,315,Dima Hasao,2093.0,Haflong,298437,Michikur,"Michikur,Haflong,Dima Hasao,Assam,India"
18,315,Dima Hasao,2093.0,Haflong,298443,New Michikhur,"New Michikhur,Haflong,Dima Hasao,Assam,India"
18,315,Dima Hasao,2093.0,Haflong,298444,Lower Michikhur,"Lower Michikhur,Haflong,Dima Hasao,Assam,India"
18,315,Dima Hasao,2094.0,Mahur,0,Mahur,"Mahur,Mahur,Dima Hasao,Assam,India"
18,317,Karimganj,2104.0,Patharkandi,300473,Chengjur,"Chengjur,Patharkandi,Karimganj,Assam,India"
18,320,Chirang,2113.0,Bengtol,301846,Kanibhur,"Kanibhur,Bengtol,Chirang,Assam,India"
18,321,Kamrup,2125.0,Palasbari,303294,Umchur,"Umchur,Palasbari,Kamrup,Assam,India"
18,323,Nalbari,2134.0,Barkhetri,303804,Hamlakur,"Hamlakur,Barkhetri,Nalbari,Assam,India"
18,323,Nalbari,2135.0,Barbhag,303848,Bangalmur,"Bangalmur,Barbhag,Nalbari,Assam,India"
18,324,Baksa,2018.0,Barnagar,304169,Luachur,"Luachur,Barnagar,Baksa,Assam,India"
18,324,Baksa,2140.0,Jalah,304271,Thebarmur,"Thebarmur,Jalah,Baksa,Assam,India"
18,324,Baksa,2144.0,Tamulpur,304650,Kaliakur,"Kaliakur,Tamulpur,Baksa,Assam,India"
18,325,Darrang,2149.0,Dalgaon,305274,Barkur,"Barkur,Dalgaon,Darrang,Assam,India"
