STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
22,400,Koriya,3231,Bharatpur,431198,Madisarai,"Madisarai,Bharatpur,Koriya,Chhattisgarh,India"
22,400,Koriya,3233,Sonhat,431539,Aklasarai,"Aklasarai,Sonhat,Koriya,Chhattisgarh,India"
22,400,Koriya,3233,Sonhat,431604,Rautsarai,"Rautsarai,Sonhat,Koriya,Chhattisgarh,India"
22,401,Surguja,3238,Wadrafnagar,432104,Chanwarsarai,"Chanwarsarai,Wadrafnagar,Surguja,Chhattisgarh,India"
22,401,Surguja,3248,Lakhanpur,433065,Karai,"Karai,Lakhanpur,Surguja,Chhattisgarh,India"
22,401,Surguja,3249,Udaypur,433184,Sontarai,"Sontarai,Udaypur,Surguja,Chhattisgarh,India"
22,401,Surguja,3252,Sitapur,433453,Sontarai,"Sontarai,Sitapur,Surguja,Chhattisgarh,India"
22,401,Surguja,3254,Mainpat,433559,Askara Alias Madwasarai,"Askara Alias Madwasarai,Mainpat,Surguja,Chhattisgarh,India"
22,402,Jashpur ,3259,Kunkuri,434038,Joratarai,"Joratarai,Kunkuri,Jashpur,Chhattisgarh,India"
22,402,Jashpur ,3262,Pathalgaon,434309,Chhatasarai,"Chhatasarai,Pathalgaon,Jashpur,Chhattisgarh,India"
22,403,Raigarh,3264,Lailunga,434584,Chhatasarai,"Chhatasarai,Lailunga,Raigarh,Chhattisgarh,India"
22,403,Raigarh,3267,Raigarh,434854,Kodtarai,"Kodtarai,Raigarh,Raigarh,Chhattisgarh,India"
22,403,Raigarh,3267,Raigarh,434856,Dongitarai,"Dongitarai,Raigarh,Raigarh,Chhattisgarh,India"
22,403,Raigarh,3267,Raigarh,434916,Sangitarai,"Sangitarai,Raigarh,Raigarh,Chhattisgarh,India"
22,403,Raigarh,3268,Pusour,435013,Kodatarai,"Kodatarai,Pusour,Raigarh,Chhattisgarh,India"
22,403,Raigarh,3268,Pusour,435019,Jogitarai,"Jogitarai,Pusour,Raigarh,Chhattisgarh,India"
22,403,Raigarh,3268,Pusour,435032,Raitarai,"Raitarai,Pusour,Raigarh,Chhattisgarh,India"
22,403,Raigarh,3268,Pusour,435054,Dhantarai,"Dhantarai,Pusour,Raigarh,Chhattisgarh,India"
22,404,Korba ,3273,Poundi-Uproda,436063,Dongar Tarai,"Dongar Tarai,Poundi-Uproda,Korba,Chhattisgarh,India"
22,404,Korba ,3273,Poundi-Uproda,436067,Bartarai,"Bartarai,Poundi-Uproda,Korba,Chhattisgarh,India"
22,404,Korba ,3276,Kartala,436429,Birtarai,"Birtarai,Kartala,Korba,Chhattisgarh,India"
22,404,Korba ,3276,Kartala,436480,Dhodhatarai,"Dhodhatarai,Kartala,Korba,Chhattisgarh,India"
22,404,Korba ,3276,Kartala,436494,Supatarai,"Supatarai,Kartala,Korba,Chhattisgarh,India"
22,405,Janjgir - Champa,3284,Dabhra,437092,Singhi Tarai,"Singhi Tarai,Dabhra,Janjgir - Champa,Chhattisgarh,India"
22,406,Bilaspur,3288,Marwahi,437554,Litiyasarai,"Litiyasarai,Marwahi,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3291,Kota,438003,Shivtarai,"Shivtarai,Kota,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3291,Kota,438041,Pipartarai,"Pipartarai,Kota,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3291,Kota,438072,Kalartarai,"Kalartarai,Kota,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3292,Mungeli,438080,Bijatarai,"Bijatarai,Mungeli,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3294,Takhatpur,438654,Bahtarai,"Bahtarai,Takhatpur,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3295,Bilaspur,438734,Mohtarai,"Mohtarai,Bilaspur,Bilaspur,Chhattisgarh,India"
22,407,Kabeerdham,3299,Bodla,439236,Darai,"Darai,Bodla,Kabeerdham,Chhattisgarh,India"
22,407,Kabeerdham,3299,Bodla,439321,Sarai,"Sarai,Bodla,Kabeerdham,Chhattisgarh,India"
22,407,Kabeerdham,3300,Sahaspur Lohara,439618,Pendri Tarai,"Pendri Tarai,Sahaspur Lohara,Kabeerdham,Chhattisgarh,India"
22,408,Rajnandgaon,3303,Khairagarh,440440,Khamtarai,"Khamtarai,Khairagarh,Rajnandgaon,Chhattisgarh,India"
22,408,Rajnandgaon,3303,Khairagarh,440496,Joratarai,"Joratarai,Khairagarh,Rajnandgaon,Chhattisgarh,India"
22,408,Rajnandgaon,3304,Dongargarh,440595,Moditarai,"Moditarai,Dongargarh,Rajnandgaon,Chhattisgarh,India"
22,408,Rajnandgaon,3304,Dongargarh,440602,Nagtarai,"Nagtarai,Dongargarh,Rajnandgaon,Chhattisgarh,India"
22,408,Rajnandgaon,3305,Rajnandgaon,440769,Joratarai,"Joratarai,Rajnandgaon,Rajnandgaon,Chhattisgarh,India"
22,408,Rajnandgaon,3305,Rajnandgaon,440777,Joratarai,"Joratarai,Rajnandgaon,Rajnandgaon,Chhattisgarh,India"
