STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
22,400,Koriya,3231,Bharatpur,431270,Seri,"Seri,Bharatpur,Koriya,Chhattisgarh,India"
22,401,Surguja,3249,Udaypur,433206,Chakeri,"Chakeri,Udaypur,Surguja,Chhattisgarh,India"
22,403,Raigarh,3271,Baramkela,435669,Ameri,"Ameri,Baramkela,Raigarh,Chhattisgarh,India"
22,404,Korba ,3272,Katghora,435913,Kanberi,"Kanberi,Katghora,Korba,Chhattisgarh,India"
22,405,Janjgir - Champa,3278,Akaltara,436604,Ameri,"Ameri,Akaltara,Janjgir - Champa,Chhattisgarh,India"
22,406,Bilaspur,3288,Marwahi,437511,Changeri,"Changeri,Marwahi,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3293,Pathariya,438418,Sakeri,"Sakeri,Pathariya,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3294,Takhatpur,438532,Sakeri,"Sakeri,Takhatpur,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3297,Bilha,439021,Kaneri,"Kaneri,Bilha,Bilaspur,Chhattisgarh,India"
22,408,Rajnandgaon,3304,Dongargarh,440638,Kaneri,"Kaneri,Dongargarh,Rajnandgaon,Chhattisgarh,India"
22,408,Rajnandgaon,3307,Dongargaon,441137,Ganeri,"Ganeri,Dongargaon,Rajnandgaon,Chhattisgarh,India"
22,408,Rajnandgaon,3307,Dongargaon,441143,Maneri,"Maneri,Dongargaon,Rajnandgaon,Chhattisgarh,India"
22,408,Rajnandgaon,3307,Dongargaon,441167,Bhakheri,"Bhakheri,Dongargaon,Rajnandgaon,Chhattisgarh,India"
22,408,Rajnandgaon,3308,Mohla,441258,Kaneri,"Kaneri,Mohla,Rajnandgaon,Chhattisgarh,India"
22,409,Durg,3316,Dhamdha,442484,Aheri,"Aheri,Dhamdha,Durg,Chhattisgarh,India"
22,409,Durg,3318,Patan,442663,Ameri,"Ameri,Patan,Durg,Chhattisgarh,India"
22,409,Durg,3319,Gunderdehi,442841,Khuteri,"Khuteri,Gunderdehi,Durg,Chhattisgarh,India"
22,409,Durg,3323,Gurur,443420,Kaneri,"Kaneri,Gurur,Durg,Chhattisgarh,India"
22,410,Raipur,3324,Simga,443506,Chanderi,"Chanderi,Simga,Raipur,Chhattisgarh,India"
22,410,Raipur,3324,Simga,443579,Ameri,"Ameri,Simga,Raipur,Chhattisgarh,India"
22,410,Raipur,3330,Arang,444508,Ameri,"Ameri,Arang,Raipur,Chhattisgarh,India"
22,410,Raipur,3330,Arang,444532,Khuteri,"Khuteri,Arang,Raipur,Chhattisgarh,India"
22,410,Raipur,3333,Rajim,444881,Khuteri,"Khuteri,Rajim,Raipur,Chhattisgarh,India"
22,411,Mahasamund,3342,Pithora,446316,Khuteri,"Khuteri,Pithora,Mahasamund,Chhattisgarh,India"
22,411,Mahasamund,3343,Bagbahra,446667,Khuteri,"Khuteri,Bagbahra,Mahasamund,Chhattisgarh,India"
