STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
22,406,Bilaspur,3290,Lormi,437909,Bankal,"Bankal,Lormi,Bilaspur,Chhattisgarh,India"
22,408,Rajnandgaon,3305,Rajnandgaon,440847,Bankal,"Bankal,Rajnandgaon,Rajnandgaon,Chhattisgarh,India"
22,408,Rajnandgaon,3307,Dongargaon,441096,Bankal,"Bankal,Dongargaon,Rajnandgaon,Chhattisgarh,India"
22,408,Rajnandgaon,3308,Mohla,441232,Nadekal,"Nadekal,Mohla,Rajnandgaon,Chhattisgarh,India"
22,408,Rajnandgaon,3309,Manpur,441493,Kundkal,"Kundkal,Manpur,Rajnandgaon,Chhattisgarh,India"
22,410,Raipur,3330,Arang,444479,Akoli Kalan-1 (Akolikal,"Akoli Kalan-1 (Akolikal,Arang,Raipur,Chhattisgarh,India"
22,412,Dhamtari ,3347,Nagri,447338,Dokal,"Dokal,Nagri,Dhamtari,Chhattisgarh,India"
22,413,Uttar Bastar Kanker,3353,Antagarh,448040,Tahkal,"Tahkal,Antagarh,Uttar Bastar Kanker,Chhattisgarh,India"
22,413,Uttar Bastar Kanker,3353,Antagarh,448129,Tuskal,"Tuskal,Antagarh,Uttar Bastar Kanker,Chhattisgarh,India"
22,413,Uttar Bastar Kanker,3354,Pakhanjur,448395,Pakurkal,"Pakurkal,Pakhanjur,Uttar Bastar Kanker,Chhattisgarh,India"
22,413,Uttar Bastar Kanker,3354,Pakhanjur,448413,Gattakal,"Gattakal,Pakhanjur,Uttar Bastar Kanker,Chhattisgarh,India"
22,413,Uttar Bastar Kanker,3354,Pakhanjur,448447,Manhakal,"Manhakal,Pakhanjur,Uttar Bastar Kanker,Chhattisgarh,India"
22,414,Bastar,3355,Keskal,0,Keskal,"Keskal,Keskal,Bastar,Chhattisgarh,India"
22,415,Narayanpur,3368,Orchha,449890,Hamokal,"Hamokal,Orchha,Narayanpur,Chhattisgarh,India"
22,415,Narayanpur,3368,Orchha,449958,Alwar Alias Gattakal,"Alwar Alias Gattakal,Orchha,Narayanpur,Chhattisgarh,India"
22,415,Narayanpur,3368,Orchha,449966,Guttakal,"Guttakal,Orchha,Narayanpur,Chhattisgarh,India"
22,415,Narayanpur,3368,Orchha,449999,Gattakal,"Gattakal,Orchha,Narayanpur,Chhattisgarh,India"
22,415,Narayanpur,3368,Orchha,450045,Bettekal,"Bettekal,Orchha,Narayanpur,Chhattisgarh,India"
22,415,Narayanpur,3368,Orchha,450056,Kodokal,"Kodokal,Orchha,Narayanpur,Chhattisgarh,India"
22,417,Bijapur,3379,Bhairamgarh,451154,Uikal,"Uikal,Bhairamgarh,Bijapur,Chhattisgarh,India"
22,417,Bijapur,3379,Bhairamgarh,451170,Bhikal,"Bhikal,Bhairamgarh,Bijapur,Chhattisgarh,India"
22,417,Bijapur,3379,Bhairamgarh,451233,Gudsakal,"Gudsakal,Bhairamgarh,Bijapur,Chhattisgarh,India"
22,417,Bijapur,3379,Bhairamgarh,451243,Kiskal,"Kiskal,Bhairamgarh,Bijapur,Chhattisgarh,India"
