STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
22,400,Koriya,3231,Bharatpur,431349,Thiskoli,"Thiskoli,Bharatpur,Koriya,Chhattisgarh,India"
22,401,Surguja,3239,Pratappur,432242,Dumar Kholi,"Dumar Kholi,Pratappur,Surguja,Chhattisgarh,India"
22,401,Surguja,3240,Samri(kusmi),432331,Dumarkholi,"Dumarkholi,Samri(kusmi),Surguja,Chhattisgarh,India"
22,401,Surguja,3240,Samri(kusmi),432364,Lephua Toli,"Lephua Toli,Samri(kusmi),Surguja,Chhattisgarh,India"
22,401,Surguja,3240,Samri(kusmi),432377,Pakari Toli,"Pakari Toli,Samri(kusmi),Surguja,Chhattisgarh,India"
22,401,Surguja,3240,Samri(kusmi),432379,Kanchan Toli,"Kanchan Toli,Samri(kusmi),Surguja,Chhattisgarh,India"
22,401,Surguja,3240,Samri(kusmi),432380,Mahuwa  Toli,"Mahuwa  Toli,Samri(kusmi),Surguja,Chhattisgarh,India"
22,401,Surguja,3241,Shankargarh,432431,Pataratoli,"Pataratoli,Shankargarh,Surguja,Chhattisgarh,India"
22,401,Surguja,3241,Shankargarh,432476,Karmi Urawan Toli,"Karmi Urawan Toli,Shankargarh,Surguja,Chhattisgarh,India"
22,401,Surguja,3241,Shankargarh,432477,Karmi Kanwar Toli,"Karmi Kanwar Toli,Shankargarh,Surguja,Chhattisgarh,India"
22,401,Surguja,3246,Premnagar,432925,Kantaroli,"Kantaroli,Premnagar,Surguja,Chhattisgarh,India"
22,401,Surguja,3251,Lundra,433360,Gagoli,"Gagoli,Lundra,Surguja,Chhattisgarh,India"
22,401,Surguja,3251,Lundra,433414,Daholi,"Daholi,Lundra,Surguja,Chhattisgarh,India"
22,401,Surguja,3252,Sitapur,433447,Amatoli,"Amatoli,Sitapur,Surguja,Chhattisgarh,India"
22,401,Surguja,3252,Sitapur,433461,Bagdoli,"Bagdoli,Sitapur,Surguja,Chhattisgarh,India"
22,401,Surguja,3252,Sitapur,433462,Dhekidoli,"Dhekidoli,Sitapur,Surguja,Chhattisgarh,India"
22,402,Jashpur ,3255,Bagicha,433596,Incholi,"Incholi,Bagicha,Jashpur,Chhattisgarh,India"
22,402,Jashpur ,3256,Kansabel,433745,Khuntitoli,"Khuntitoli,Kansabel,Jashpur,Chhattisgarh,India"
22,402,Jashpur ,3256,Kansabel,433782,Pakar Toli,"Pakar Toli,Kansabel,Jashpur,Chhattisgarh,India"
22,402,Jashpur ,3257,Jashpur,433783,Dasdumartoli,"Dasdumartoli,Jashpur,Jashpur,Chhattisgarh,India"
22,402,Jashpur ,3257,Jashpur,433790,Pakar Toli,"Pakar Toli,Jashpur,Jashpur,Chhattisgarh,India"
22,402,Jashpur ,3257,Jashpur,433803,Patra Toli,"Patra Toli,Jashpur,Jashpur,Chhattisgarh,India"
22,402,Jashpur ,3257,Jashpur,433807,Jamtoli,"Jamtoli,Jashpur,Jashpur,Chhattisgarh,India"
22,402,Jashpur ,3257,Jashpur,433809,Dhautatoli,"Dhautatoli,Jashpur,Jashpur,Chhattisgarh,India"
22,402,Jashpur ,3257,Jashpur,433816,Saitangar Toli,"Saitangar Toli,Jashpur,Jashpur,Chhattisgarh,India"
22,402,Jashpur ,3257,Jashpur,433823,Chailitangar Toli,"Chailitangar Toli,Jashpur,Jashpur,Chhattisgarh,India"
22,402,Jashpur ,3257,Jashpur,433832,Kuding Mahuwatoli,"Kuding Mahuwatoli,Jashpur,Jashpur,Chhattisgarh,India"
