STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
22,400,Koriya,3231,Bharatpur,431220,Kuwari,"Kuwari,Bharatpur,Koriya,Chhattisgarh,India"
22,400,Koriya,3231,Bharatpur,431309,Hathwari,"Hathwari,Bharatpur,Koriya,Chhattisgarh,India"
22,400,Koriya,3234,Manendragarh,431641,Manwari,"Manwari,Manendragarh,Koriya,Chhattisgarh,India"
22,401,Surguja,3238,Wadrafnagar,432169,Shiwari,"Shiwari,Wadrafnagar,Surguja,Chhattisgarh,India"
22,401,Surguja,3238,Wadrafnagar,432179,Duwari,"Duwari,Wadrafnagar,Surguja,Chhattisgarh,India"
22,401,Surguja,3240,Samri(kusmi),432393,Diwari,"Diwari,Samri(kusmi),Surguja,Chhattisgarh,India"
22,401,Surguja,3243,Oudgi,432628,Kachhawari,"Kachhawari,Oudgi,Surguja,Chhattisgarh,India"
22,401,Surguja,3243,Oudgi,432636,Padwari,"Padwari,Oudgi,Surguja,Chhattisgarh,India"
22,401,Surguja,3250,Rajpur,433270,Sewari,"Sewari,Rajpur,Surguja,Chhattisgarh,India"
22,403,Raigarh,3263,Udaipur (Dharamjaigarh),434447,Sajwari,"Sajwari,Udaipur (Dharamjaigarh),Raigarh,Chhattisgarh,India"
22,404,Korba ,3272,Katghora,435901,Dewari,"Dewari,Katghora,Korba,Chhattisgarh,India"
22,404,Korba ,3273,Poundi-Uproda,436017,Gurudwari,"Gurudwari,Poundi-Uproda,Korba,Chhattisgarh,India"
22,404,Korba ,3275,Korba,436395,Gidhkuwari,"Gidhkuwari,Korba,Korba,Chhattisgarh,India"
22,404,Korba ,3276,Kartala,436468,Ghataduwari,"Ghataduwari,Kartala,Korba,Chhattisgarh,India"
22,404,Korba ,3276,Kartala,436502,Kervaduwari,"Kervaduwari,Kartala,Korba,Chhattisgarh,India"
22,406,Bilaspur,3290,Lormi,437739,Phulwari,"Phulwari,Lormi,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3290,Lormi,437823,Turwari,"Turwari,Lormi,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3292,Mungeli,438342,Phulwari,"Phulwari,Mungeli,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3293,Pathariya,438426,Gangdwari,"Gangdwari,Pathariya,Bilaspur,Chhattisgarh,India"
22,406,Bilaspur,3296,Masturi,438873,Newari,"Newari,Masturi,Bilaspur,Chhattisgarh,India"
22,407,Kabeerdham,3298,Kawardha,439089,Dewari,"Dewari,Kawardha,Kabeerdham,Chhattisgarh,India"
22,407,Kabeerdham,3298,Kawardha,439167,Newari,"Newari,Kawardha,Kabeerdham,Chhattisgarh,India"
22,407,Kabeerdham,3298,Kawardha,439192,Nawagaon Tiwari,"Nawagaon Tiwari,Kawardha,Kabeerdham,Chhattisgarh,India"
22,408,Rajnandgaon,3304,Dongargarh,440608,Karwari,"Karwari,Dongargarh,Rajnandgaon,Chhattisgarh,India"
22,409,Durg,3314,Thanakhamria,442217,Ghiwari,"Ghiwari,Thanakhamria,Durg,Chhattisgarh,India"
22,409,Durg,3317,Durg,442605,Matwari,"Matwari,Durg,Durg,Chhattisgarh,India"
22,409,Durg,3322,Dondi,443309,Awari,"Awari,Dondi,Durg,Chhattisgarh,India"
22,410,Raipur,3324,Simga,443591,Fulwari,"Fulwari,Simga,Raipur,Chhattisgarh,India"
22,410,Raipur,3324,Simga,443592,Newari,"Newari,Simga,Raipur,Chhattisgarh,India"
22,410,Raipur,3327,Palari,443896,Matwari,"Matwari,Palari,Raipur,Chhattisgarh,India"
22,410,Raipur,3335,Bindranavagarh(Gariyaband),445043,Tenwari,"Tenwari,Bindranavagarh(Gariyaband),Raipur,Chhattisgarh,India"
22,410,Raipur,3336,Chhura,445189,Tenwari,"Tenwari,Chhura,Raipur,Chhattisgarh,India"
22,410,Raipur,3336,Chhura,445190,Fingeshwari,"Fingeshwari,Chhura,Raipur,Chhattisgarh,India"
22,410,Raipur,3337,Mainpur,445449,Fulwari,"Fulwari,Mainpur,Raipur,Chhattisgarh,India"
22,411,Mahasamund,3339,Basna,445846,Palsapali Tukada Urf Fulwari,"Palsapali Tukada Urf Fulwari,Basna,Mahasamund,Chhattisgarh,India"
22,411,Mahasamund,3340,Saraipali,445966,Kotduwari,"Kotduwari,Saraipali,Mahasamund,Chhattisgarh,India"
22,411,Mahasamund,3340,Saraipali,446073,Bagduwari,"Bagduwari,Saraipali,Mahasamund,Chhattisgarh,India"
22,411,Mahasamund,3341,Mahasamund,446179,Fulwari,"Fulwari,Mahasamund,Mahasamund,Chhattisgarh,India"
22,412,Dhamtari ,3344,Kurud,446793,Anwari,"Anwari,Kurud,Dhamtari,Chhattisgarh,India"
22,412,Dhamtari ,3347,Nagri,447398,Akawari,"Akawari,Nagri,Dhamtari,Chhattisgarh,India"
22,413,Uttar Bastar Kanker,3348,Charama,447445,Awari,"Awari,Charama,Uttar Bastar Kanker,Chhattisgarh,India"
22,413,Uttar Bastar Kanker,3349,Bhanupratappur,447544,Pewari,"Pewari,Bhanupratappur,Uttar Bastar Kanker,Chhattisgarh,India"
22,413,Uttar Bastar Kanker,3350,Durgkondal,447667,Pedawari,"Pedawari,Durgkondal,Uttar Bastar Kanker,Chhattisgarh,India"
22,413,Uttar Bastar Kanker,3350,Durgkondal,447749,Newari,"Newari,Durgkondal,Uttar Bastar Kanker,Chhattisgarh,India"
22,413,Uttar Bastar Kanker,3353,Antagarh,448046,Pewari,"Pewari,Antagarh,Uttar Bastar Kanker,Chhattisgarh,India"
22,414,Bastar,3355,Keskal,448570,Aanwari,"Aanwari,Keskal,Bastar,Chhattisgarh,India"
