STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
24,468,Kachchh,3722,Lakhpat,506432,Guneri,"Guneri,Lakhpat,Kachchh,Gujarat,India"
24,469,Banas Kantha,3735,Dantiwada,507714,Deri,"Deri,Dantiwada,Banas Kantha,Gujarat,India"
24,469,Banas Kantha,3735,Dantiwada,507722,Dhaneri,"Dhaneri,Dantiwada,Banas Kantha,Gujarat,India"
24,469,Banas Kantha,3736,Amirgadh,507765,Deri,"Deri,Amirgadh,Banas Kantha,Gujarat,India"
24,469,Banas Kantha,3737,Danta,507830,Viramveri,"Viramveri,Danta,Banas Kantha,Gujarat,India"
24,472,Sabar Kantha,3761,Vijaynagar,509878,Nalseri,"Nalseri,Vijaynagar,Sabar Kantha,Gujarat,India"
24,472,Sabar Kantha,3769,Modasa,510815,Fareri,"Fareri,Modasa,Sabar Kantha,Gujarat,India"
24,475,Surendranagar,3794,Chotila,512333,Naliyeri,"Naliyeri,Chotila,Surendranagar,Gujarat,India"
24,476,Rajkot,3802,Paddhari,512901,Khandheri,"Khandheri,Paddhari,Rajkot,Gujarat,India"
24,477,Jamnagar,3817,Kalavad,513854,Deri,"Deri,Kalavad,Jamnagar,Gujarat,India"
24,477,Jamnagar,3821,Jamjodhpur,514126,Ambardi Deri,"Ambardi Deri,Jamjodhpur,Jamnagar,Gujarat,India"
24,478,Porbandar ,3824,Kutiyana,514322,Teri,"Teri,Kutiyana,Porbandar,Gujarat,India"
24,479,Junagadh,3831,Keshod,514753,Kaneri,"Kaneri,Keshod,Junagadh,Gujarat,India"
24,479,Junagadh,3833,Malia,514898,Danderi,"Danderi,Malia,Junagadh,Gujarat,India"
24,479,Junagadh,3835,Patan-Veraval,515037,Khandheri,"Khandheri,Patan-Veraval,Junagadh,Gujarat,India"
24,479,Junagadh,3838,Una,515290,Panderi,"Panderi,Una,Junagadh,Gujarat,India"
24,479,Junagadh,3838,Una,515297,Kaneri,"Kaneri,Una,Junagadh,Gujarat,India"
24,480,Amreli,3843,Amreli,515586,Sangaderi,"Sangaderi,Amreli,Amreli,Gujarat,India"
24,481,Bhavnagar,3860,Mahuva,516800,Dudheri,"Dudheri,Mahuva,Bhavnagar,Gujarat,India"
24,483,Kheda,3873,Mehmedabad,517469,Areri,"Areri,Mehmedabad,Kheda,Gujarat,India"
24,483,Kheda,3877,Mahudha,517679,Sheri,"Sheri,Mahudha,Kheda,Gujarat,India"
24,484,Panch Mahals,3889,Jambughoda,518986,Padideri,"Padideri,Jambughoda,Panch Mahals,Gujarat,India"
24,486,Vadodara,3902,Kavant,520427,Deri,"Deri,Kavant,Vadodara,Gujarat,India"
24,486,Vadodara,3904,Sankheda,520765,Khokhariveri,"Khokhariveri,Sankheda,Vadodara,Gujarat,India"
24,487,Narmada,3910,Nandod,521540,Nani Daberi,"Nani Daberi,Nandod,Narmada,Gujarat,India"
24,487,Narmada,3911,Dediapada,521733,Moti Daberi,"Moti Daberi,Dediapada,Narmada,Gujarat,India"
24,490,Navsari  ,3925,Chikhli,523060,Kukeri,"Kukeri,Chikhli,Navsari,Gujarat,India"
24,490,Navsari  ,3925,Chikhli,523129,Kakadveri,"Kakadveri,Chikhli,Navsari,Gujarat,India"
24,491,Valsad,3928,Dharampur,523331,Karanjveri,"Karanjveri,Dharampur,Valsad,Gujarat,India"
24,491,Valsad,3928,Dharampur,523344,Luheri,"Luheri,Dharampur,Valsad,Gujarat,India"
24,491,Valsad,3928,Dharampur,523365,Molveri,"Molveri,Dharampur,Valsad,Gujarat,India"
24,491,Valsad,3928,Dharampur,523392,Ranveri,"Ranveri,Dharampur,Valsad,Gujarat,India"
24,491,Valsad,3930,Kaprada,523552,Kasatveri,"Kasatveri,Kaprada,Valsad,Gujarat,India"
24,491,Valsad,3930,Kaprada,523595,Valveri,"Valveri,Kaprada,Valsad,Gujarat,India"
24,491,Valsad,3930,Kaprada,523623,Ghanveri,"Ghanveri,Kaprada,Valsad,Gujarat,India"
24,491,Valsad,3930,Kaprada,523629,Bhatheri,"Bhatheri,Kaprada,Valsad,Gujarat,India"
24,493,Tapi,3946,Valod,524891,Ranveri,"Ranveri,Valod,Tapi,Gujarat,India"
