STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
24,470,Patan  ,3745,Radhanpur,508700,Sinad,"Sinad,Radhanpur,Patan,Gujarat,India"
24,470,Patan  ,3749,Sami,508971,Gochnad,"Gochnad,Sami,Patan,Gujarat,India"
24,471,Mahesana,3752,Kheralu,509245,Unad,"Unad,Kheralu,Mahesana,Gujarat,India"
24,475,Surendranagar,3788,Halvad,511964,Ghanad,"Ghanad,Halvad,Surendranagar,Gujarat,India"
24,475,Surendranagar,3791,Lakhtar,512178,Ghanad,"Ghanad,Lakhtar,Surendranagar,Gujarat,India"
24,477,Jamnagar,3815,Jodiya,513706,Kunad,"Kunad,Jodiya,Jamnagar,Gujarat,India"
24,481,Bhavnagar,3856,Sihor,516386,Kanad,"Kanad,Sihor,Bhavnagar,Gujarat,India"
24,488,Bharuch,3913,Jambusar,521887,Runad,"Runad,Jambusar,Bharuch,Gujarat,India"
24,488,Bharuch,3913,Jambusar,521939,Magnad,"Magnad,Jambusar,Bharuch,Gujarat,India"
24,488,Bharuch,3914,Amod,521989,Ghamnad,"Ghamnad,Amod,Bharuch,Gujarat,India"
24,488,Bharuch,3915,Vagra,522026,Vachhnad,"Vachhnad,Vagra,Bharuch,Gujarat,India"
24,488,Bharuch,3916,Bharuch,522071,Kishnad,"Kishnad,Bharuch,Bharuch,Gujarat,India"
24,488,Bharuch,3916,Bharuch,522152,Manad,"Manad,Bharuch,Bharuch,Gujarat,India"
24,492,Surat,3932,Olpad,523709,Asnad,"Asnad,Olpad,Surat,Gujarat,India"
24,492,Surat,3932,Olpad,523779,Kanad,"Kanad,Olpad,Surat,Gujarat,India"
