STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
24,468,Kachchh,3726,Bhuj,506859,Pirvadi,"Pirvadi,Bhuj,Kachchh,Gujarat,India"
24,469,Banas Kantha,3734,Dhanera,507628,Vinchhivadi,"Vinchhivadi,Dhanera,Banas Kantha,Gujarat,India"
24,469,Banas Kantha,3734,Dhanera,507688,Chhindivadi,"Chhindivadi,Dhanera,Banas Kantha,Gujarat,India"
24,469,Banas Kantha,3743,Kankrej,508593,Bhadrevadi,"Bhadrevadi,Kankrej,Banas Kantha,Gujarat,India"
24,470,Patan  ,3745,Radhanpur,508712,Dharavadi,"Dharavadi,Radhanpur,Patan,Gujarat,India"
24,471,Mahesana,3752,Kheralu,509238,Vaghvadi,"Vaghvadi,Kheralu,Mahesana,Gujarat,India"
24,472,Sabar Kantha,3761,Vijaynagar,509940,Itavadi,"Itavadi,Vijaynagar,Sabar Kantha,Gujarat,India"
24,472,Sabar Kantha,3765,Meghraj,510336,Kadvadi,"Kadvadi,Meghraj,Sabar Kantha,Gujarat,India"
24,472,Sabar Kantha,3767,Prantij,510637,Baini Muvadi,"Baini Muvadi,Prantij,Sabar Kantha,Gujarat,India"
24,472,Sabar Kantha,3767,Prantij,510638,Mavani Muvadi,"Mavani Muvadi,Prantij,Sabar Kantha,Gujarat,India"
24,472,Sabar Kantha,3767,Prantij,510639,Zalani Muvadi,"Zalani Muvadi,Prantij,Sabar Kantha,Gujarat,India"
24,472,Sabar Kantha,3767,Prantij,510641,Dalani Muvadi,"Dalani Muvadi,Prantij,Sabar Kantha,Gujarat,India"
24,472,Sabar Kantha,3767,Prantij,510643,Sadani Muvadi,"Sadani Muvadi,Prantij,Sabar Kantha,Gujarat,India"
24,472,Sabar Kantha,3768,Talod,510676,Badarni Muvadi,"Badarni Muvadi,Talod,Sabar Kantha,Gujarat,India"
24,472,Sabar Kantha,3768,Talod,510685,Umed Ni Muvadi,"Umed Ni Muvadi,Talod,Sabar Kantha,Gujarat,India"
24,472,Sabar Kantha,3768,Talod,510693,Gulab Ni Muvadi,"Gulab Ni Muvadi,Talod,Sabar Kantha,Gujarat,India"
