STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
20,349,Giridih,2533,Tisri,350368,Makbali,"Makbali,Tisri,Giridih,Jharkhand,India"
20,349,Giridih,2533,Tisri,350568,Balbali,"Balbali,Tisri,Giridih,Jharkhand,India"
20,349,Giridih,2539,Giridih,352209,Tarabali,"Tarabali,Giridih,Giridih,Jharkhand,India"
20,349,Giridih,2543,Dumri,352695,Ghutbali,"Ghutbali,Dumri,Giridih,Jharkhand,India"
20,350,Deoghar,2554,Palojori,355422,Chalbali,"Chalbali,Palojori,Deoghar,Jharkhand,India"
20,350,Deoghar,2554,Palojori,355487,Angbali,"Angbali,Palojori,Deoghar,Jharkhand,India"
20,351,Godda,2563,Sundarpahari,357815,Angbali,"Angbali,Sundarpahari,Godda,Jharkhand,India"
20,351,Godda,2563,Sundarpahari,357828,Ghorabali,"Ghorabali,Sundarpahari,Godda,Jharkhand,India"
20,356,Lohardaga,2603,Bhandra,363191,Dhobali,"Dhobali,Bhandra,Lohardaga,Jharkhand,India"
20,361,Ramgarh,2665,Gola,369246,Chakarbali,"Chakarbali,Gola,Ramgarh,Jharkhand,India"
20,362,Dumka,2672,Ranishwar,371113,Bhurabali,"Bhurabali,Ranishwar,Dumka,Jharkhand,India"
20,362,Dumka,2675,Masalia,372139,Bhorabali,"Bhorabali,Masalia,Dumka,Jharkhand,India"
