STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
20,346,Garhwa ,2504,Dhurki,347528,Samo Alias Suru,"Samo Alias Suru,Dhurki,Garhwa,Jharkhand,India"
20,347,Chatra,2514,Shaligram Ram Narayanpur(Hunterganj),348259,Rajguru,"Rajguru,Shaligram Ram Narayanpur(Hunterganj),Chatra,Jharkhand,India"
20,349,Giridih,2540,Birni,352392,Garaguru,"Garaguru,Birni,Giridih,Jharkhand,India"
20,356,Lohardaga,2599,Kuru,0,Kuru,"Kuru,Kuru,Lohardaga,Jharkhand,India"
20,356,Lohardaga,2599,Kuru,363011,Kuru,"Kuru,Kuru,Lohardaga,Jharkhand,India"
20,356,Lohardaga,2599,Kuru,363015,Urumuru,"Urumuru,Kuru,Lohardaga,Jharkhand,India"
20,357,Purbi Singhbhum,2604,Patamda,363294,Tungburu,"Tungburu,Patamda,Purbi Singhbhum,Jharkhand,India"
20,357,Purbi Singhbhum,2605,Boram,363323,Gangiburu,"Gangiburu,Boram,Purbi Singhbhum,Jharkhand,India"
20,357,Purbi Singhbhum,2608,Potka,363662,Bingburu,"Bingburu,Potka,Purbi Singhbhum,Jharkhand,India"
20,357,Purbi Singhbhum,2614,Baharagora,364833,Bhandariguru,"Bhandariguru,Baharagora,Purbi Singhbhum,Jharkhand,India"
20,358,Palamu,2630,Panki,366288,Nuru,"Nuru,Panki,Palamu,Jharkhand,India"
20,358,Palamu,2632,Nilambar-Pitambarpur(Lesliganj),366540,Juru,"Juru,Nilambar-Pitambarpur(Lesliganj),Palamu,Jharkhand,India"
20,358,Palamu,2634,Chainpur,366826,Muru,"Muru,Chainpur,Palamu,Jharkhand,India"
20,359,Latehar,2636,Barwadih,366944,Muru,"Muru,Barwadih,Latehar,Jharkhand,India"
20,359,Latehar,2638,Garu,367188,Ghuturu,"Ghuturu,Garu,Latehar,Jharkhand,India"
20,359,Latehar,2641,Bariyatu,367445,Rajguru,"Rajguru,Bariyatu,Latehar,Jharkhand,India"
20,360,Hazaribagh,2647,Ichak,368116,Manguru,"Manguru,Ichak,Hazaribagh,Jharkhand,India"
20,360,Hazaribagh,2653,Hazaribag,368491,Hurhuru,"Hurhuru,Hazaribag,Hazaribagh,Jharkhand,India"
20,364,Ranchi,2682,Burmu,373389,Barkamuru,"Barkamuru,Burmu,Ranchi,Jharkhand,India"
20,364,Ranchi,2684,Kanke,373520,Chamguru,"Chamguru,Kanke,Ranchi,Jharkhand,India"
20,364,Ranchi,2685,Ormanjhi,373632,Guru,"Guru,Ormanjhi,Ranchi,Jharkhand,India"
20,364,Ranchi,2687,Rahe,373784,Nuru,"Nuru,Rahe,Ranchi,Jharkhand,India"
20,364,Ranchi,2690,Namkum,374041,Churu,"Churu,Namkum,Ranchi,Jharkhand,India"
20,364,Ranchi,2691,Ratu,374092,Guru,"Guru,Ratu,Ranchi,Jharkhand,India"
20,364,Ranchi,2695,Bero,374349,Duru,"Duru,Bero,Ranchi,Jharkhand,India"
20,364,Ranchi,2696,Itki,374386,Turguru,"Turguru,Itki,Ranchi,Jharkhand,India"
20,364,Ranchi,2697,Lapung,374450,Duru,"Duru,Lapung,Ranchi,Jharkhand,India"
20,364,Ranchi,2698,Bundu,374553,Banaburu,"Banaburu,Bundu,Ranchi,Jharkhand,India"
20,365,Khunti,2700,Karra,374832,Setahuru,"Setahuru,Karra,Khunti,Jharkhand,India"
20,365,Khunti,2703,Murhu,375047,Gumpuru,"Gumpuru,Murhu,Khunti,Jharkhand,India"
20,365,Khunti,2703,Murhu,375108,Mailburu,"Mailburu,Murhu,Khunti,Jharkhand,India"
20,365,Khunti,2703,Murhu,375109,Udburu,"Udburu,Murhu,Khunti,Jharkhand,India"
20,365,Khunti,2703,Murhu,375114,Guruburu,"Guruburu,Murhu,Khunti,Jharkhand,India"
20,365,Khunti,2705,Erki(Tamar II),375356,Gomiburu,"Gomiburu,Erki(Tamar II),Khunti,Jharkhand,India"
20,365,Khunti,2705,Erki(Tamar II),375359,Kulburu,"Kulburu,Erki(Tamar II),Khunti,Jharkhand,India"
20,365,Khunti,2705,Erki(Tamar II),375378,Marangburu,"Marangburu,Erki(Tamar II),Khunti,Jharkhand,India"
20,366,Gumla,2710,Kamdara,375796,Kulburu,"Kulburu,Kamdara,Gumla,Jharkhand,India"
20,366,Gumla,2713,Chainpur,376114,Luru,"Luru,Chainpur,Gumla,Jharkhand,India"
20,366,Gumla,2716,Raidih,376275,Luru,"Luru,Raidih,Gumla,Jharkhand,India"
