STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
20,346,Garhwa ,2496,Bhawnathpur,347156,Barwari,"Barwari,Bhawnathpur,Garhwa,Jharkhand,India"
20,347,Chatra,2521,Mayur Hand,349126,Parwaria Dakhinwari,"Parwaria Dakhinwari,Mayur Hand,Chatra,Jharkhand,India"
20,347,Chatra,2521,Mayur Hand,349127,Parwaria Uttarwari,"Parwaria Uttarwari,Mayur Hand,Chatra,Jharkhand,India"
20,347,Chatra,2521,Mayur Hand,349154,Siduwari,"Siduwari,Mayur Hand,Chatra,Jharkhand,India"
20,347,Chatra,2524,Simaria,349334,Bakhtaur Khap Alias Kodwari,"Bakhtaur Khap Alias Kodwari,Simaria,Chatra,Jharkhand,India"
20,349,Giridih,2534,Deori,350613,Jawari,"Jawari,Deori,Giridih,Jharkhand,India"
20,349,Giridih,2535,Dhanwar,350874,Kodwari,"Kodwari,Dhanwar,Giridih,Jharkhand,India"
20,349,Giridih,2542,Sariya,352510,Nagar Keswari,"Nagar Keswari,Sariya,Giridih,Jharkhand,India"
20,350,Deoghar,2546,Mohanpur,353450,Bhadwari,"Bhadwari,Mohanpur,Deoghar,Jharkhand,India"
20,350,Deoghar,2546,Mohanpur,353551,Hathwari,"Hathwari,Mohanpur,Deoghar,Jharkhand,India"
20,350,Deoghar,2549,Devipur,354347,Hathwari,"Hathwari,Devipur,Deoghar,Jharkhand,India"
20,351,Godda,2561,Godda,357312,Tarwari,"Tarwari,Godda,Godda,Jharkhand,India"
20,352,Sahibganj,2566,Borio,358356,Mahwari,"Mahwari,Borio,Sahibganj,Jharkhand,India"
20,354,Dhanbad,2579,Tundi,361144,Natwari,"Natwari,Tundi,Dhanbad,Jharkhand,India"
20,354,Dhanbad,2584,Dhanbad-Cum-Kenduadih-Cum-Jagata,361849,Lakarkhawari,"Lakarkhawari,Dhanbad-Cum-Kenduadih-Cum-Jagata,Dhanbad,Jharkhand,India"
20,355,Bokaro,2591,Gumia,362305,Katwari,"Katwari,Gumia,Bokaro,Jharkhand,India"
20,355,Bokaro,2592,Peterwar,362464,Keswari,"Keswari,Peterwar,Bokaro,Jharkhand,India"
20,355,Bokaro,2595,Chas,362709,Kathwari,"Kathwari,Chas,Bokaro,Jharkhand,India"
20,359,Latehar,2639,Latehar,367340,Nawari,"Nawari,Latehar,Latehar,Jharkhand,India"
20,360,Hazaribagh,2644,Chauparan,367717,Kadwari,"Kadwari,Chauparan,Hazaribagh,Jharkhand,India"
20,360,Hazaribagh,2650,Barkatha,368331,Banwari,"Banwari,Barkatha,Hazaribagh,Jharkhand,India"
20,360,Hazaribagh,2656,Keredari,368719,Bengwari,"Bengwari,Keredari,Hazaribagh,Jharkhand,India"
20,362,Dumka,2666,Saraiyahat,369434,Aswari,"Aswari,Saraiyahat,Dumka,Jharkhand,India"
20,362,Dumka,2667,Jarmundi,369830,Aswari,"Aswari,Jarmundi,Dumka,Jharkhand,India"
20,362,Dumka,2667,Jarmundi,370093,Tharwari,"Tharwari,Jarmundi,Dumka,Jharkhand,India"
20,362,Dumka,2667,Jarmundi,370129,Dhorwari,"Dhorwari,Jarmundi,Dumka,Jharkhand,India"
20,362,Dumka,2668,Ramgarh,370249,Jawari,"Jawari,Ramgarh,Dumka,Jharkhand,India"
20,362,Dumka,2668,Ramgarh,370396,Jawari,"Jawari,Ramgarh,Dumka,Jharkhand,India"
20,364,Ranchi,2682,Burmu,373429,Berwari,"Berwari,Burmu,Ranchi,Jharkhand,India"
20,364,Ranchi,2686,Angara,373677,Berwari,"Berwari,Angara,Ranchi,Jharkhand,India"
20,364,Ranchi,2697,Lapung,374428,Kathkunwari,"Kathkunwari,Lapung,Ranchi,Jharkhand,India"
20,366,Gumla,2707,Ghaghra,375616,Panwari,"Panwari,Ghaghra,Gumla,Jharkhand,India"
20,366,Gumla,2713,Chainpur,376089,Tilwari,"Tilwari,Chainpur,Gumla,Jharkhand,India"
