STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
29,555,Belgaum,5434,Athni,597263,Balligeri,"Balligeri,Athni,Belgaum,Karnataka,India"
29,555,Belgaum,5434,Athni,597274,Chamakeri,"Chamakeri,Athni,Belgaum,Karnataka,India"
29,555,Belgaum,5434,Athni,597347,Katageri,"Katageri,Athni,Belgaum,Karnataka,India"
29,555,Belgaum,5435,Raybag ,597392,Harugeri,"Harugeri,Raybag,Belgaum,Karnataka,India"
29,555,Belgaum,5435,Raybag ,597398,Bekkeri,"Bekkeri,Raybag,Belgaum,Karnataka,India"
29,555,Belgaum,5436,Gokak,597448,Sanganakeri,"Sanganakeri,Gokak,Belgaum,Karnataka,India"
29,555,Belgaum,5436,Gokak,597487,Makkalageri,"Makkalageri,Gokak,Belgaum,Karnataka,India"
29,555,Belgaum,5436,Gokak,597535,Betageri,"Betageri,Gokak,Belgaum,Karnataka,India"
29,555,Belgaum,5436,Gokak,597541,Mannikeri,"Mannikeri,Gokak,Belgaum,Karnataka,India"
29,555,Belgaum,5437,Hukeri,0,Hukeri,"Hukeri,Hukeri,Belgaum,Karnataka,India"
29,555,Belgaum,5437,Hukeri,597554,Konankeri,"Konankeri,Hukeri,Belgaum,Karnataka,India"
29,555,Belgaum,5437,Hukeri,597625,Ghodageri,"Ghodageri,Hukeri,Belgaum,Karnataka,India"
29,555,Belgaum,5438,Belgaum,597685,Mannikeri,"Mannikeri,Belgaum,Belgaum,Karnataka,India"
29,555,Belgaum,5438,Belgaum,597710,Bekkinakeri,"Bekkinakeri,Belgaum,Belgaum,Karnataka,India"
29,555,Belgaum,5438,Belgaum,597786,Bhendigeri,"Bhendigeri,Belgaum,Belgaum,Karnataka,India"
29,555,Belgaum,5439,Khanapur,597812,Betageri,"Betageri,Khanapur,Belgaum,Karnataka,India"
29,555,Belgaum,5439,Khanapur,598016,Kakkeri,"Kakkeri,Khanapur,Belgaum,Karnataka,India"
29,555,Belgaum,5439,Khanapur,598019,Godageri,"Godageri,Khanapur,Belgaum,Karnataka,India"
29,555,Belgaum,5440,Sampgaon,598051,Hannikeri,"Hannikeri,Sampgaon,Belgaum,Karnataka,India"
29,555,Belgaum,5440,Sampgaon,598092,Bachanakeri,"Bachanakeri,Sampgaon,Belgaum,Karnataka,India"
29,555,Belgaum,5440,Sampgaon,598111,Yettinkeri,"Yettinkeri,Sampgaon,Belgaum,Karnataka,India"
29,555,Belgaum,5440,Sampgaon,598114,Marigeri,"Marigeri,Sampgaon,Belgaum,Karnataka,India"
29,555,Belgaum,5440,Sampgaon,598141,Udikeri,"Udikeri,Sampgaon,Belgaum,Karnataka,India"
29,555,Belgaum,5441,Parasgad,598157,Mellikeri,"Mellikeri,Parasgad,Belgaum,Karnataka,India"
29,555,Belgaum,5441,Parasgad,598160,Tavalageri,"Tavalageri,Parasgad,Belgaum,Karnataka,India"
29,555,Belgaum,5441,Parasgad,598165,Sattigeri,"Sattigeri,Parasgad,Belgaum,Karnataka,India"
29,555,Belgaum,5441,Parasgad,598166,Gudamakeri,"Gudamakeri,Parasgad,Belgaum,Karnataka,India"
29,555,Belgaum,5441,Parasgad,598168,Madamageri,"Madamageri,Parasgad,Belgaum,Karnataka,India"
29,555,Belgaum,5441,Parasgad,598224,Chakrageri,"Chakrageri,Parasgad,Belgaum,Karnataka,India"
29,555,Belgaum,5441,Parasgad,598243,Chikkulligeri,"Chikkulligeri,Parasgad,Belgaum,Karnataka,India"
29,555,Belgaum,5441,Parasgad,598245,Hireulligeri,"Hireulligeri,Parasgad,Belgaum,Karnataka,India"
29,555,Belgaum,5441,Parasgad,598273,Yakkeri,"Yakkeri,Parasgad,Belgaum,Karnataka,India"
29,555,Belgaum,5442,Ramdurg,598290,Kamakeri,"Kamakeri,Ramdurg,Belgaum,Karnataka,India"
29,555,Belgaum,5442,Ramdurg,598342,Hosakeri,"Hosakeri,Ramdurg,Belgaum,Karnataka,India"
29,556,Bagalkot ,5444,Bilgi,598515,Arakeri,"Arakeri,Bilgi,Bagalkot,Karnataka,India"
29,556,Bagalkot ,5444,Bilgi,598519,Mannikeri,"Mannikeri,Bilgi,Bagalkot,Karnataka,India"
29,556,Bagalkot ,5445,Mudhol,598576,Melligeri,"Melligeri,Mudhol,Bagalkot,Karnataka,India"
