STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
29,571,Tumkur,5535,Madhugiri ,610806,Chikkanahalli,"Chikkanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610807,Gopagondnahalli,"Gopagondnahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610808,Kanivenahalli,"Kanivenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610809,Seegalahalli,"Seegalahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610810,Thirumaladevarahalli,"Thirumaladevarahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610811,Gopalahalli,"Gopalahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610812,Muddenahalli,"Muddenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610816,Shambonahalli,"Shambonahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610819,Bandrehalli,"Bandrehalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610820,Dasarahalli,"Dasarahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610824,Tavakadahalli,"Tavakadahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610826,Kambatanahalli,"Kambatanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610829,Bhaktarahalli,"Bhaktarahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610831,Banavenahalli,"Banavenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610832,Jadegondnahalli,"Jadegondnahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610833,Vaderahalli,"Vaderahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610834,Basavanahalli,"Basavanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610835,Giddenahalli,"Giddenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610836,Jogihalli,"Jogihalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610837,Chikaveeragondnahalli,"Chikaveeragondnahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610839,Gundlahalli,"Gundlahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610841,Doddaveeragondanahalli,"Doddaveeragondanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610843,Thigondanahalli,"Thigondanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610844,Hosahalli,"Hosahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610853,Cholenahalli,"Cholenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610855,Guruvaderahalli,"Guruvaderahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610856,Palyadahalli,"Palyadahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610857,Mallenahalli,"Mallenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610858,Sogenahalli,"Sogenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610859,Pujarahalli,"Pujarahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610860,Puttenahalli,"Puttenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610861,Veerannanahalli,"Veerannanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610862,Settihalli,"Settihalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610864,Veeranagenahalli,"Veeranagenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610866,Malagondanahalli,"Malagondanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610867,Chowlahalli,"Chowlahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610869,Itakadibbanahalli,"Itakadibbanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610870,Kantanahalli,"Kantanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610876,Shanaganahalli,"Shanaganahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610882,Bydarahalli,"Bydarahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610883,Gullahalli,"Gullahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610884,Sadarahalli,"Sadarahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610888,Channamallanahalli,"Channamallanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610889,Sobenahalli,"Sobenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610890,Cheelanahalli,"Cheelanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610892,Bandenahalli,"Bandenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610893,Nallahalli,"Nallahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610894,Yaramallanahalli,"Yaramallanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610895,Huvinahalli,"Huvinahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610898,Dadagondanahalli,"Dadagondanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610902,Varadanahalli,"Varadanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610903,Polenahalli,"Polenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610904,Muddenahalli,"Muddenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610905,Vengalammanahalli,"Vengalammanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610906,Kasinaikanahalli,"Kasinaikanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610907,Thirumaladevarahalli,"Thirumaladevarahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610908,Nagenahalli,"Nagenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610909,Parthihalli,"Parthihalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610912,Annenahalli,"Annenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610914,Singanahalli,"Singanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610915,Adavinagenahalli,"Adavinagenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610916,Mydanahalli,"Mydanahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610917,Doddenahalli,"Doddenahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610918,Hosahalli,"Hosahalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610919,Reddihalli,"Reddihalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610921,Jalihalli,"Jalihalli,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610922,Muthyalammanahalli,"Muthyalammanahalli,Madhugiri,Tumkur,Karnataka,India"
