STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
29,555,Belgaum,5435,Raybag ,597402,Hidakal,"Hidakal,Raybag,Belgaum,Karnataka,India"
29,555,Belgaum,5437,Hukeri,597617,Hidkal,"Hidkal,Hukeri,Belgaum,Karnataka,India"
29,555,Belgaum,5439,Khanapur,597937,Honakal,"Honakal,Khanapur,Belgaum,Karnataka,India"
29,556,Bagalkot ,5444,Bilgi,598495,Kontikal,"Kontikal,Bilgi,Bagalkot,Karnataka,India"
29,556,Bagalkot ,5444,Bilgi,598532,Herkal,"Herkal,Bilgi,Bagalkot,Karnataka,India"
29,556,Bagalkot ,5448,Hungund,598870,Suralikal,"Suralikal,Hungund,Bagalkot,Karnataka,India"
29,557,Bijapur,5452,Basavana Bagevadi,599557,Kanakal,"Kanakal,Basavana Bagevadi,Bijapur,Karnataka,India"
29,557,Bijapur,5453,Muddebihal,599613,Chirchankal,"Chirchankal,Muddebihal,Bijapur,Karnataka,India"
29,558,Bidar,5456,Aurad ,600022,K0Rekal,"K0Rekal,Aurad,Bidar,Karnataka,India"
29,558,Bidar,5456,Aurad ,600032,Maskal,"Maskal,Aurad,Bidar,Karnataka,India"
29,559,Raichur,5459,Lingsugur ,600402,Sunkal,"Sunkal,Lingsugur,Raichur,Karnataka,India"
29,559,Raichur,5459,Lingsugur ,600422,Karadakal,"Karadakal,Lingsugur,Raichur,Karnataka,India"
29,559,Raichur,5459,Lingsugur ,600454,Tanmankal,"Tanmankal,Lingsugur,Raichur,Karnataka,India"
29,559,Raichur,5460,Devadurga ,600580,Madarkal,"Madarkal,Devadurga,Raichur,Karnataka,India"
29,559,Raichur,5460,Devadurga ,600583,Sunnadkal,"Sunnadkal,Devadurga,Raichur,Karnataka,India"
29,559,Raichur,5460,Devadurga ,600592,Benkal,"Benkal,Devadurga,Raichur,Karnataka,India"
29,559,Raichur,5460,Devadurga ,600632,Masarkal,"Masarkal,Devadurga,Raichur,Karnataka,India"
29,559,Raichur,5460,Devadurga ,600640,Madarkal,"Madarkal,Devadurga,Raichur,Karnataka,India"
29,559,Raichur,5460,Devadurga ,600668,Maladkal,"Maladkal,Devadurga,Raichur,Karnataka,India"
29,559,Raichur,5460,Devadurga ,600672,Ganekal,"Ganekal,Devadurga,Raichur,Karnataka,India"
29,559,Raichur,5460,Devadurga ,600677,Pilikal,"Pilikal,Devadurga,Raichur,Karnataka,India"
29,559,Raichur,5460,Devadurga ,600698,Benderganekal,"Benderganekal,Devadurga,Raichur,Karnataka,India"
29,559,Raichur,5460,Devadurga ,600714,Jagatkal,"Jagatkal,Devadurga,Raichur,Karnataka,India"
29,559,Raichur,5461,Raichur ,600734,Karekal,"Karekal,Raichur,Raichur,Karnataka,India"
29,559,Raichur,5461,Raichur ,600805,Jegarkal,"Jegarkal,Raichur,Raichur,Karnataka,India"
29,559,Raichur,5462,Manvi ,600891,Kotekal,"Kotekal,Manvi,Raichur,Karnataka,India"
29,559,Raichur,5462,Manvi ,600901,Irkal,"Irkal,Manvi,Raichur,Karnataka,India"
29,559,Raichur,5462,Manvi ,600958,Nawalkal,"Nawalkal,Manvi,Raichur,Karnataka,India"
29,559,Raichur,5462,Manvi ,601004,Gorkal,"Gorkal,Manvi,Raichur,Karnataka,India"
29,559,Raichur,5462,Manvi ,601008,Seekal,"Seekal,Manvi,Raichur,Karnataka,India"
29,559,Raichur,5462,Manvi ,601019,Rabbankal,"Rabbankal,Manvi,Raichur,Karnataka,India"
29,559,Raichur,5462,Manvi ,601032,Chikkotankal,"Chikkotankal,Manvi,Raichur,Karnataka,India"
29,559,Raichur,5462,Manvi ,601042,Tadkal,"Tadkal,Manvi,Raichur,Karnataka,India"
29,559,Raichur,5462,Manvi ,601047,Janekal,"Janekal,Manvi,Raichur,Karnataka,India"
29,559,Raichur,5462,Manvi ,601050,Hire Kotankal,"Hire Kotankal,Manvi,Raichur,Karnataka,India"
29,559,Raichur,5463,Sindhnur ,601224,Gobberkal,"Gobberkal,Sindhnur,Raichur,Karnataka,India"
29,560,Koppal,5464,Yelbarga ,601296,Hire Waddarkal,"Hire Waddarkal,Yelbarga,Koppal,Karnataka,India"
29,560,Koppal,5464,Yelbarga ,601358,Benakal,"Benakal,Yelbarga,Koppal,Karnataka,India"
29,560,Koppal,5464,Yelbarga ,601370,Tadkal,"Tadkal,Yelbarga,Koppal,Karnataka,India"
29,560,Koppal,5465,Kushtagi ,601381,Bilekal,"Bilekal,Kushtagi,Koppal,Karnataka,India"
29,560,Koppal,5465,Kushtagi ,601404,Gudadurkal,"Gudadurkal,Kushtagi,Koppal,Karnataka,India"
29,560,Koppal,5465,Kushtagi ,601410,Varikal,"Varikal,Kushtagi,Koppal,Karnataka,India"
29,560,Koppal,5465,Kushtagi ,601493,Bijakal,"Bijakal,Kushtagi,Koppal,Karnataka,India"
29,560,Koppal,5466,Gangawati ,601590,Sulekal,"Sulekal,Gangawati,Koppal,Karnataka,India"
29,560,Koppal,5466,Gangawati ,601607,Udamkal,"Udamkal,Gangawati,Koppal,Karnataka,India"
29,560,Koppal,5466,Gangawati ,601614,Chikka Benkal,"Chikka Benkal,Gangawati,Koppal,Karnataka,India"
29,560,Koppal,5466,Gangawati ,601676,Hire Dankankal,"Hire Dankankal,Gangawati,Koppal,Karnataka,India"
29,560,Koppal,5466,Gangawati ,601700,Kottankal,"Kottankal,Gangawati,Koppal,Karnataka,India"
29,560,Koppal,5467,Koppal ,601754,Tankankal,"Tankankal,Koppal,Koppal,Karnataka,India"
29,560,Koppal,5467,Koppal ,601772,Chukankal,"Chukankal,Koppal,Koppal,Karnataka,India"
29,562,Dharwad,5475,Hubli,602376,Unkal,"Unkal,Hubli,Dharwad,Karnataka,India"
29,563,Uttara Kannada,5479,Supa,602740,Vadkal,"Vadkal,Supa,Uttara Kannada,Karnataka,India"
29,563,Uttara Kannada,5484,Ankola ,603349,Kattinhakkal,"Kattinhakkal,Ankola,Uttara Kannada,Karnataka,India"
29,563,Uttara Kannada,5486,Siddapur ,603595,Madankal,"Madankal,Siddapur,Uttara Kannada,Karnataka,India"
29,563,Uttara Kannada,5487,Honavar ,603769,Adukal,"Adukal,Honavar,Uttara Kannada,Karnataka,India"
29,563,Uttara Kannada,5487,Honavar ,603770,Hadikal,"Hadikal,Honavar,Uttara Kannada,Karnataka,India"
29,563,Uttara Kannada,5487,Honavar ,603793,Janna Kadkal,"Janna Kadkal,Honavar,Uttara Kannada,Karnataka,India"
29,563,Uttara Kannada,5487,Honavar ,603809,Hanehallikabbinahakkal,"Hanehallikabbinahakkal,Honavar,Uttara Kannada,Karnataka,India"
29,563,Uttara Kannada,5488,Bhatkal ,603826,Karikal,"Karikal,Bhatkal,Uttara Kannada,Karnataka,India"
29,563,Uttara Kannada,5488,Bhatkal ,603836,Mudbhatkal,"Mudbhatkal,Bhatkal,Uttara Kannada,Karnataka,India"
29,565,Bellary,5496,Hadagalli,604609,Kotanakal,"Kotanakal,Hadagalli,Bellary,Karnataka,India"
29,565,Bellary,5497,Hagaribommanahalli,604645,Bannikal,"Bannikal,Hagaribommanahalli,Bellary,Karnataka,India"
29,565,Bellary,5497,Hagaribommanahalli,604677,Anekal,"Anekal,Hagaribommanahalli,Bellary,Karnataka,India"
29,565,Bellary,5497,Hagaribommanahalli,604690,Bennikal,"Bennikal,Hagaribommanahalli,Bellary,Karnataka,India"
29,565,Bellary,5499,Siruguppa ,604771,Herakal,"Herakal,Siruguppa,Bellary,Karnataka,India"
29,565,Bellary,5500,Bellary ,604913,Sanganakal,"Sanganakal,Bellary,Bellary,Karnataka,India"
29,565,Bellary,5500,Bellary ,604917,Karekal,"Karekal,Bellary,Bellary,Karnataka,India"
29,565,Bellary,5502,Kudligi ,605112,Sunkadakal,"Sunkadakal,Kudligi,Bellary,Karnataka,India"
29,565,Bellary,5502,Kudligi ,605118,Banavikal,"Banavikal,Kudligi,Bellary,Karnataka,India"
29,566,Chitradurga,5505,Chitradurga ,605506,Haikal,"Haikal,Chitradurga,Chitradurga,Karnataka,India"
29,566,Chitradurga,5507,Hosdurga ,605866,Goravinakal,"Goravinakal,Hosdurga,Chitradurga,Karnataka,India"
29,566,Chitradurga,5507,Hosdurga ,605909,Thanigekal,"Thanigekal,Hosdurga,Chitradurga,Karnataka,India"
29,566,Chitradurga,5507,Hosdurga ,605910,Janakal,"Janakal,Hosdurga,Chitradurga,Karnataka,India"
29,566,Chitradurga,5507,Hosdurga ,605993,Sujikal,"Sujikal,Hosdurga,Chitradurga,Karnataka,India"
29,566,Chitradurga,5508,Hiriyur ,606137,Maskal,"Maskal,Hiriyur,Chitradurga,Karnataka,India"
29,567,Davanagere,5511,Jagalur ,606471,Halekal,"Halekal,Jagalur,Davanagere,Karnataka,India"
29,568,Shimoga,5520,Shimoga ,608484,Kadekal,"Kadekal,Shimoga,Shimoga,Karnataka,India"
29,569,Udupi,5522,Kundapura ,608683,Jadkal,"Jadkal,Kundapura,Udupi,Karnataka,India"
29,570,Chikmagalur,5525,Sringeri ,608963,Ginikal,"Ginikal,Sringeri,Chikmagalur,Karnataka,India"
29,570,Chikmagalur,5530,Chikmagalur ,609680,Thogarihankal,"Thogarihankal,Chikmagalur,Chikmagalur,Karnataka,India"
29,570,Chikmagalur,5530,Chikmagalur ,609688,Gonakal,"Gonakal,Chikmagalur,Chikmagalur,Karnataka,India"
29,570,Chikmagalur,5531,Mudigere ,609923,Markal,"Markal,Mudigere,Chikmagalur,Karnataka,India"
29,570,Chikmagalur,5531,Mudigere ,609928,Banakal,"Banakal,Mudigere,Chikmagalur,Karnataka,India"
29,570,Chikmagalur,5531,Mudigere ,609961,Naduvinamadkal,"Naduvinamadkal,Mudigere,Chikmagalur,Karnataka,India"
29,570,Chikmagalur,5531,Mudigere ,609962,Kademadkal,"Kademadkal,Mudigere,Chikmagalur,Karnataka,India"
29,571,Tumkur,5534,Pavagada ,610544,Vadanakal,"Vadanakal,Pavagada,Tumkur,Karnataka,India"
29,571,Tumkur,5537,Tumkur ,611362,Hirekodathakal,"Hirekodathakal,Tumkur,Tumkur,Karnataka,India"
29,571,Tumkur,5537,Tumkur ,611364,Chikkakodathakal,"Chikkakodathakal,Tumkur,Tumkur,Karnataka,India"
29,571,Tumkur,5537,Tumkur ,611404,Vadekal,"Vadekal,Tumkur,Tumkur,Karnataka,India"
29,571,Tumkur,5537,Tumkur ,611409,Hikkal,"Hikkal,Tumkur,Tumkur,Karnataka,India"
