STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
29,562,Dharwad,5476,Kalghatgi ,602503,Dyavankonda,"Dyavankonda,Kalghatgi,Dharwad,Karnataka,India"
29,563,Uttara Kannada,5487,Honavar ,603746,Apsarkonda,"Apsarkonda,Honavar,Uttara Kannada,Karnataka,India"
29,564,Haveri,5494,Hirekerur ,604376,Shitikonda,"Shitikonda,Hirekerur,Haveri,Karnataka,India"
29,564,Haveri,5494,Hirekerur ,604379,Godachikonda,"Godachikonda,Hirekerur,Haveri,Karnataka,India"
29,564,Haveri,5494,Hirekerur ,604417,Holabikonda,"Holabikonda,Hirekerur,Haveri,Karnataka,India"
29,566,Chitradurga,5505,Chitradurga ,605593,Janukonda,"Janukonda,Chitradurga,Chitradurga,Karnataka,India"
29,567,Davanagere,5512,Davanagere ,606702,Gujjikonda,"Gujjikonda,Davanagere,Davanagere,Karnataka,India"
29,567,Davanagere,5513,Honnali ,606734,Kudurekonda,"Kudurekonda,Honnali,Davanagere,Karnataka,India"
29,582,Chikkaballapura,5597,Gudibanda ,623779,Varlakonda,"Varlakonda,Gudibanda,Chikkaballapura,Karnataka,India"
29,582,Chikkaballapura,5598,Bagepalli ,623991,Kondikonda,"Kondikonda,Bagepalli,Chikkaballapura,Karnataka,India"
