STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
29,559,Raichur,5461,Raichur ,600816,Kalmala,"Kalmala,Raichur,Raichur,Karnataka,India"
29,571,Tumkur,5533,Sira ,610465,Katamala,"Katamala,Sira,Tumkur,Karnataka,India"
29,577,Mysore,5573,Heggadadevankote ,619061,Vadakanamala,"Vadakanamala,Heggadadevankote,Mysore,Karnataka,India"
29,577,Mysore,5573,Heggadadevankote ,619065,Anemala,"Anemala,Heggadadevankote,Mysore,Karnataka,India"
29,577,Mysore,5573,Heggadadevankote ,619085,Hullemala,"Hullemala,Heggadadevankote,Mysore,Karnataka,India"
29,578,Chamarajanagar,5577,Chamarajanagar ,619642,Melmala,"Melmala,Chamarajanagar,Chamarajanagar,Karnataka,India"
29,578,Chamarajanagar,5579,Kollegal ,619865,Ellemala,"Ellemala,Kollegal,Chamarajanagar,Karnataka,India"
29,582,Chikkaballapura,5598,Bagepalli ,623864,Penamala,"Penamala,Bagepalli,Chikkaballapura,Karnataka,India"
29,584,Ramanagara,5605,Magadi ,625870,Kuppemala,"Kuppemala,Magadi,Ramanagara,Karnataka,India"
29,584,Ramanagara,5606,Ramanagara,626078,Hallimala,"Hallimala,Ramanagara,Ramanagara,Karnataka,India"
29,584,Ramanagara,5608,Kanakapura ,626405,Avaremala,"Avaremala,Kanakapura,Ramanagara,Karnataka,India"
