STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
29,555,Belgaum,5438,Belgaum,597722,Kudremani,"Kudremani,Belgaum,Belgaum,Karnataka,India"
29,555,Belgaum,5439,Khanapur,597818,Kalmani,"Kalmani,Khanapur,Belgaum,Karnataka,India"
29,555,Belgaum,5439,Khanapur,597825,Olamani,"Olamani,Khanapur,Belgaum,Karnataka,India"
29,555,Belgaum,5441,Parasgad,598208,Karimani,"Karimani,Parasgad,Belgaum,Karnataka,India"
29,556,Bagalkot ,5447,Bagalkot,598817,Chick Sitimani,"Chick Sitimani,Bagalkot,Bagalkot,Karnataka,India"
29,556,Bagalkot ,5447,Bagalkot,598818,Sitimani,"Sitimani,Bagalkot,Bagalkot,Karnataka,India"
29,563,Uttara Kannada,5480,Haliyal ,602770,Satmani,"Satmani,Haliyal,Uttara Kannada,Karnataka,India"
29,563,Uttara Kannada,5484,Ankola ,603358,Kammani,"Kammani,Ankola,Uttara Kannada,Karnataka,India"
29,571,Tumkur,5534,Pavagada ,610584,Thirumani,"Thirumani,Pavagada,Tumkur,Karnataka,India"
29,576,Kodagu,5566,Madikeri ,617794,Thannimani,"Thannimani,Madikeri,Kodagu,Karnataka,India"
29,578,Chamarajanagar,5576,Gundlupet ,619510,Vijayapura Amani,"Vijayapura Amani,Gundlupet,Chamarajanagar,Karnataka,India"
29,578,Chamarajanagar,5576,Gundlupet ,619581,Vodeyanapura Amani,"Vodeyanapura Amani,Gundlupet,Chamarajanagar,Karnataka,India"
29,581,Kolar,5594,Mulbagal ,623049,Kirumani,"Kirumani,Mulbagal,Kolar,Karnataka,India"
29,582,Chikkaballapura,5597,Gudibanda ,623739,Thirumani,"Thirumani,Gudibanda,Chikkaballapura,Karnataka,India"
