STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
29,566,Chitradurga,5505,Chitradurga ,605540,Guttinadu,"Guttinadu,Chitradurga,Chitradurga,Karnataka,India"
29,566,Chitradurga,5507,Hosdurga ,605869,Hunavinadu,"Hunavinadu,Hosdurga,Chitradurga,Karnataka,India"
29,566,Chitradurga,5507,Hosdurga ,605963,Kainadu,"Kainadu,Hosdurga,Chitradurga,Karnataka,India"
29,566,Chitradurga,5507,Hosdurga ,606005,Menasinadu,"Menasinadu,Hosdurga,Chitradurga,Karnataka,India"
29,566,Chitradurga,5508,Hiriyur ,606164,Yelanadu,"Yelanadu,Hiriyur,Chitradurga,Karnataka,India"
29,566,Chitradurga,5508,Hiriyur ,606173,Bagganadu,"Bagganadu,Hiriyur,Chitradurga,Karnataka,India"
29,566,Chitradurga,5508,Hiriyur ,606192,Handiganadu,"Handiganadu,Hiriyur,Chitradurga,Karnataka,India"
29,568,Shimoga,5518,Hosanagara ,607857,Hosanadu,"Hosanadu,Hosanagara,Shimoga,Karnataka,India"
29,570,Chikmagalur,5525,Sringeri ,608938,Malanadu,"Malanadu,Sringeri,Chikmagalur,Karnataka,India"
29,570,Chikmagalur,5529,Kadur ,609474,Kunkanadu,"Kunkanadu,Kadur,Chikmagalur,Karnataka,India"
29,570,Chikmagalur,5531,Mudigere ,609894,Hornadu,"Hornadu,Mudigere,Chikmagalur,Karnataka,India"
29,570,Chikmagalur,5531,Mudigere ,609913,Maliganadu,"Maliganadu,Mudigere,Chikmagalur,Karnataka,India"
29,571,Tumkur,5532,Chiknayakanhalli ,610090,Marenadu,"Marenadu,Chiknayakanhalli,Tumkur,Karnataka,India"
29,571,Tumkur,5532,Chiknayakanhalli ,610098,Yalanadu,"Yalanadu,Chiknayakanhalli,Tumkur,Karnataka,India"
29,571,Tumkur,5532,Chiknayakanhalli ,610141,Handiganadu,"Handiganadu,Chiknayakanhalli,Tumkur,Karnataka,India"
29,571,Tumkur,5533,Sira ,610349,Bhoppanadu,"Bhoppanadu,Sira,Tumkur,Karnataka,India"
29,571,Tumkur,5534,Pavagada ,610615,Gujjanadu,"Gujjanadu,Pavagada,Tumkur,Karnataka,India"
29,575,Dakshina Kannada,5561,Mangalore,617462,Padumarnadu,"Padumarnadu,Mangalore,Dakshina Kannada,Karnataka,India"
29,575,Dakshina Kannada,5561,Mangalore,617463,Moodumarnadu,"Moodumarnadu,Mangalore,Dakshina Kannada,Karnataka,India"
29,575,Dakshina Kannada,5562,Bantval ,617575,Kolnadu,"Kolnadu,Bantval,Dakshina Kannada,Karnataka,India"
29,575,Dakshina Kannada,5565,Sulya ,617759,Aivarnadu,"Aivarnadu,Sulya,Dakshina Kannada,Karnataka,India"
29,576,Kodagu,5566,Madikeri ,617813,Heravanadu,"Heravanadu,Madikeri,Kodagu,Karnataka,India"
