STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
29,555,Belgaum,5433,Chikodi,597120,Koganoli,"Koganoli,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597218,Nagaramunnoli,"Nagaramunnoli,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5436,Gokak,597469,Shigiholi,"Shigiholi,Gokak,Belgaum,Karnataka,India"
29,555,Belgaum,5436,Gokak,597470,Gaddiholi,"Gaddiholi,Gokak,Belgaum,Karnataka,India"
29,555,Belgaum,5436,Gokak,597522,Sunadholi,"Sunadholi,Gokak,Belgaum,Karnataka,India"
29,555,Belgaum,5437,Hukeri,597596,Hulloli,"Hulloli,Hukeri,Belgaum,Karnataka,India"
29,555,Belgaum,5437,Hukeri,597599,Yalimunoli,"Yalimunoli,Hukeri,Belgaum,Karnataka,India"
29,555,Belgaum,5437,Hukeri,597630,Mastiholi,"Mastiholi,Hukeri,Belgaum,Karnataka,India"
29,555,Belgaum,5437,Hukeri,597633,Benakanholi,"Benakanholi,Hukeri,Belgaum,Karnataka,India"
29,555,Belgaum,5437,Hukeri,597649,Biranholi,"Biranholi,Hukeri,Belgaum,Karnataka,India"
29,555,Belgaum,5438,Belgaum,597687,Kadoli,"Kadoli,Belgaum,Belgaum,Karnataka,India"
29,555,Belgaum,5438,Belgaum,597701,Rangadholi,"Rangadholi,Belgaum,Belgaum,Karnataka,India"
29,555,Belgaum,5438,Belgaum,597723,Sonoli,"Sonoli,Belgaum,Belgaum,Karnataka,India"
29,555,Belgaum,5438,Belgaum,597727,Mandoli,"Mandoli,Belgaum,Belgaum,Karnataka,India"
29,555,Belgaum,5438,Belgaum,597789,Kukadoli,"Kukadoli,Belgaum,Belgaum,Karnataka,India"
29,555,Belgaum,5439,Khanapur,597817,Chapoli,"Chapoli,Khanapur,Belgaum,Karnataka,India"
29,555,Belgaum,5439,Khanapur,597827,Kapoli K.Chapoli,"Kapoli K.Chapoli,Khanapur,Belgaum,Karnataka,India"
