STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
29,568,Shimoga,5515,Sagar ,607254,Kaspadi,"Kaspadi,Sagar,Shimoga,Karnataka,India"
29,568,Shimoga,5515,Sagar ,607309,Kippadi,"Kippadi,Sagar,Shimoga,Karnataka,India"
29,569,Udupi,5522,Kundapura ,608728,Gopadi,"Gopadi,Kundapura,Udupi,Karnataka,India"
29,569,Udupi,5523,Udupi,608810,Bellarpadi,"Bellarpadi,Udupi,Udupi,Karnataka,India"
29,571,Tumkur,5535,Madhugiri ,610913,Masarapadi,"Masarapadi,Madhugiri,Tumkur,Karnataka,India"
29,571,Tumkur,5541,Kunigal ,612579,Ippadi,"Ippadi,Kunigal,Tumkur,Karnataka,India"
29,575,Dakshina Kannada,5561,Mangalore,617468,Valpadi,"Valpadi,Mangalore,Dakshina Kannada,Karnataka,India"
29,575,Dakshina Kannada,5564,Puttur,617687,Kudipadi,"Kudipadi,Puttur,Dakshina Kannada,Karnataka,India"
29,575,Dakshina Kannada,5564,Puttur,617692,Bellipadi,"Bellipadi,Puttur,Dakshina Kannada,Karnataka,India"
29,575,Dakshina Kannada,5564,Puttur,617716,Kutrupadi,"Kutrupadi,Puttur,Dakshina Kannada,Karnataka,India"
29,576,Kodagu,5566,Madikeri ,617847,Yevakapadi,"Yevakapadi,Madikeri,Kodagu,Karnataka,India"
29,582,Chikkaballapura,5598,Bagepalli ,623961,Ramanpadi,"Ramanpadi,Bagepalli,Chikkaballapura,Karnataka,India"
29,582,Chikkaballapura,5599,Sidlaghatta ,624164,Yedlapadi,"Yedlapadi,Sidlaghatta,Chikkaballapura,Karnataka,India"
29,582,Chikkaballapura,5600,Chintamani ,624388,Yenumalapadi,"Yenumalapadi,Chintamani,Chikkaballapura,Karnataka,India"
