STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
32,591,Kozhikode,5639,Quilandy,627384,Unnikulam,"Unnikulam,Quilandy,Kozhikode,Kerala,India"
32,592,Malappuram,5643,Perinthalmanna,627505,Elamkulam,"Elamkulam,Perinthalmanna,Malappuram,Kerala,India"
32,592,Malappuram,5646,Ponnani,627558,Vattamkulam,"Vattamkulam,Ponnani,Malappuram,Kerala,India"
32,594,Thrissur,5652,Talappilly,627722,Painkulam,"Painkulam,Talappilly,Thrissur,Kerala,India"
32,594,Thrissur,5656,Mukundapuram,627918,Thirumukkulam,"Thirumukkulam,Mukundapuram,Thrissur,Kerala,India"
32,595,Ernakulam,0,Ernakulam,0,Ernakulam,"Ernakulam,Ernakulam,Ernakulam,Kerala,India"
32,595,Ernakulam,5662,Muvattupuzha,628035,Koothattukulam,"Koothattukulam,Muvattupuzha,Ernakulam,Kerala,India"
32,596,Idukki ,5664,Devikulam,0,Devikulam,"Devikulam,Devikulam,Idukki,Kerala,India"
32,596,Idukki ,5664,Devikulam,628055,Mankulam,"Mankulam,Devikulam,Idukki,Kerala,India"
32,597,Kottayam,5669,Vaikom,628141,Mulakulam,"Mulakulam,Vaikom,Kottayam,Kerala,India"
32,597,Kottayam,5672,Kanjirappally,628198,Elikkulam,"Elikkulam,Kanjirappally,Kottayam,Kerala,India"
32,598,Alappuzha,5675,Kuttanad,628244,Champakkulam,"Champakkulam,Kuttanad,Alappuzha,Kerala,India"
32,598,Alappuzha,5678,Mavelikkara,628285,Thamarakkulam,"Thamarakkulam,Mavelikkara,Alappuzha,Kerala,India"
32,599,Pathanamthitta,5683,Adoor,628351,Ezhamkulam,"Ezhamkulam,Adoor,Pathanamthitta,Kerala,India"
32,601,Thiruvananthapuram,5689,Chirayinkeezhu,628455,Navaikulam,"Navaikulam,Chirayinkeezhu,Thiruvananthapuram,Kerala,India"
32,601,Thiruvananthapuram,5690,Nedumangad,628501,Perumkulam,"Perumkulam,Nedumangad,Thiruvananthapuram,Kerala,India"
32,601,Thiruvananthapuram,5691,Thiruvananthapuram,628505,Kadinamkulam,"Kadinamkulam,Thiruvananthapuram,Thiruvananthapuram,Kerala,India"
32,601,Thiruvananthapuram,5691,Thiruvananthapuram,628509,Menamkulam,"Menamkulam,Thiruvananthapuram,Thiruvananthapuram,Kerala,India"
