STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
32,588,Kasaragod,5630,Kasaragod,627092,Edanad,"Edanad,Kasaragod,Kasaragod,Kerala,India"
32,588,Kasaragod,5630,Kasaragod,627100,Kalnad,"Kalnad,Kasaragod,Kasaragod,Kerala,India"
32,588,Kasaragod,5630,Kasaragod,627115,Munnad,"Munnad,Kasaragod,Kasaragod,Kerala,India"
32,590,Wayanad,0,Wayanad,0,Wayanad,"Wayanad,Wayanad,Wayanad,Kerala,India"
32,590,Wayanad,5635,Mananthavady,627299,Thondernad,"Thondernad,Mananthavady,Wayanad,Kerala,India"
32,590,Wayanad,5635,Mananthavady,627302,Nalloornad,"Nalloornad,Mananthavady,Wayanad,Kerala,India"
32,590,Wayanad,5636,Sulthanbathery,627313,Kidanganad,"Kidanganad,Sulthanbathery,Wayanad,Kerala,India"
32,590,Wayanad,5637,Vythiri,627339,Muppainad,"Muppainad,Vythiri,Wayanad,Kerala,India"
32,592,Malappuram,5641,Ernad,0,Ernad,"Ernad,Ernad,Malappuram,Kerala,India"
32,592,Malappuram,5643,Perinthalmanna,627508,Moorkkanad,"Moorkkanad,Perinthalmanna,Malappuram,Kerala,India"
32,592,Malappuram,5644,Tirur,627521,Athavanad,"Athavanad,Tirur,Malappuram,Kerala,India"
32,594,Thrissur,5652,Talappilly,627755,Elanad,"Elanad,Talappilly,Thrissur,Kerala,India"
32,595,Ernakulam,5657,Kunnathunad,0,Kunnathunad,"Kunnathunad,Kunnathunad,Ernakulam,Kerala,India"
32,595,Ernakulam,5657,Kunnathunad,627941,Kodanad,"Kodanad,Kunnathunad,Ernakulam,Kerala,India"
32,595,Ernakulam,5657,Kunnathunad,627942,Kombanad,"Kombanad,Kunnathunad,Ernakulam,Kerala,India"
32,597,Kottayam,5668,Meenachil,628118,Kadanad,"Kadanad,Meenachil,Kottayam,Kerala,India"
32,598,Alappuzha,5675,Kuttanad,0,Kuttanad,"Kuttanad,Kuttanad,Alappuzha,Kerala,India"
32,598,Alappuzha,5675,Kuttanad,628242,Veliyanad,"Veliyanad,Kuttanad,Alappuzha,Kerala,India"
32,598,Alappuzha,5677,Chengannur,628274,Cheriyanad,"Cheriyanad,Chengannur,Alappuzha,Kerala,India"
32,598,Alappuzha,5678,Mavelikkara,628283,Noornad,"Noornad,Mavelikkara,Alappuzha,Kerala,India"
32,599,Pathanamthitta,5681,Ranni,628313,Perunad,"Perunad,Ranni,Pathanamthitta,Kerala,India"
32,601,Thiruvananthapuram,5690,Nedumangad,628479,Nellanad,"Nellanad,Nedumangad,Thiruvananthapuram,Kerala,India"
32,601,Thiruvananthapuram,5690,Nedumangad,628492,Anad,"Anad,Nedumangad,Thiruvananthapuram,Kerala,India"
32,601,Thiruvananthapuram,5690,Nedumangad,628496,Aryanad,"Aryanad,Nedumangad,Thiruvananthapuram,Kerala,India"
32,601,Thiruvananthapuram,5690,Nedumangad,628500,Vellanad,"Vellanad,Nedumangad,Thiruvananthapuram,Kerala,India"
