STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
32,588,Kasaragod,5630,Kasaragod,627057,Pavoor,"Pavoor,Kasaragod,Kasaragod,Kerala,India"
32,588,Kasaragod,5630,Kasaragod,627061,Koliyoor,"Koliyoor,Kasaragod,Kasaragod,Kerala,India"
32,588,Kasaragod,5630,Kasaragod,627062,Kaliyoor,"Kaliyoor,Kasaragod,Kasaragod,Kerala,India"
32,588,Kasaragod,5630,Kasaragod,627067,Kuloor,"Kuloor,Kasaragod,Kasaragod,Kerala,India"
32,588,Kasaragod,5630,Kasaragod,627073,Heroor,"Heroor,Kasaragod,Kasaragod,Kerala,India"
32,588,Kasaragod,5630,Kasaragod,627074,Kubanoor,"Kubanoor,Kasaragod,Kasaragod,Kerala,India"
32,588,Kasaragod,5630,Kasaragod,627075,Bekoor,"Bekoor,Kasaragod,Kasaragod,Kerala,India"
32,588,Kasaragod,5630,Kasaragod,627081,Badoor,"Badoor,Kasaragod,Kasaragod,Kerala,India"
32,588,Kasaragod,5630,Kasaragod,627094,Kidoor,"Kidoor,Kasaragod,Kasaragod,Kerala,India"
32,588,Kasaragod,5630,Kasaragod,627119,Adoor,"Adoor,Kasaragod,Kasaragod,Kerala,India"
32,588,Kasaragod,5631,Hosdurg,627155,Kinanoor,"Kinanoor,Hosdurg,Kasaragod,Kerala,India"
32,588,Kasaragod,5631,Hosdurg,627164,Udinoor,"Udinoor,Hosdurg,Kasaragod,Kerala,India"
32,589,Kannur,5632,Taliparamba ,627183,Kuttoor,"Kuttoor,Taliparamba,Kannur,Kerala,India"
32,589,Kannur,5632,Taliparamba ,627194,Panniyoor,"Panniyoor,Taliparamba,Kannur,Kerala,India"
32,589,Kannur,5632,Taliparamba ,627200,Payyavoor,"Payyavoor,Taliparamba,Kannur,Kerala,India"
32,589,Kannur,5632,Taliparamba ,627203,Padiyoor,"Padiyoor,Taliparamba,Kannur,Kerala,India"
32,589,Kannur,5634,Thalassery,627257,Kottiyoor,"Kottiyoor,Thalassery,Kannur,Kerala,India"
32,589,Kannur,5634,Thalassery,627270,Puthoor,"Puthoor,Thalassery,Kannur,Kerala,India"
32,591,Kozhikode,5638,Vadakara,627344,Thinoor,"Thinoor,Vadakara,Kozhikode,Kerala,India"
32,591,Kozhikode,5640,Kozhikode,627417,Madavoor,"Madavoor,Kozhikode,Kozhikode,Kerala,India"
32,592,Malappuram,5641,Ernad,627452,Kavanoor,"Kavanoor,Ernad,Malappuram,Kerala,India"
32,592,Malappuram,5642,Nilambur,627481,Wandoor,"Wandoor,Nilambur,Malappuram,Kerala,India"
32,592,Malappuram,5644,Tirur,627520,Edayoor,"Edayoor,Tirur,Malappuram,Kerala,India"
32,592,Malappuram,5644,Tirur,627523,Ananthavoor,"Ananthavoor,Tirur,Malappuram,Kerala,India"
32,593,Palakkad,5650,Chittur,627673,Ayiloor,"Ayiloor,Chittur,Palakkad,Kerala,India"
32,594,Thrissur,5652,Talappilly,627721,Varavoor,"Varavoor,Talappilly,Thrissur,Kerala,India"
32,594,Thrissur,5652,Talappilly,627732,Attoor,"Attoor,Talappilly,Thrissur,Kerala,India"
32,594,Thrissur,5654,Thrissur,627822,Chazhoor,"Chazhoor,Thrissur,Thrissur,Kerala,India"
32,595,Ernakulam,5657,Kunnathunad,627943,Vengoor,"Vengoor,Kunnathunad,Ernakulam,Kerala,India"
32,595,Ernakulam,5657,Kunnathunad,627945,Asamannoor,"Asamannoor,Kunnathunad,Ernakulam,Kerala,India"
32,595,Ernakulam,5657,Kunnathunad,627949,Mazhuvannoor,"Mazhuvannoor,Kunnathunad,Ernakulam,Kerala,India"
