STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
17,295,South Garo Hills,1978,Rongara ,276204,Matchirampat,"Matchirampat,Rongara,South Garo Hills,Meghalaya,India"
17,296,West Khasi Hills,1979,Mawshynrut,276514,Mawsyrpat,"Mawsyrpat,Mawshynrut,West Khasi Hills,Meghalaya,India"
17,296,West Khasi Hills,1982,Mairang,277005,Mawpat,"Mawpat,Mairang,West Khasi Hills,Meghalaya,India"
17,296,West Khasi Hills,1983,Ranikor,277155,Rngimawpat,"Rngimawpat,Ranikor,West Khasi Hills,Meghalaya,India"
17,296,West Khasi Hills,1983,Ranikor,277293,Mulapat,"Mulapat,Ranikor,West Khasi Hills,Meghalaya,India"
17,296,West Khasi Hills,1984,Mawkyrwat,277303,Mawpat,"Mawpat,Mawkyrwat,West Khasi Hills,Meghalaya,India"
17,296,West Khasi Hills,1984,Mawkyrwat,277306,Nongrim Mawpat,"Nongrim Mawpat,Mawkyrwat,West Khasi Hills,Meghalaya,India"
17,297,Ribhoi,1987,Umsning ,277796,Mawpat,"Mawpat,Umsning,Ribhoi,Meghalaya,India"
17,298,East Khasi Hills,1993,Mawsynram,278627,Wahmawpat,"Wahmawpat,Mawsynram,East Khasi Hills,Meghalaya,India"
17,298,East Khasi Hills,1993,Mawsynram,278661,Mawrapat,"Mawrapat,Mawsynram,East Khasi Hills,Meghalaya,India"
