STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
27,497,Nandurbar,3954,Nandurbar,525667,Patharai,"Patharai,Nandurbar,Nandurbar,Maharashtra,India"
27,497,Nandurbar,3955,Nawapur,525920,Wal Amarai,"Wal Amarai,Nawapur,Nandurbar,Maharashtra,India"
27,500,Buldana,3984,Buldana,529286,Pimpalgaon Sarai,"Pimpalgaon Sarai,Buldana,Buldana,Maharashtra,India"
27,503,Amravati,4011,Daryapur,532960,Uparai,"Uparai,Daryapur,Amravati,Maharashtra,India"
27,508,Gadchiroli,4055,Korchi,538813,Jodtarai,"Jodtarai,Korchi,Gadchiroli,Maharashtra,India"
27,510,Yavatmal,4091,Ralegaon,543628,Sarai,"Sarai,Ralegaon,Yavatmal,Maharashtra,India"
27,515,Aurangabad,4138,Khuldabad,549003,Sarai,"Sarai,Khuldabad,Aurangabad,Maharashtra,India"
27,517,Thane,4159,Vikramgad,551770,Sawarai,"Sawarai,Vikramgad,Thane,Maharashtra,India"
27,517,Thane,4163,Palghar,552184,Sawarai,"Sawarai,Palghar,Thane,Maharashtra,India"
27,517,Thane,4163,Palghar,552381,Warai,"Warai,Palghar,Thane,Maharashtra,India"
27,517,Thane,4171,Murbad,553094,Moharai,"Moharai,Murbad,Thane,Maharashtra,India"
27,520,Raigarh,4177,Alibag,554049,Bhisarai,"Bhisarai,Alibag,Raigarh,Maharashtra,India"
27,520,Raigarh,4186,Poladpur,555169,Charai,"Charai,Poladpur,Raigarh,Maharashtra,India"
