STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
27,505,Nagpur,4025,Kalameshwar,535114,Panuabali,"Panuabali,Kalameshwar,Nagpur,Maharashtra,India"
27,505,Nagpur,4025,Kalameshwar,535159,Ubali,"Ubali,Kalameshwar,Nagpur,Maharashtra,India"
27,505,Nagpur,4025,Kalameshwar,535161,Peth ubali,"Peth ubali,Kalameshwar,Nagpur,Maharashtra,India"
27,510,Yavatmal,4086,Umarkhed,542944,Ambali,"Ambali,Umarkhed,Yavatmal,Maharashtra,India"
27,514,Jalna,4126,Jafferabad,547426,Hiwarabali,"Hiwarabali,Jafferabad,Jalna,Maharashtra,India"
27,520,Raigarh,4186,Poladpur,555224,Ombali,"Ombali,Poladpur,Raigarh,Maharashtra,India"
27,521,Pune,4190,Khed,555850,Chimbali,"Chimbali,Khed,Pune,Maharashtra,India"
27,521,Pune,4196,Purandhar,556437,Chambali,"Chambali,Purandhar,Pune,Maharashtra,India"
27,525,Osmanabad,4240,Osmanabad,561419,Takali Bembali,"Takali Bembali,Osmanabad,Osmanabad,Maharashtra,India"
27,525,Osmanabad,4241,Tuljapur,561577,Arbali,"Arbali,Tuljapur,Osmanabad,Maharashtra,India"
27,526,Solapur,4248,Mohol,562290,Arbali,"Arbali,Mohol,Solapur,Maharashtra,India"
27,528,Ratnagiri,4269,Chiplun,565286,Ombali,"Ombali,Chiplun,Ratnagiri,Maharashtra,India"
27,530,Kolhapur,4289,Radhanagari,567562,Burambali,"Burambali,Radhanagari,Kolhapur,Maharashtra,India"
27,530,Kolhapur,4290,Kagal,567680,Kembali,"Kembali,Kagal,Kolhapur,Maharashtra,India"
27,530,Kolhapur,4291,Bhudargad,567837,Karambali,"Karambali,Bhudargad,Kolhapur,Maharashtra,India"
27,530,Kolhapur,4293,Gadhinglaj,567971,Karambali,"Karambali,Gadhinglaj,Kolhapur,Maharashtra,India"
