STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
27,500,Buldana,3976,Sangrampur,528336,Warwat Bakal,"Warwat Bakal,Sangrampur,Buldana,Maharashtra,India"
27,500,Buldana,3976,Sangrampur,528370,Atkal,"Atkal,Sangrampur,Buldana,Maharashtra,India"
27,500,Buldana,3983,Chikhli,529158,Palaskhed Sapkal,"Palaskhed Sapkal,Chikhli,Buldana,Maharashtra,India"
27,500,Buldana,3984,Buldana,529290,Atakal,"Atakal,Buldana,Buldana,Maharashtra,India"
27,500,Buldana,3986,Sindkhed Raja,529419,Shivni Kankal,"Shivni Kankal,Sindkhed Raja,Buldana,Maharashtra,India"
27,504,Wardha,4019,Wardha,534077,Mahakal,"Mahakal,Wardha,Wardha,Maharashtra,India"
27,506,Bhandara,4041,Lakhani,537259,Wakal,"Wakal,Lakhani,Bhandara,Maharashtra,India"
27,508,Gadchiroli,4055,Korchi,538866,Nyahakal,"Nyahakal,Korchi,Gadchiroli,Maharashtra,India"
27,508,Gadchiroli,4056,Dhanora,539027,Chimrikal,"Chimrikal,Dhanora,Gadchiroli,Maharashtra,India"
27,508,Gadchiroli,4056,Dhanora,539039,Kachakal,"Kachakal,Dhanora,Gadchiroli,Maharashtra,India"
27,508,Gadchiroli,4056,Dhanora,539073,Kondekal,"Kondekal,Dhanora,Gadchiroli,Maharashtra,India"
27,508,Gadchiroli,4060,Etapalli,539671,Markal,"Markal,Etapalli,Gadchiroli,Maharashtra,India"
27,509,Chandrapur,4069,Sindewahi,541017,Wakal,"Wakal,Sindewahi,Chandrapur,Maharashtra,India"
27,514,Jalna,4127,Jalna,547632,Bapkal,"Bapkal,Jalna,Jalna,Maharashtra,India"
27,517,Thane,4168,Kalyan,552949,Mhaskal,"Mhaskal,Kalyan,Thane,Maharashtra,India"
27,520,Raigarh,4181,Mangaon,554660,Kakal,"Kakal,Mangaon,Raigarh,Maharashtra,India"
27,521,Pune,4190,Khed,555776,Mohakal,"Mohakal,Khed,Pune,Maharashtra,India"
27,521,Pune,4190,Khed,555836,Rohakal,"Rohakal,Khed,Pune,Maharashtra,India"
27,521,Pune,4190,Khed,555855,Markal,"Markal,Khed,Pune,Maharashtra,India"
27,525,Osmanabad,4236,Paranda,561106,Rohkal,"Rohkal,Paranda,Osmanabad,Maharashtra,India"
27,525,Osmanabad,4241,Tuljapur,561603,Itkal,"Itkal,Tuljapur,Osmanabad,Maharashtra,India"
27,525,Osmanabad,4242,Lohara,561635,Bendkal,"Bendkal,Lohara,Osmanabad,Maharashtra,India"
27,525,Osmanabad,4243,Umarga,561718,Chandkal,"Chandkal,Umarga,Osmanabad,Maharashtra,India"
27,526,Solapur,4253,Solapur South,562760,Karkal,"Karkal,Solapur South,Solapur,Maharashtra,India"
27,527,Satara,4258,Phaltan,563322,Saskal,"Saskal,Phaltan,Satara,Maharashtra,India"
27,527,Satara,4260,Khatav,563466,Diskal,"Diskal,Khatav,Satara,Maharashtra,India"
27,527,Satara,4264,Patan,564151,Thankal,"Thankal,Patan,Satara,Maharashtra,India"
27,531,Sangli,4303,Kavathemahankal,0,Kavathemahankal,"Kavathemahankal,Kavathemahankal,Sangli,Maharashtra,India"
27,531,Sangli,4303,Kavathemahankal,568794,Kavathe Mahankal,"Kavathe Mahankal,Kavathemahankal,Sangli,Maharashtra,India"
