STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
27,500,Buldana,3978,Nandura,528479,Pimprikoli,"Pimprikoli,Nandura,Buldana,Maharashtra,India"
27,500,Buldana,3981,Khamgaon,528849,Bothakoli,"Bothakoli,Khamgaon,Buldana,Maharashtra,India"
27,500,Buldana,3981,Khamgaon,528908,Akoli,"Akoli,Khamgaon,Buldana,Maharashtra,India"
27,500,Buldana,3984,Buldana,529268,Nandrakoli,"Nandrakoli,Buldana,Buldana,Maharashtra,India"
27,502,Washim,4000,Risod,531366,Chakoli,"Chakoli,Risod,Washim,Maharashtra,India"
27,504,Wardha,4018,Seloo,533888,Akoli,"Akoli,Seloo,Wardha,Maharashtra,India"
27,504,Wardha,4018,Seloo,533925,Akoli,"Akoli,Seloo,Wardha,Maharashtra,India"
27,504,Wardha,4020,Deoli,534247,Akoli,"Akoli,Deoli,Wardha,Maharashtra,India"
27,505,Nagpur,4035,Kuhi,536329,Akoli,"Akoli,Kuhi,Nagpur,Maharashtra,India"
27,505,Nagpur,4036,Bhiwapur,536531,Zamkoli,"Zamkoli,Bhiwapur,Nagpur,Maharashtra,India"
27,506,Bhandara,4040,Sakoli,0,Sakoli,"Sakoli,Sakoli,Bhandara,Maharashtra,India"
27,510,Yavatmal,4086,Umarkhed,543041,Akoli,"Akoli,Umarkhed,Yavatmal,Maharashtra,India"
27,510,Yavatmal,4093,Zari-Jamani,543864,Adakoli,"Adakoli,Zari-Jamani,Yavatmal,Maharashtra,India"
27,511,Nanded,4107,Loha,545301,Malakoli,"Malakoli,Loha,Nanded,Maharashtra,India"
27,512,Hingoli,4115,Basmath,546306,Akoli,"Akoli,Basmath,Hingoli,Maharashtra,India"
27,513,Parbhani,4117,Jintur,546605,Akoli,"Akoli,Jintur,Parbhani,Maharashtra,India"
27,513,Parbhani,4122,Gangakhed,547026,Akoli,"Akoli,Gangakhed,Parbhani,Maharashtra,India"
27,514,Jalna,4125,Bhokardan,547291,Kotha koli,"Kotha koli,Bhokardan,Jalna,Maharashtra,India"
27,514,Jalna,4131,Partur,548087,Akoli,"Akoli,Partur,Jalna,Maharashtra,India"
27,517,Thane,4163,Palghar,552231,Akoli,"Akoli,Palghar,Thane,Maharashtra,India"
27,517,Thane,4163,Palghar,552277,Khadkoli,"Khadkoli,Palghar,Thane,Maharashtra,India"
27,517,Thane,4166,Bhiwandi,552609,Aatkoli,"Aatkoli,Bhiwandi,Thane,Maharashtra,India"
27,517,Thane,4166,Bhiwandi,552667,Mankoli,"Mankoli,Bhiwandi,Thane,Maharashtra,India"
27,517,Thane,4171,Murbad,553273,Kachakoli,"Kachakoli,Murbad,Thane,Maharashtra,India"
27,520,Raigarh,4177,Alibag,554200,Sudkoli,"Sudkoli,Alibag,Raigarh,Maharashtra,India"
27,520,Raigarh,4179,Roha,554319,Sudakoli,"Sudakoli,Roha,Raigarh,Maharashtra,India"
27,520,Raigarh,4181,Mangaon,554693,Khadkoli,"Khadkoli,Mangaon,Raigarh,Maharashtra,India"
27,521,Pune,4197,Velhe,556574,Shirkoli,"Shirkoli,Velhe,Pune,Maharashtra,India"
27,524,Latur,4226,Latur,560150,Akoli,"Akoli,Latur,Latur,Maharashtra,India"
27,525,Osmanabad,4243,Umarga,561694,Trikoli,"Trikoli,Umarga,Osmanabad,Maharashtra,India"
27,526,Solapur,4248,Mohol,562267,Ankoli,"Ankoli,Mohol,Solapur,Maharashtra,India"
27,526,Solapur,4249,Pandharpur,562394,Sarkoli,"Sarkoli,Pandharpur,Solapur,Maharashtra,India"
27,527,Satara,4255,Mahabaleshwar,563009,Varsoli koli,"Varsoli koli,Mahabaleshwar,Satara,Maharashtra,India"
27,528,Ratnagiri,4267,Dapoli,564843,Dhankoli,"Dhankoli,Dapoli,Ratnagiri,Maharashtra,India"
27,530,Kolhapur,4283,Shahuwadi,567022,Wakoli,"Wakoli,Shahuwadi,Kolhapur,Maharashtra,India"
27,530,Kolhapur,4283,Shahuwadi,567062,Tekoli,"Tekoli,Shahuwadi,Kolhapur,Maharashtra,India"
27,530,Kolhapur,4283,Shahuwadi,567064,Ukoli,"Ukoli,Shahuwadi,Kolhapur,Maharashtra,India"
27,530,Kolhapur,4294,Chandgad,568103,Walkoli,"Walkoli,Chandgad,Kolhapur,Maharashtra,India"
27,530,Kolhapur,4294,Chandgad,568174,Dhekoli,"Dhekoli,Chandgad,Kolhapur,Maharashtra,India"
