STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
27,497,Nandurbar,3950,Akkalkuwa,525042,Bijaripati,"Bijaripati,Akkalkuwa,Nandurbar,Maharashtra,India"
27,497,Nandurbar,3950,Akkalkuwa,525082,Nimbapati,"Nimbapati,Akkalkuwa,Nandurbar,Maharashtra,India"
27,497,Nandurbar,3950,Akkalkuwa,525131,Sonapati,"Sonapati,Akkalkuwa,Nandurbar,Maharashtra,India"
27,497,Nandurbar,3951,Akrani,525272,Kakarpati,"Kakarpati,Akrani,Nandurbar,Maharashtra,India"
27,500,Buldana,3980,Motala,528728,Pimpalpati,"Pimpalpati,Motala,Buldana,Maharashtra,India"
27,500,Buldana,3981,Khamgaon,528832,Dhapati,"Dhapati,Khamgaon,Buldana,Maharashtra,India"
27,501,Akola,3990,Balapur,529913,Sawarpati,"Sawarpati,Balapur,Akola,Maharashtra,India"
27,502,Washim,3997,Karanja,530901,Kupati,"Kupati,Karanja,Washim,Maharashtra,India"
27,503,Amravati,4001,Dharni,531461,Zilangpati,"Zilangpati,Dharni,Amravati,Maharashtra,India"
27,503,Amravati,4001,Dharni,531510,Ukupati,"Ukupati,Dharni,Amravati,Maharashtra,India"
27,503,Amravati,4002,Chikhaldara,531703,Ambapati,"Ambapati,Chikhaldara,Amravati,Maharashtra,India"
27,503,Amravati,4002,Chikhaldara,531707,Sakhari Chikhalpati,"Sakhari Chikhalpati,Chikhaldara,Amravati,Maharashtra,India"
27,503,Amravati,4002,Chikhaldara,531714,Wadapati,"Wadapati,Chikhaldara,Amravati,Maharashtra,India"
27,503,Amravati,4005,Chandurbazar,532054,Jamapati,"Jamapati,Chandurbazar,Amravati,Maharashtra,India"
27,508,Gadchiroli,4063,Sironcha,540067,Ramanuja  Ganpati,"Ramanuja  Ganpati,Sironcha,Gadchiroli,Maharashtra,India"
27,510,Yavatmal,4092,Maregaon,543758,Apati,"Apati,Maregaon,Yavatmal,Maharashtra,India"
27,517,Thane,4162,Vada,552069,Vilkos Tarf Konpati,"Vilkos Tarf Konpati,Vada,Thane,Maharashtra,India"
27,517,Thane,4163,Palghar,552252,Satpati,"Satpati,Palghar,Thane,Maharashtra,India"
27,520,Raigarh,4175,Khalapur,553781,Apati,"Apati,Khalapur,Raigarh,Maharashtra,India"
27,520,Raigarh,4179,Roha,554360,Kharapati,"Kharapati,Roha,Raigarh,Maharashtra,India"
27,521,Pune,4188,Ambegaon,555464,Apati,"Apati,Ambegaon,Pune,Maharashtra,India"
27,521,Pune,4189,Shirur,555620,Ranjangaon Ganpati,"Ranjangaon Ganpati,Shirur,Pune,Maharashtra,India"
27,521,Pune,4191,Mawal,555980,Apati,"Apati,Mawal,Pune,Maharashtra,India"
27,521,Pune,4191,Mawal,555981,Gevhande Apati,"Gevhande Apati,Mawal,Pune,Maharashtra,India"
27,521,Pune,4198,Bhor,556799,Apati,"Apati,Bhor,Pune,Maharashtra,India"
27,522,Ahmadnagar,4211,Parner,558385,Rui Chhatrapati,"Rui Chhatrapati,Parner,Ahmadnagar,Maharashtra,India"
27,523,Bid,4218,Georai,559145,Khopati,"Khopati,Georai,Bid,Maharashtra,India"
27,530,Kolhapur,4284,Panhala,567161,Apati,"Apati,Panhala,Kolhapur,Maharashtra,India"
