STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
27,497,Nandurbar,3950,Akkalkuwa,525124,Tawali,"Tawali,Akkalkuwa,Nandurbar,Maharashtra,India"
27,497,Nandurbar,3951,Akrani,525327,Warwali,"Warwali,Akrani,Nandurbar,Maharashtra,India"
27,498,Dhule,3956,Shirpur,526045,Rudawali,"Rudawali,Shirpur,Dhule,Maharashtra,India"
27,499,Jalgaon,3960,Chopda,526749,Mitawali,"Mitawali,Chopda,Jalgaon,Maharashtra,India"
27,499,Jalgaon,3972,Chalisgaon,527754,Bhawali,"Bhawali,Chalisgaon,Jalgaon,Maharashtra,India"
27,500,Buldana,3976,Sangrampur,528388,Sawali,"Sawali,Sangrampur,Buldana,Maharashtra,India"
27,500,Buldana,3979,Malkapur,528654,Sawali,"Sawali,Malkapur,Buldana,Maharashtra,India"
27,500,Buldana,3980,Motala,528689,Kolhi Gawali,"Kolhi Gawali,Motala,Buldana,Maharashtra,India"
27,500,Buldana,3980,Motala,528692,Pimpri Gawali,"Pimpri Gawali,Motala,Buldana,Maharashtra,India"
27,500,Buldana,3983,Chikhli,529086,Dongar Shewali,"Dongar Shewali,Chikhli,Buldana,Maharashtra,India"
27,500,Buldana,3983,Chikhli,529152,Sawangi Gawali,"Sawangi Gawali,Chikhli,Buldana,Maharashtra,India"
27,500,Buldana,3984,Buldana,529313,Sawali,"Sawali,Buldana,Buldana,Maharashtra,India"
27,502,Washim,3995,Malegaon,530688,Tiwali,"Tiwali,Malegaon,Washim,Maharashtra,India"
27,502,Washim,3998,Manora,531102,Sawali,"Sawali,Manora,Washim,Maharashtra,India"
27,502,Washim,3999,Washim,531270,Sawali,"Sawali,Washim,Washim,Maharashtra,India"
27,502,Washim,4000,Risod,531315,Nawali,"Nawali,Risod,Washim,Maharashtra,India"
27,503,Amravati,4001,Dharni,531512,Utawali,"Utawali,Dharni,Amravati,Maharashtra,India"
27,503,Amravati,4006,Morshi,532237,Yawali,"Yawali,Morshi,Amravati,Maharashtra,India"
