STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
23,418,Sheopur ,3384,Karahal,451917,Barai,"Barai,Karahal,Sheopur,Madhya Pradesh,India"
23,420,Bhind,3392,Bhind,452913,Dharai,"Dharai,Bhind,Bhind,Madhya Pradesh,India"
23,420,Bhind,3395,Gohad,453339,Bagharai,"Bagharai,Gohad,Bhind,Madhya Pradesh,India"
23,421,Gwalior,3399,Gwalior (Gird),453784,Barai,"Barai,Gwalior (Gird),Gwalior,Madhya Pradesh,India"
23,422,Datia,3404,Indergarh,454563,Raruarai,"Raruarai,Indergarh,Datia,Madhya Pradesh,India"
23,423,Shivpuri,3408,Shivpuri,455374,Ghasarai,"Ghasarai,Shivpuri,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3411,Kolaras,455818,Kharai,"Kharai,Kolaras,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3412,Badarwas,456026,Moharai,"Moharai,Badarwas,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3412,Badarwas,456030,Sigharai,"Sigharai,Badarwas,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3412,Badarwas,456031,Atarai,"Atarai,Badarwas,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3412,Badarwas,456067,Barai,"Barai,Badarwas,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3414,Khaniyadhana,456285,Pacharai,"Pacharai,Khaniyadhana,Shivpuri,Madhya Pradesh,India"
23,424,Tikamgarh,3423,Tikamgarh,457274,Karmarai,"Karmarai,Tikamgarh,Tikamgarh,Madhya Pradesh,India"
23,425,Chhatarpur,3426,Chandla,457645,Sarai,"Sarai,Chandla,Chhatarpur,Madhya Pradesh,India"
23,425,Chhatarpur,3430,Rajnagar,458078,Bansarai,"Bansarai,Rajnagar,Chhatarpur,Madhya Pradesh,India"
23,425,Chhatarpur,3434,Buxwaha,458512,Mangarai,"Mangarai,Buxwaha,Chhatarpur,Madhya Pradesh,India"
23,427,Sagar,3443,Bina,459686,Karai,"Karai,Bina,Sagar,Madhya Pradesh,India"
23,427,Sagar,3443,Bina,459701,Kajarai,"Kajarai,Bina,Sagar,Madhya Pradesh,India"
23,427,Sagar,3444,Khurai,459846,Jharai,"Jharai,Khurai,Sagar,Madhya Pradesh,India"
23,427,Sagar,3444,Khurai,459907,Karai,"Karai,Khurai,Sagar,Madhya Pradesh,India"
23,427,Sagar,3446,Banda,460133,Jharai,"Jharai,Banda,Sagar,Madhya Pradesh,India"
23,427,Sagar,3447,Shahgarh,460329,Karai,"Karai,Shahgarh,Sagar,Madhya Pradesh,India"
23,427,Sagar,3449,Sagar,460927,Karai,"Karai,Sagar,Sagar,Madhya Pradesh,India"
23,429,Satna,3469,Ramnagar,464592,Dhawarai,"Dhawarai,Ramnagar,Satna,Madhya Pradesh,India"
23,429,Satna,3470,Maihar,464675,Dhabarai,"Dhabarai,Maihar,Satna,Madhya Pradesh,India"
23,430,Rewa,3471,Teonthar,464929,Sarai,"Sarai,Teonthar,Rewa,Madhya Pradesh,India"
23,430,Rewa,3477,Mauganj,466560,Adsarai,"Adsarai,Mauganj,Rewa,Madhya Pradesh,India"
23,431,Umaria,3484,Manpur,468053,Bartarai,"Bartarai,Manpur,Umaria,Madhya Pradesh,India"
23,431,Umaria,3485,Pali,468142,Mohtarai,"Mohtarai,Pali,Umaria,Madhya Pradesh,India"
23,433,Mandsaur,3493,Malhargarh,469199,Khankharai,"Khankharai,Malhargarh,Mandsaur,Madhya Pradesh,India"
23,436,Shajapur,3515,Susner,472147,Barai,"Barai,Susner,Shajapur,Madhya Pradesh,India"
23,443,Vidisha,3570,Lateri,480544,Amarai,"Amarai,Lateri,Vidisha,Madhya Pradesh,India"
23,446,Raisen,3592,Begamganj,484099,Pipaliya Barai,"Pipaliya Barai,Begamganj,Raisen,Madhya Pradesh,India"
23,447,Betul,3598,Bhainsdehi,485322,Sarai,"Sarai,Bhainsdehi,Betul,Madhya Pradesh,India"
23,447,Betul,3604,Multai,486305,Barai,"Barai,Multai,Betul,Madhya Pradesh,India"
23,447,Betul,3604,Multai,486329,Sarai,"Sarai,Multai,Betul,Madhya Pradesh,India"
