STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
23,419,Morena,3388,Joura,452422,Kumheri,"Kumheri,Joura,Morena,Madhya Pradesh,India"
23,420,Bhind,3391,Ater,452771,Khaderi,"Khaderi,Ater,Bhind,Madhya Pradesh,India"
23,420,Bhind,3391,Ater,452789,Kheri,"Kheri,Ater,Bhind,Madhya Pradesh,India"
23,420,Bhind,3391,Ater,452855,Baderi,"Baderi,Ater,Bhind,Madhya Pradesh,India"
23,420,Bhind,3398,Lahar,453650,Bhaderi,"Bhaderi,Lahar,Bhind,Madhya Pradesh,India"
23,421,Gwalior,3399,Gwalior (Gird),453743,Banheri,"Banheri,Gwalior (Gird),Gwalior,Madhya Pradesh,India"
23,421,Gwalior,3399,Gwalior (Gird),453879,Khureri,"Khureri,Gwalior (Gird),Gwalior,Madhya Pradesh,India"
23,421,Gwalior,3399,Gwalior (Gird),453893,Bhonderi,"Bhonderi,Gwalior (Gird),Gwalior,Madhya Pradesh,India"
23,421,Gwalior,3401,Bhitarwar,454267,Benheri,"Benheri,Bhitarwar,Gwalior,Madhya Pradesh,India"
23,423,Shivpuri,3408,Shivpuri,455242,Denderi,"Denderi,Shivpuri,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3408,Shivpuri,455333,Mudheri,"Mudheri,Shivpuri,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3409,Narwar,455494,Meri,"Meri,Narwar,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3412,Badarwas,455948,Muderi,"Muderi,Badarwas,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3413,Pichhore,456153,Kanera Kaneri,"Kanera Kaneri,Pichhore,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3414,Khaniyadhana,456318,Kali Pahadi Chanderi,"Kali Pahadi Chanderi,Khaniyadhana,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3414,Khaniyadhana,456339,Nadawan Chanderi,"Nadawan Chanderi,Khaniyadhana,Shivpuri,Madhya Pradesh,India"
23,423,Shivpuri,3414,Khaniyadhana,456404,Lohagarh Chanderi,"Lohagarh Chanderi,Khaniyadhana,Shivpuri,Madhya Pradesh,India"
23,424,Tikamgarh,3419,Mohangarh,456794,Hateri,"Hateri,Mohangarh,Tikamgarh,Madhya Pradesh,India"
23,424,Tikamgarh,3421,Baldeogarh,457072,Lakheri,"Lakheri,Baldeogarh,Tikamgarh,Madhya Pradesh,India"
23,424,Tikamgarh,3422,Khargapur,457159,Deri,"Deri,Khargapur,Tikamgarh,Madhya Pradesh,India"
23,424,Tikamgarh,3422,Khargapur,457177,Khudo Naj Deri,"Khudo Naj Deri,Khargapur,Tikamgarh,Madhya Pradesh,India"
23,425,Chhatarpur,3424,Gaurihar,457371,Khuderi,"Khuderi,Gaurihar,Chhatarpur,Madhya Pradesh,India"
23,425,Chhatarpur,3424,Gaurihar,457393,Beri,"Beri,Gaurihar,Chhatarpur,Madhya Pradesh,India"
23,425,Chhatarpur,3427,Nowgong,457733,Saderi,"Saderi,Nowgong,Chhatarpur,Madhya Pradesh,India"
23,425,Chhatarpur,3429,Chhatarpur,457904,Deri,"Deri,Chhatarpur,Chhatarpur,Madhya Pradesh,India"
23,425,Chhatarpur,3430,Rajnagar,458054,Lakheri,"Lakheri,Rajnagar,Chhatarpur,Madhya Pradesh,India"
23,425,Chhatarpur,3432,Ghuwara,458217,Kheri,"Kheri,Ghuwara,Chhatarpur,Madhya Pradesh,India"
23,426,Panna,3438,Gunnor,458933,Paderi,"Paderi,Gunnor,Panna,Madhya Pradesh,India"
23,426,Panna,3441,Shahnagar,459387,Panderi,"Panderi,Shahnagar,Panna,Madhya Pradesh,India"
23,426,Panna,3442,Raipura,459487,Changeri,"Changeri,Raipura,Panna,Madhya Pradesh,India"
23,427,Sagar,3443,Bina,459644,Mahadeo Kheri,"Mahadeo Kheri,Bina,Sagar,Madhya Pradesh,India"
23,427,Sagar,3443,Bina,459709,Pahakheri,"Pahakheri,Bina,Sagar,Madhya Pradesh,India"
23,427,Sagar,3443,Bina,459711,Naniyakheri,"Naniyakheri,Bina,Sagar,Madhya Pradesh,India"
23,427,Sagar,3443,Bina,459712,Jaukheri,"Jaukheri,Bina,Sagar,Madhya Pradesh,India"
23,427,Sagar,3443,Bina,459732,Malkheri,"Malkheri,Bina,Sagar,Madhya Pradesh,India"
23,427,Sagar,3443,Bina,459739,Piparkheri,"Piparkheri,Bina,Sagar,Madhya Pradesh,India"
23,427,Sagar,3444,Khurai,459784,Maheri,"Maheri,Khurai,Sagar,Madhya Pradesh,India"
23,427,Sagar,3444,Khurai,459886,Sumreri,"Sumreri,Khurai,Sagar,Madhya Pradesh,India"
23,427,Sagar,3444,Khurai,459889,Beri,"Beri,Khurai,Sagar,Madhya Pradesh,India"
23,427,Sagar,3445,Malthon,459952,Kanna Kheri,"Kanna Kheri,Malthon,Sagar,Madhya Pradesh,India"
23,427,Sagar,3445,Malthon,460079,Chakeri,"Chakeri,Malthon,Sagar,Madhya Pradesh,India"
23,427,Sagar,3446,Banda,460263,Berkheri,"Berkheri,Banda,Sagar,Madhya Pradesh,India"
23,427,Sagar,3447,Shahgarh,460395,Chakk Kaneri,"Chakk Kaneri,Shahgarh,Sagar,Madhya Pradesh,India"
23,427,Sagar,3447,Shahgarh,460396,Kaneri,"Kaneri,Shahgarh,Sagar,Madhya Pradesh,India"
23,427,Sagar,3448,Rahatgarh,460445,Khatakheri,"Khatakheri,Rahatgarh,Sagar,Madhya Pradesh,India"
23,427,Sagar,3448,Rahatgarh,460486,Osankheri,"Osankheri,Rahatgarh,Sagar,Madhya Pradesh,India"
23,427,Sagar,3448,Rahatgarh,460536,Berkheri,"Berkheri,Rahatgarh,Sagar,Madhya Pradesh,India"
23,427,Sagar,3449,Sagar,460585,Saderi,"Saderi,Sagar,Sagar,Madhya Pradesh,India"
23,427,Sagar,3449,Sagar,460593,Dharkheri,"Dharkheri,Sagar,Sagar,Madhya Pradesh,India"
23,427,Sagar,3449,Sagar,460742,Chakeri,"Chakeri,Sagar,Sagar,Madhya Pradesh,India"
23,427,Sagar,3449,Sagar,460799,Berkheri,"Berkheri,Sagar,Sagar,Madhya Pradesh,India"
23,427,Sagar,3451,Rehli,461158,Samnapur Berkheri,"Samnapur Berkheri,Rehli,Sagar,Madhya Pradesh,India"
23,427,Sagar,3452,Kesli,461225,Ramkheri,"Ramkheri,Kesli,Sagar,Madhya Pradesh,India"
23,427,Sagar,3452,Kesli,461239,Ramkheri,"Ramkheri,Kesli,Sagar,Madhya Pradesh,India"
23,427,Sagar,3452,Kesli,461266,Berkheri,"Berkheri,Kesli,Sagar,Madhya Pradesh,India"
23,427,Sagar,3452,Kesli,461345,Ghat Kheri,"Ghat Kheri,Kesli,Sagar,Madhya Pradesh,India"
23,427,Sagar,3452,Kesli,461346,Muderi,"Muderi,Kesli,Sagar,Madhya Pradesh,India"
23,427,Sagar,3452,Kesli,461347,Chakk Muderi,"Chakk Muderi,Kesli,Sagar,Madhya Pradesh,India"
23,427,Sagar,3453,Deori,461418,Ramkheri,"Ramkheri,Deori,Sagar,Madhya Pradesh,India"
23,427,Sagar,3453,Deori,461442,Kakri Berkheri,"Kakri Berkheri,Deori,Sagar,Madhya Pradesh,India"
23,427,Sagar,3453,Deori,461447,Ramkheri,"Ramkheri,Deori,Sagar,Madhya Pradesh,India"
