STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
23,422,Datia,3403,Seondha,454450,Roor,"Roor,Seondha,Datia,Madhya Pradesh,India"
23,422,Datia,3405,Datia,454720,Palinoor,"Palinoor,Datia,Datia,Madhya Pradesh,India"
23,422,Datia,3406,Bhander,454908,Khiriya Kadoor,"Khiriya Kadoor,Bhander,Datia,Madhya Pradesh,India"
23,423,Shivpuri,3411,Kolaras,455812,Joor,"Joor,Kolaras,Shivpuri,Madhya Pradesh,India"
23,425,Chhatarpur,3424,Gaurihar,457391,Ghoor,"Ghoor,Gaurihar,Chhatarpur,Madhya Pradesh,India"
23,435,Ujjain,3510,Mahidpur,471364,Lasudiyamansoor,"Lasudiyamansoor,Mahidpur,Ujjain,Madhya Pradesh,India"
23,435,Ujjain,3510,Mahidpur,471365,Khajuriya Mansoor,"Khajuriya Mansoor,Mahidpur,Ujjain,Madhya Pradesh,India"
23,438,Dhar,3534,Dhar,474801,Kesoor,"Kesoor,Dhar,Dhar,Madhya Pradesh,India"
23,438,Dhar,3534,Dhar,474802,Bijoor,"Bijoor,Dhar,Dhar,Madhya Pradesh,India"
23,441,Barwani ,3558,Rajpur,478367,Jahoor,"Jahoor,Rajpur,Barwani,Madhya Pradesh,India"
23,446,Raisen,3590,Raisen,483751,Tajpur Soor,"Tajpur Soor,Raisen,Raisen,Madhya Pradesh,India"
23,447,Betul,3604,Multai,486111,Banoor,"Banoor,Multai,Betul,Madhya Pradesh,India"
23,447,Betul,3604,Multai,486206,Bisnoor,"Bisnoor,Multai,Betul,Madhya Pradesh,India"
23,450,Katni ,3621,Rithi,488279,Jalasoor,"Jalasoor,Rithi,Katni,Madhya Pradesh,India"
23,455,Chhindwara,3651,Jamai,494529,Badnoor,"Badnoor,Jamai,Chhindwara,Madhya Pradesh,India"
23,455,Chhindwara,3653,Umreth,494835,Satnoor,"Satnoor,Umreth,Chhindwara,Madhya Pradesh,India"
23,455,Chhindwara,3655,Mohkhed,495068,Satnoor,"Satnoor,Mohkhed,Chhindwara,Madhya Pradesh,India"
23,455,Chhindwara,3655,Mohkhed,495075,Badnoor,"Badnoor,Mohkhed,Chhindwara,Madhya Pradesh,India"
23,455,Chhindwara,3656,Sausar,495294,Satnoor,"Satnoor,Sausar,Chhindwara,Madhya Pradesh,India"
23,466,Khandwa (East Nimar),3717,Punasa,505988,Rajoor,"Rajoor,Punasa,Khandwa (East Nimar),Madhya Pradesh,India"
