STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
23,434,Ratlam,3505,Bajna,470689,Vatpadi,"Vatpadi,Bajna,Ratlam,Madhya Pradesh,India"
23,435,Ujjain,3512,Tarana,471785,Beejpadi,"Beejpadi,Tarana,Ujjain,Madhya Pradesh,India"
23,435,Ujjain,3512,Tarana,471819,Upadi,"Upadi,Tarana,Ujjain,Madhya Pradesh,India"
23,436,Shajapur,3517,Badod,472416,Rapadi,"Rapadi,Badod,Shajapur,Madhya Pradesh,India"
23,437,Dewas,3525,Sonkatch,473416,Kharpadi,"Kharpadi,Sonkatch,Dewas,Madhya Pradesh,India"
23,437,Dewas,3526,Dewas,473540,Upadi,"Upadi,Dewas,Dewas,Madhya Pradesh,India"
23,437,Dewas,3529,Bagli,474047,Patpadi,"Patpadi,Bagli,Dewas,Madhya Pradesh,India"
23,438,Dhar,3534,Dhar,474983,Upadi,"Upadi,Dhar,Dhar,Madhya Pradesh,India"
23,438,Dhar,3538,Manawar,475633,Jhapadi,"Jhapadi,Manawar,Dhar,Madhya Pradesh,India"
23,438,Dhar,3538,Manawar,475737,Upadi,"Upadi,Manawar,Dhar,Madhya Pradesh,India"
23,440,Khargone (West Nimar),3546,Maheshwar,476983,Jhapadi,"Jhapadi,Maheshwar,Khargone (West Nimar),Madhya Pradesh,India"
23,440,Khargone (West Nimar),3548,Segaon,477350,Upadi,"Upadi,Segaon,Khargone (West Nimar),Madhya Pradesh,India"
23,442,Rajgarh,3564,Khilchipur,479242,Beejpadi,"Beejpadi,Khilchipur,Rajgarh,Madhya Pradesh,India"
23,447,Betul,3603,Shahpur,486023,Jhapadi,"Jhapadi,Shahpur,Betul,Madhya Pradesh,India"
23,457,Balaghat,3676,Lanji,498509,Bapadi,"Bapadi,Lanji,Balaghat,Madhya Pradesh,India"
23,457,Balaghat,3676,Lanji,498590,Jhapadi,"Jhapadi,Lanji,Balaghat,Madhya Pradesh,India"
