STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
23,418,Sheopur ,3382,Sheopur,451671,Bawnda Kalitalai,"Bawnda Kalitalai,Sheopur,Sheopur,Madhya Pradesh,India"
23,418,Sheopur ,3384,Karahal,451831,Kalitalai,"Kalitalai,Karahal,Sheopur,Madhya Pradesh,India"
23,429,Satna,3470,Maihar,464612,Kemtalai,"Kemtalai,Maihar,Satna,Madhya Pradesh,India"
23,432,Neemuch ,3488,Singoli,468400,Sehnatalai,"Sehnatalai,Singoli,Neemuch,Madhya Pradesh,India"
23,432,Neemuch ,3488,Singoli,468490,Kankariyatalai,"Kankariyatalai,Singoli,Neemuch,Madhya Pradesh,India"
23,432,Neemuch ,3491,Manasa,468822,Ratitalai,"Ratitalai,Manasa,Neemuch,Madhya Pradesh,India"
23,434,Ratlam,3505,Bajna,470774,Saratalai,"Saratalai,Bajna,Ratlam,Madhya Pradesh,India"
23,437,Dewas,3529,Bagli,474023,Kalamtalai,"Kalamtalai,Bagli,Dewas,Madhya Pradesh,India"
23,437,Dewas,3529,Bagli,474031,Ratatalai,"Ratatalai,Bagli,Dewas,Madhya Pradesh,India"
23,438,Dhar,3534,Dhar,475086,Karamtalai,"Karamtalai,Dhar,Dhar,Madhya Pradesh,India"
23,438,Dhar,3536,Kukshi,475453,Jugtalai,"Jugtalai,Kukshi,Dhar,Madhya Pradesh,India"
23,440,Khargone (West Nimar),3546,Maheshwar,476880,Bhawantalai,"Bhawantalai,Maheshwar,Khargone (West Nimar),Madhya Pradesh,India"
23,442,Rajgarh,3565,Rajgarh,479335,Lalyatalai,"Lalyatalai,Rajgarh,Rajgarh,Madhya Pradesh,India"
23,442,Rajgarh,3565,Rajgarh,479369,Bajtalai,"Bajtalai,Rajgarh,Rajgarh,Madhya Pradesh,India"
23,442,Rajgarh,3565,Rajgarh,479466,Kalitalai,"Kalitalai,Rajgarh,Rajgarh,Madhya Pradesh,India"
23,442,Rajgarh,3568,Narsinghgarh,480131,Pachhtalai,"Pachhtalai,Narsinghgarh,Rajgarh,Madhya Pradesh,India"
23,445,Sehore,3588,Budni,483506,Karitalai,"Karitalai,Budni,Sehore,Madhya Pradesh,India"
23,446,Raisen,3590,Raisen,483683,Ratatalai,"Ratatalai,Raisen,Raisen,Madhya Pradesh,India"
23,446,Raisen,3593,Goharganj,484324,Karitalai,"Karitalai,Goharganj,Raisen,Madhya Pradesh,India"
23,446,Raisen,3595,Badi,484650,Partalai,"Partalai,Badi,Raisen,Madhya Pradesh,India"
23,446,Raisen,3595,Badi,484677,Doobtalai,"Doobtalai,Badi,Raisen,Madhya Pradesh,India"
23,447,Betul,3604,Multai,486168,Gopaltalai,"Gopaltalai,Multai,Betul,Madhya Pradesh,India"
23,447,Betul,3605,Amla,486462,Sontalai,"Sontalai,Amla,Betul,Madhya Pradesh,India"
23,448,Harda ,3607,Sirali,486695,Mortalai,"Mortalai,Sirali,Harda,Madhya Pradesh,India"
23,448,Harda ,3609,Handiya,486830,Sontalai,"Sontalai,Handiya,Harda,Madhya Pradesh,India"
23,448,Harda ,3609,Handiya,486835,Pachatalai,"Pachatalai,Handiya,Harda,Madhya Pradesh,India"
23,448,Harda ,3609,Handiya,486841,Ratatalai,"Ratatalai,Handiya,Harda,Madhya Pradesh,India"
23,448,Harda ,3610,Timarni,486957,Jhadtalai,"Jhadtalai,Timarni,Harda,Madhya Pradesh,India"
23,448,Harda ,3611,Rehatgaon,487013,Pantalai,"Pantalai,Rehatgaon,Harda,Madhya Pradesh,India"
23,448,Harda ,3611,Rehatgaon,487018,Dokartalai,"Dokartalai,Rehatgaon,Harda,Madhya Pradesh,India"
23,449,Hoshangabad,3612,Seoni-Malwa,487175,Lokhartalai,"Lokhartalai,Seoni-Malwa,Hoshangabad,Madhya Pradesh,India"
23,449,Hoshangabad,3613,Itarsi,487301,Bortalai,"Bortalai,Itarsi,Hoshangabad,Madhya Pradesh,India"
23,449,Hoshangabad,3613,Itarsi,487330,Sontalai,"Sontalai,Itarsi,Hoshangabad,Madhya Pradesh,India"
23,450,Katni ,3621,Rithi,488263,Karitalai,"Karitalai,Rithi,Katni,Madhya Pradesh,India"
23,450,Katni ,3624,Vijayraghavgarh,488527,Karitalai,"Karitalai,Vijayraghavgarh,Katni,Madhya Pradesh,India"
23,450,Katni ,3624,Vijayraghavgarh,488586,Gairtalai,"Gairtalai,Vijayraghavgarh,Katni,Madhya Pradesh,India"
23,451,Jabalpur,3629,Patan,489508,Sontalai,"Sontalai,Patan,Jabalpur,Madhya Pradesh,India"
23,451,Jabalpur,3629,Patan,489511,Sigantalai,"Sigantalai,Patan,Jabalpur,Madhya Pradesh,India"
23,451,Jabalpur,3632,Panagar,490218,Surtalai,"Surtalai,Panagar,Jabalpur,Madhya Pradesh,India"
23,454,Mandla,3641,Niwas,492506,Padritalai,"Padritalai,Niwas,Mandla,Madhya Pradesh,India"
23,455,Chhindwara,3655,Mohkhed,495074,Bhortalai,"Bhortalai,Mohkhed,Chhindwara,Madhya Pradesh,India"
23,455,Chhindwara,3655,Mohkhed,495170,Partalai,"Partalai,Mohkhed,Chhindwara,Madhya Pradesh,India"
