STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
21,374,Sundargarh,2816,Biramitrapur,384354,Kacharu,"Kacharu,Biramitrapur,Sundargarh,Odisha,India"
21,374,Sundargarh,2817,Hatibari,384392,Goldaru,"Goldaru,Hatibari,Sundargarh,Odisha,India"
21,378,Bhadrak,2915,Basudebpur ,394902,Sankharu,"Sankharu,Basudebpur,Bhadrak,Odisha,India"
21,381,Cuttack,2946,Badamba ,398683,Daleimaru,"Daleimaru,Badamba,Cuttack,Odisha,India"
21,382,Jajapur  ,2980,Jenapur  ,401460,Samparu,"Samparu,Jenapur,Jajapur,Odisha,India"
21,383,Dhenkanal,2988,Kamakshyanagar ,402413,Suniamaru,"Suniamaru,Kamakshyanagar,Dhenkanal,Odisha,India"
21,383,Dhenkanal,2990,Bhuban ,402541,Hariamaru,"Hariamaru,Bhuban,Dhenkanal,Odisha,India"
21,385,Nayagarh  ,3031,Odagaon,406594,Madhuamaru,"Madhuamaru,Odagaon,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3032,Sarankul,406731,Makamaru,"Makamaru,Sarankul,Nayagarh,Odisha,India"
21,386,Khordha ,3036,Khordha ,407292,Chiramaru,"Chiramaru,Khordha,Khordha,Odisha,India"
21,388,Ganjam,3072,BUGUDA,410376,Kanakujaru,"Kanakujaru,BUGUDA,Ganjam,Odisha,India"
21,388,Ganjam,3090,HINJILI,412316,Saru,"Saru,HINJILI,Ganjam,Odisha,India"
21,388,Ganjam,3090,HINJILI,412317,Nuasaru,"Nuasaru,HINJILI,Ganjam,Odisha,India"
21,388,Ganjam,3098,JARADA,413155,Janamaru,"Janamaru,JARADA,Ganjam,Odisha,India"
21,389,Gajapati,3101,Mohana ,413940,Kantasaru,"Kantasaru,Mohana,Gajapati,Odisha,India"
21,389,Gajapati,3103,Serango ,414319,Kindaru,"Kindaru,Serango,Gajapati,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415082,Kumbhaharu,"Kumbhaharu,Gochhapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415089,Irpisaru,"Irpisaru,Gochhapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415116,Kangasaru,"Kangasaru,Gochhapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415174,Katadisaru,"Katadisaru,Gochhapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415175,Iripisaru,"Iripisaru,Gochhapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415215,Nakudisaru,"Nakudisaru,Gochhapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415241,Dresaru,"Dresaru,Gochhapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415263,Kadi saru,"Kadi saru,Gochhapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3111,Phulabani ,415417,Kutrigaru,"Kutrigaru,Phulabani,Kandhamal,Odisha,India"
21,390,Kandhamal,3111,Phulabani ,415506,Ghoragaru,"Ghoragaru,Phulabani,Kandhamal,Odisha,India"
21,390,Kandhamal,3111,Phulabani ,415523,Adigaru,"Adigaru,Phulabani,Kandhamal,Odisha,India"
21,390,Kandhamal,3111,Phulabani ,415531,Sanagaru,"Sanagaru,Phulabani,Kandhamal,Odisha,India"
21,390,Kandhamal,3114,G.Udayagiri,415773,Dankensaru,"Dankensaru,G.Udayagiri,Kandhamal,Odisha,India"
21,390,Kandhamal,3114,G.Udayagiri,415782,Rengetisaru,"Rengetisaru,G.Udayagiri,Kandhamal,Odisha,India"
21,390,Kandhamal,3115,Tikabali,415957,Nepasaru,"Nepasaru,Tikabali,Kandhamal,Odisha,India"
21,390,Kandhamal,3115,Tikabali,415992,Lambasaru,"Lambasaru,Tikabali,Kandhamal,Odisha,India"
21,390,Kandhamal,3115,Tikabali,415994,Saudisaru,"Saudisaru,Tikabali,Kandhamal,Odisha,India"
21,390,Kandhamal,3116,Chakapada ,416108,Panabandaru,"Panabandaru,Chakapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3118,Phiringia ,416232,Pandasaru,"Pandasaru,Phiringia,Kandhamal,Odisha,India"
21,390,Kandhamal,3118,Phiringia ,416368,Dengagaru,"Dengagaru,Phiringia,Kandhamal,Odisha,India"
21,390,Kandhamal,3118,Phiringia ,416378,Sunakaru,"Sunakaru,Phiringia,Kandhamal,Odisha,India"
21,390,Kandhamal,3119,Baliguda,416517,Kuchasaru,"Kuchasaru,Baliguda,Kandhamal,Odisha,India"
21,390,Kandhamal,3119,Baliguda,416590,Kunasaru,"Kunasaru,Baliguda,Kandhamal,Odisha,India"
21,390,Kandhamal,3120,Nuagaon,416834,Kanisaru,"Kanisaru,Nuagaon,Kandhamal,Odisha,India"
21,390,Kandhamal,3120,Nuagaon,416843,Sikesaru,"Sikesaru,Nuagaon,Kandhamal,Odisha,India"
21,390,Kandhamal,3120,Nuagaon,416857,Sikesaru,"Sikesaru,Nuagaon,Kandhamal,Odisha,India"
21,390,Kandhamal,3121,Tumudibandha,416947,Samadakisaru,"Samadakisaru,Tumudibandha,Kandhamal,Odisha,India"
21,390,Kandhamal,3122,Belaghar ,417021,Sikibaru,"Sikibaru,Belaghar,Kandhamal,Odisha,India"
21,390,Kandhamal,3122,Belaghar ,417023,Pingabaru,"Pingabaru,Belaghar,Kandhamal,Odisha,India"
21,390,Kandhamal,3122,Belaghar ,417027,Nilibaru,"Nilibaru,Belaghar,Kandhamal,Odisha,India"
21,390,Kandhamal,3122,Belaghar ,417030,Gundabaru,"Gundabaru,Belaghar,Kandhamal,Odisha,India"
21,390,Kandhamal,3122,Belaghar ,417044,Surangabaru,"Surangabaru,Belaghar,Kandhamal,Odisha,India"
