STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
21,370,Bargarh,2762,Bijepur,380359,Surubali,"Surubali,Bijepur,Bargarh,Odisha,India"
21,372,Sambalpur,2780,Govindpur,381323,Bihabali,"Bihabali,Govindpur,Sambalpur,Odisha,India"
21,372,Sambalpur,2782,Kochinda,381588,Bihabali,"Bihabali,Kochinda,Sambalpur,Odisha,India"
21,375,Kendujhar,2838,Bamebari ,385351,Unchabali,"Unchabali,Bamebari,Kendujhar,Odisha,India"
21,375,Kendujhar,2841,Baria,385592,Uchabali,"Uchabali,Baria,Kendujhar,Odisha,India"
21,376,Mayurbhanj,2868,Raruan,388696,Sarubali,"Sarubali,Raruan,Mayurbhanj,Odisha,India"
21,376,Mayurbhanj,2882,Barsahi,390622,Unchabali,"Unchabali,Barsahi,Mayurbhanj,Odisha,India"
21,377,Baleshwar,2891,Bhograi,391819,Chandrabali,"Chandrabali,Bhograi,Baleshwar,Odisha,India"
21,377,Baleshwar,2893,Baliapal ,392022,Nayabali,"Nayabali,Baliapal,Baleshwar,Odisha,India"
21,377,Baleshwar,2903,Nilagiri ,393145,Jadibali,"Jadibali,Nilagiri,Baleshwar,Odisha,India"
21,378,Bhadrak,2919,Chandabali ,395394,Chandabali,"Chandabali,Chandabali,Bhadrak,Odisha,India"
21,379,Kendrapara ,2926,Pattamundai ,396219,Sidhabali,"Sidhabali,Pattamundai,Kendrapara,Odisha,India"
21,380,Jagatsinghapur ,2943,Balikuda ,398428,Badabali,"Badabali,Balikuda,Jagatsinghapur,Odisha,India"
21,380,Jagatsinghapur ,2943,Balikuda ,398429,Badabali,"Badabali,Balikuda,Jagatsinghapur,Odisha,India"
21,381,Cuttack,2946,Badamba ,398753,Santarabali,"Santarabali,Badamba,Cuttack,Odisha,India"
21,382,Jajapur  ,2970,Tomka,400479,Patabali,"Patabali,Tomka,Jajapur,Odisha,India"
21,382,Jajapur  ,2970,Tomka,400504,Uchabali,"Uchabali,Tomka,Jajapur,Odisha,India"
21,384,Anugul  ,3003,Kaniha ,403764,Uchabali,"Uchabali,Kaniha,Anugul,Odisha,India"
21,384,Anugul  ,3015,Handapa,404516,Uchabali,"Uchabali,Handapa,Anugul,Odisha,India"
21,387,Puri,3067,Brahmagiri,409926,Badabali,"Badabali,Brahmagiri,Puri,Odisha,India"
21,388,Ganjam,3076,SURADA,410855,Sandhabali,"Sandhabali,SURADA,Ganjam,Odisha,India"
21,388,Ganjam,3076,SURADA,410880,Tatabali,"Tatabali,SURADA,Ganjam,Odisha,India"
21,388,Ganjam,3077,BADAGADA,411005,Putabali,"Putabali,BADAGADA,Ganjam,Odisha,India"
21,388,Ganjam,3083,KHALIKOTE,411939,Dhakabali,"Dhakabali,KHALIKOTE,Ganjam,Odisha,India"
21,388,Ganjam,3097,NUAGAON,412997,Sinkulibali,"Sinkulibali,NUAGAON,Ganjam,Odisha,India"
21,389,Gajapati,3101,Mohana ,413894,Gaibali,"Gaibali,Mohana,Gajapati,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415163,Ranisbali,"Ranisbali,Gochhapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415208,Burungibali,"Burungibali,Gochhapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415210,Namerbali,"Namerbali,Gochhapada,Kandhamal,Odisha,India"
