STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
21,388,Ganjam,3074,BHANJANAGAR,410598,Russelkonda,"Russelkonda,BHANJANAGAR,Ganjam,Odisha,India"
21,399,Malkangiri  ,3220,Malkangiri,430173,Pedakonda,"Pedakonda,Malkangiri,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3220,Malkangiri,430244,Munusakonda,"Munusakonda,Malkangiri,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3220,Malkangiri,430287,Palkonda,"Palkonda,Malkangiri,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3220,Malkangiri,430305,Korukonda,"Korukonda,Malkangiri,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3223,Chitrakonda,0,Chitrakonda,"Chitrakonda,Chitrakonda,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3223,Chitrakonda,430653,Ghatikonda,"Ghatikonda,Chitrakonda,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3223,Chitrakonda,430664,Rajal konda,"Rajal konda,Chitrakonda,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3226,Orkel,430913,Simakonda,"Simakonda,Orkel,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3226,Orkel,430945,Tandikonda,"Tandikonda,Orkel,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3227,Kalimela ,430969,Pagurukonda,"Pagurukonda,Kalimela,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3227,Kalimela ,430996,Kangurkonda,"Kangurkonda,Kalimela,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3227,Kalimela ,431000,Gampakonda,"Gampakonda,Kalimela,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3227,Kalimela ,431001,Salamarikonda,"Salamarikonda,Kalimela,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3227,Kalimela ,431002,Patakonda,"Patakonda,Kalimela,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3227,Kalimela ,431015,Pedakonda,"Pedakonda,Kalimela,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3227,Kalimela ,431018,Pitakonda,"Pitakonda,Kalimela,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3227,Kalimela ,431039,Rajulukonda,"Rajulukonda,Kalimela,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3229,M.V. 79,431132,Idikonda,"Idikonda,M.V. 79,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3230,Motu ,431147,Koikonda,"Koikonda,Motu,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3230,Motu ,431150,Phulkonkonda,"Phulkonkonda,Motu,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3230,Motu ,431151,Pendikonda,"Pendikonda,Motu,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3230,Motu ,431155,Manyamkonda,"Manyamkonda,Motu,Malkangiri,Odisha,India"
21,399,Malkangiri  ,3230,Motu ,431187,Dopenkonda,"Dopenkonda,Motu,Malkangiri,Odisha,India"
