STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
21,373,Debagarh,2803,Reamal,383402,Babarakote,"Babarakote,Reamal,Debagarh,Odisha,India"
21,375,Kendujhar,2846,Nayakote,0,Nayakote,"Nayakote,Nayakote,Kendujhar,Odisha,India"
21,375,Kendujhar,2846,Nayakote,386235,Nayakote,"Nayakote,Nayakote,Kendujhar,Odisha,India"
21,375,Kendujhar,2850,Ghatgaon,386637,Dhenkikote,"Dhenkikote,Ghatgaon,Kendujhar,Odisha,India"
21,376,Mayurbhanj,2881,Betanati,390448,Hatikote,"Hatikote,Betanati,Mayurbhanj,Odisha,India"
21,381,Cuttack,2949,Tigiria ,398979,Achalkote,"Achalkote,Tigiria,Cuttack,Odisha,India"
21,382,Jajapur  ,2975,Korai ,400677,Pachhikote,"Pachhikote,Korai,Jajapur,Odisha,India"
21,382,Jajapur  ,2975,Korai ,400694,Purbakote,"Purbakote,Korai,Jajapur,Odisha,India"
21,382,Jajapur  ,2975,Korai ,400730,Bangarkote,"Bangarkote,Korai,Jajapur,Odisha,India"
21,382,Jajapur  ,2975,Korai ,400731,Tarakote,"Tarakote,Korai,Jajapur,Odisha,India"
21,383,Dhenkanal,2990,Bhuban ,402602,Jamunakote,"Jamunakote,Bhuban,Dhenkanal,Odisha,India"
21,385,Nayagarh  ,3027,Fategarh,406131,Jaharkote,"Jaharkote,Fategarh,Nayagarh,Odisha,India"
21,387,Puri,3069,Krushna Prasad ,410224,Bajrakote,"Bajrakote,Krushna Prasad,Puri,Odisha,India"
21,388,Ganjam,3074,BHANJANAGAR,410558,Bajrakote,"Bajrakote,BHANJANAGAR,Ganjam,Odisha,India"
21,388,Ganjam,3077,BADAGADA,410950,Merikote,"Merikote,BADAGADA,Ganjam,Odisha,India"
21,388,Ganjam,3077,BADAGADA,411146,Machhakote,"Machhakote,BADAGADA,Ganjam,Odisha,India"
21,388,Ganjam,3077,BADAGADA,411164,Barikote,"Barikote,BADAGADA,Ganjam,Odisha,India"
21,388,Ganjam,3077,BADAGADA,411169,Mardakote,"Mardakote,BADAGADA,Ganjam,Odisha,India"
21,388,Ganjam,3078,ASIKA,411219,Bajrakote,"Bajrakote,ASIKA,Ganjam,Odisha,India"
21,388,Ganjam,3079,DHARAKOTE,0,Dharakote,"Dharakote,DHARAKOTE,Ganjam,Odisha,India"
21,388,Ganjam,3082,KODALA,411717,Mardakote,"Mardakote,KODALA,Ganjam,Odisha,India"
21,388,Ganjam,3083,KHALIKOTE,0,Khalikote,"Khalikote,KHALIKOTE,Ganjam,Odisha,India"
21,388,Ganjam,3084,RAMBHA,412036,Gubudimardakote,"Gubudimardakote,RAMBHA,Ganjam,Odisha,India"
21,388,Ganjam,3091,PATAPUR,412370,Ranikote,"Ranikote,PATAPUR,Ganjam,Odisha,India"
21,389,Gajapati,3103,Serango ,414327,Sanakalakote,"Sanakalakote,Serango,Gajapati,Odisha,India"
21,389,Gajapati,3103,Serango ,414329,Badakalakote,"Badakalakote,Serango,Gajapati,Odisha,India"
21,395,Kalahandi,3167,Golamunda,423895,Dekote,"Dekote,Golamunda,Kalahandi,Odisha,India"
21,395,Kalahandi,3170,Jayapatna,424199,Badakarlakote,"Badakarlakote,Jayapatna,Kalahandi,Odisha,India"
21,395,Kalahandi,3171,Thuamul Rampur ,424435,Birikote,"Birikote,Thuamul Rampur,Kalahandi,Odisha,India"
21,396,Rayagada  ,3184,Gudari ,427034,Bichikote,"Bichikote,Gudari,Rayagada,Odisha,India"
21,397,Nabarangapur ,3189,Umarkote,0,Umarkote,"Umarkote,Umarkote,Nabarangapur,Odisha,India"
21,397,Nabarangapur ,3189,Umarkote,427416,Kanakote,"Kanakote,Umarkote,Nabarangapur,Odisha,India"
21,397,Nabarangapur ,3190,Chandahandi ,427430,Dhupkote,"Dhupkote,Chandahandi,Nabarangapur,Odisha,India"
21,397,Nabarangapur ,3190,Chandahandi ,427477,Dhanarakote,"Dhanarakote,Chandahandi,Nabarangapur,Odisha,India"
21,397,Nabarangapur ,3190,Chandahandi ,427504,Rajkote,"Rajkote,Chandahandi,Nabarangapur,Odisha,India"
21,397,Nabarangapur ,3191,Jharigan,427535,Dukulikote,"Dukulikote,Jharigan,Nabarangapur,Odisha,India"
21,397,Nabarangapur ,3193,Paparahandi,427722,Nuakote,"Nuakote,Paparahandi,Nabarangapur,Odisha,India"
21,397,Nabarangapur ,3196,Nabarangapur P.S,427925,Baminikote,"Baminikote,Nabarangapur P.S,Nabarangapur,Odisha,India"
21,398,Koraput,3199,Kotpad ,428135,Kurmakote,"Kurmakote,Kotpad,Koraput,Odisha,India"
21,398,Koraput,3210,Kundura,429127,Krupakote,"Krupakote,Kundura,Koraput,Odisha,India"
