STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
21,375,Kendujhar,2841,Baria,385660,Ankudi,"Ankudi,Baria,Kendujhar,Odisha,India"
21,377,Baleshwar,2894,Singla ,392175,Parkunkudi,"Parkunkudi,Singla,Baleshwar,Odisha,India"
21,377,Baleshwar,2894,Singla ,392192,Mathakunkudi,"Mathakunkudi,Singla,Baleshwar,Odisha,India"
21,377,Baleshwar,2894,Singla ,392237,Naikudi,"Naikudi,Singla,Baleshwar,Odisha,India"
21,379,Kendrapara ,2922,Rajkanika ,395619,Sikudi,"Sikudi,Rajkanika,Kendrapara,Odisha,India"
21,382,Jajapur  ,2983,Balichandrapur ,401855,Dekudi,"Dekudi,Balichandrapur,Jajapur,Odisha,India"
21,382,Jajapur  ,2986,Mangalpur ,402166,Thalakudi,"Thalakudi,Mangalpur,Jajapur,Odisha,India"
21,384,Anugul  ,3006,Talcher Sadar,403988,Kakudi,"Kakudi,Talcher Sadar,Anugul,Odisha,India"
21,386,Khordha ,3042,Balianta ,407573,Lenkudi,"Lenkudi,Balianta,Khordha,Odisha,India"
21,387,Puri,3066,Sadar ,409826,Ghatakudi,"Ghatakudi,Sadar,Puri,Odisha,India"
21,387,Puri,3066,Sadar ,409867,Tinikudi,"Tinikudi,Sadar,Puri,Odisha,India"
21,387,Puri,3067,Brahmagiri,409973,Timilikudi,"Timilikudi,Brahmagiri,Puri,Odisha,India"
21,387,Puri,3067,Brahmagiri,409981,Dharanikudi,"Dharanikudi,Brahmagiri,Puri,Odisha,India"
21,387,Puri,3067,Brahmagiri,409983,Chadheikudi,"Chadheikudi,Brahmagiri,Puri,Odisha,India"
21,387,Puri,3067,Brahmagiri,409987,Nalakudi,"Nalakudi,Brahmagiri,Puri,Odisha,India"
21,387,Puri,3067,Brahmagiri,409993,Dekudi,"Dekudi,Brahmagiri,Puri,Odisha,India"
21,387,Puri,3067,Brahmagiri,410021,Sanabenakudi,"Sanabenakudi,Brahmagiri,Puri,Odisha,India"
21,387,Puri,3067,Brahmagiri,410031,Badabenakudi,"Badabenakudi,Brahmagiri,Puri,Odisha,India"
21,387,Puri,3067,Brahmagiri,410032,Keutakudi,"Keutakudi,Brahmagiri,Puri,Odisha,India"
21,387,Puri,3069,Krushna Prasad ,410179,Khatiakudi,"Khatiakudi,Krushna Prasad,Puri,Odisha,India"
21,387,Puri,3069,Krushna Prasad ,410183,Rasakudi,"Rasakudi,Krushna Prasad,Puri,Odisha,India"
21,387,Puri,3069,Krushna Prasad ,410217,Nalitakudi,"Nalitakudi,Krushna Prasad,Puri,Odisha,India"
21,388,Ganjam,3084,RAMBHA,412031,Duburakudi,"Duburakudi,RAMBHA,Ganjam,Odisha,India"
21,388,Ganjam,3084,RAMBHA,412032,Bhramarakudi,"Bhramarakudi,RAMBHA,Ganjam,Odisha,India"
21,388,Ganjam,3093,BRAHMAPUR SADAR,412601,Burukudi,"Burukudi,BRAHMAPUR SADAR,Ganjam,Odisha,India"
21,388,Ganjam,3095,GOLANTHARA,412705,Belakudi,"Belakudi,GOLANTHARA,Ganjam,Odisha,India"
21,388,Ganjam,3109,Ramagiri,413385,Ankudi,"Ankudi,Ramagiri,Ganjam,Odisha,India"
21,389,Gajapati,3106,Gurandi,414694,Bhuskudi,"Bhuskudi,Gurandi,Gajapati,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415141,Kutukudi,"Kutukudi,Gochhapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3113,Khajuripada,415609,Pirkudi,"Pirkudi,Khajuripada,Kandhamal,Odisha,India"
21,390,Kandhamal,3118,Phiringia ,416237,Adapikudi,"Adapikudi,Phiringia,Kandhamal,Odisha,India"
21,390,Kandhamal,3122,Belaghar ,417009,Karkudi,"Karkudi,Belaghar,Kandhamal,Odisha,India"
21,390,Kandhamal,3122,Belaghar ,417108,Piskudi,"Piskudi,Belaghar,Kandhamal,Odisha,India"
21,392,Subarnapur,3137,Biramaharajpur,419369,Hikudi,"Hikudi,Biramaharajpur,Subarnapur,Odisha,India"
21,395,Kalahandi,3163,Biswanathpur ,423222,Panchkudi,"Panchkudi,Biswanathpur,Kalahandi,Odisha,India"
21,395,Kalahandi,3164,Sadar,423575,Pastikudi,"Pastikudi,Sadar,Kalahandi,Odisha,India"
21,395,Kalahandi,3170,Jayapatna,424180,Kukudi,"Kukudi,Jayapatna,Kalahandi,Odisha,India"
21,396,Rayagada  ,3176,Kalyanasingpur ,425520,Panchakudi,"Panchakudi,Kalyanasingpur,Rayagada,Odisha,India"
21,396,Rayagada  ,3177,Kashipur ,425893,Shilasankudi,"Shilasankudi,Kashipur,Rayagada,Odisha,India"
