STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
21,370,Bargarh,2762,Bijepur,380401,Badbrahmani,"Badbrahmani,Bijepur,Bargarh,Odisha,India"
21,370,Bargarh,2763,Barapali,380487,Junabrahmani,"Junabrahmani,Barapali,Bargarh,Odisha,India"
21,372,Sambalpur,2796,Charamal,382283,Brahmani,"Brahmani,Charamal,Sambalpur,Odisha,India"
21,372,Sambalpur,2797,Rairakhol,382406,Brahmani,"Brahmani,Rairakhol,Sambalpur,Odisha,India"
21,377,Baleshwar,2890,Jaleswar ,391500,Chakamani,"Chakamani,Jaleswar,Baleshwar,Odisha,India"
21,377,Baleshwar,2893,Baliapal ,392142,Chandamani,"Chandamani,Baliapal,Baleshwar,Odisha,India"
21,378,Bhadrak,2915,Basudebpur ,394917,Chudamani,"Chudamani,Basudebpur,Bhadrak,Odisha,India"
21,380,Jagatsinghapur ,2935,Paradeep Lock ,397166,Jhimani,"Jhimani,Paradeep Lock,Jagatsinghapur,Odisha,India"
21,380,Jagatsinghapur ,2943,Balikuda ,398232,Jenamani,"Jenamani,Balikuda,Jagatsinghapur,Odisha,India"
21,381,Cuttack,2944,Narasinghpur ,398557,Brahmani,"Brahmani,Narasinghpur,Cuttack,Odisha,India"
21,382,Jajapur  ,2982,Badachana ,401685,Sanabrahmani,"Sanabrahmani,Badachana,Jajapur,Odisha,India"
21,384,Anugul  ,3013,Industrial  ,404363,Malibrahmani,"Malibrahmani,Industrial,Anugul,Odisha,India"
21,384,Anugul  ,3016,Kishorenagar ,404696,Jharabandhuli chintamani,"Jharabandhuli chintamani,Kishorenagar,Anugul,Odisha,India"
21,385,Nayagarh  ,3027,Fategarh,406183,Nimani,"Nimani,Fategarh,Nayagarh,Odisha,India"
21,387,Puri,3067,Brahmagiri,409961,Chuduchudamani,"Chuduchudamani,Brahmagiri,Puri,Odisha,India"
21,388,Ganjam,3075,GANGAPUR,410703,Suramani,"Suramani,GANGAPUR,Ganjam,Odisha,India"
21,388,Ganjam,3076,SURADA,410908,Suramani,"Suramani,SURADA,Ganjam,Odisha,India"
21,388,Ganjam,3081,POLASARA,411573,Janamani,"Janamani,POLASARA,Ganjam,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415305,Gamani,"Gamani,Gochhapada,Kandhamal,Odisha,India"
21,391,Baudh,3128,Manamunda,418049,Brahmani,"Brahmani,Manamunda,Baudh,Odisha,India"
21,392,Subarnapur,3140,Tarbha,419732,Brahmani,"Brahmani,Tarbha,Subarnapur,Odisha,India"
21,393,Balangir,3145,Khaprakhol ,420712,Brahmani,"Brahmani,Khaprakhol,Balangir,Odisha,India"
21,393,Balangir,3148,Saintala,421123,Brahmani,"Brahmani,Saintala,Balangir,Odisha,India"
21,393,Balangir,3149,Kantabanji,421239,Brahmani,"Brahmani,Kantabanji,Balangir,Odisha,India"
21,394,Nuapada,3154,NUAPADA,421680,Brahmani,"Brahmani,NUAPADA,Nuapada,Odisha,India"
21,395,Kalahandi,3159,Kesinga,422365,Brahmani,"Brahmani,Kesinga,Kalahandi,Odisha,India"
21,395,Kalahandi,3160,Madanpur Rampur ,422535,Damani,"Damani,Madanpur Rampur,Kalahandi,Odisha,India"
21,395,Kalahandi,3161,Narala ,422713, Brahmani,"Brahmani,Narala,Kalahandi,Odisha,India"
21,396,Rayagada  ,3172,Ambadala ,424852,Kanimani,"Kanimani,Ambadala,Rayagada,Odisha,India"
21,396,Rayagada  ,3175,Bishamakatak,425290,Kunumani,"Kunumani,Bishamakatak,Rayagada,Odisha,India"
21,396,Rayagada  ,3182,Seskhal ,426633,Junjamani,"Junjamani,Seskhal,Rayagada,Odisha,India"
21,398,Koraput,3206,Kakiriguma ,428851,Lachhamani,"Lachhamani,Kakiriguma,Koraput,Odisha,India"
