STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
21,370,Bargarh,2756,Jharbandha,379860,Chiroli,"Chiroli,Jharbandha,Bargarh,Odisha,India"
21,370,Bargarh,2757,Padmapur,379969,Deoli,"Deoli,Padmapur,Bargarh,Odisha,India"
21,370,Bargarh,2768,Ambabhona,380799,Chicholi,"Chicholi,Ambabhona,Bargarh,Odisha,India"
21,372,Sambalpur,2796,Charamal,382280,Bagdoli,"Bagdoli,Charamal,Sambalpur,Odisha,India"
21,372,Sambalpur,2797,Rairakhol,382421,Baisnabajholi,"Baisnabajholi,Rairakhol,Sambalpur,Odisha,India"
21,373,Debagarh,2800,Debagarh,382687,Kanteikoli,"Kanteikoli,Debagarh,Debagarh,Odisha,India"
21,374,Sundargarh,2813,Kutra,384159,Biringatoli,"Biringatoli,Kutra,Sundargarh,Odisha,India"
21,374,Sundargarh,2814,Rajagangapur,384199,Chhatantoli,"Chhatantoli,Rajagangapur,Sundargarh,Odisha,India"
21,374,Sundargarh,2815,Raiboga,384268,Ruthatoli,"Ruthatoli,Raiboga,Sundargarh,Odisha,India"
21,374,Sundargarh,2815,Raiboga,384270,Chundatoli,"Chundatoli,Raiboga,Sundargarh,Odisha,India"
21,374,Sundargarh,2815,Raiboga,384273,Mugtoli,"Mugtoli,Raiboga,Sundargarh,Odisha,India"
21,374,Sundargarh,2815,Raiboga,384292,Bartoli,"Bartoli,Raiboga,Sundargarh,Odisha,India"
21,374,Sundargarh,2817,Hatibari,384385,Pahadtoli,"Pahadtoli,Hatibari,Sundargarh,Odisha,India"
21,374,Sundargarh,2817,Hatibari,384398,Jaharitoli,"Jaharitoli,Hatibari,Sundargarh,Odisha,India"
21,374,Sundargarh,2817,Hatibari,384402,Mangratoli,"Mangratoli,Hatibari,Sundargarh,Odisha,India"
21,374,Sundargarh,2817,Hatibari,384403,Kusumtoli,"Kusumtoli,Hatibari,Sundargarh,Odisha,India"
21,374,Sundargarh,2817,Hatibari,384427,Bartoli,"Bartoli,Hatibari,Sundargarh,Odisha,India"
21,374,Sundargarh,2818,Bisra,384463,Khatangtoli,"Khatangtoli,Bisra,Sundargarh,Odisha,India"
21,374,Sundargarh,2818,Bisra,384497,Khanditatoli,"Khanditatoli,Bisra,Sundargarh,Odisha,India"
21,374,Sundargarh,2818,Bisra,384516,Jatatoli,"Jatatoli,Bisra,Sundargarh,Odisha,India"
21,374,Sundargarh,2819,Bondamunda,384554,Bartoli,"Bartoli,Bondamunda,Sundargarh,Odisha,India"
21,374,Sundargarh,2820,Brahmani Tarang,384601,Turitoli,"Turitoli,Brahmani Tarang,Sundargarh,Odisha,India"
21,374,Sundargarh,2822,Tangarapali,384617,Nuatoli,"Nuatoli,Tangarapali,Sundargarh,Odisha,India"
21,374,Sundargarh,2823,Lathikata,384637,Tepatoli,"Tepatoli,Lathikata,Sundargarh,Odisha,India"
21,374,Sundargarh,2823,Lathikata,384638,Sannuatoli,"Sannuatoli,Lathikata,Sundargarh,Odisha,India"
21,375,Kendujhar,2835,Bolani,385277,Kolhapandoli,"Kolhapandoli,Bolani,Kendujhar,Odisha,India"
21,375,Kendujhar,2838,Bamebari ,385336,Jaroli,"Jaroli,Bamebari,Kendujhar,Odisha,India"
21,375,Kendujhar,2848,Telkoi,386397,Betakholi,"Betakholi,Telkoi,Kendujhar,Odisha,India"
21,376,Mayurbhanj,2858,Tiring,387495,Indokholi,"Indokholi,Tiring,Mayurbhanj,Odisha,India"
21,376,Mayurbhanj,2863,Jharpokharia,387864,Darkholi,"Darkholi,Jharpokharia,Mayurbhanj,Odisha,India"
21,376,Mayurbhanj,2867,Jashipur,388435,Sirakoli,"Sirakoli,Jashipur,Mayurbhanj,Odisha,India"
21,376,Mayurbhanj,2874,Koliana,389365,Darkholi,"Darkholi,Koliana,Mayurbhanj,Odisha,India"
21,377,Baleshwar,2897,Baleshwar Sadar,392642,Darkoli,"Darkoli,Baleshwar Sadar,Baleshwar,Odisha,India"
21,377,Baleshwar,2905,Oupada  ,393361,Darakholi,"Darakholi,Oupada,Baleshwar,Odisha,India"
