STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
21,372,Sambalpur,2781,Mahulpalli,0,Mahulpalli,"Mahulpalli,Mahulpalli,Sambalpur,Odisha,India"
21,372,Sambalpur,2798,Naktideul,382517,Jurapalli,"Jurapalli,Naktideul,Sambalpur,Odisha,India"
21,373,Debagarh,2803,Reamal,383369,Kalicharanpalli,"Kalicharanpalli,Reamal,Debagarh,Odisha,India"
21,374,Sundargarh,2820,Brahmani Tarang,384567,Mahaliapalli,"Mahaliapalli,Brahmani Tarang,Sundargarh,Odisha,India"
21,375,Kendujhar,2855,Soso,387125,Padhiaripalli,"Padhiaripalli,Soso,Kendujhar,Odisha,India"
21,377,Baleshwar,2906,Khaira  ,393601,Nimapalli,"Nimapalli,Khaira,Baleshwar,Odisha,India"
21,378,Bhadrak,2911,Bant ,394430,Sahadapalli,"Sahadapalli,Bant,Bhadrak,Odisha,India"
21,378,Bhadrak,2920,Bansada ,395555,Sailendrapalli,"Sailendrapalli,Bansada,Bhadrak,Odisha,India"
21,378,Bhadrak,2920,Bansada ,395571,Rajarajeswarpalli,"Rajarajeswarpalli,Bansada,Bhadrak,Odisha,India"
21,378,Bhadrak,2920,Bansada ,395573,Kanakpalli,"Kanakpalli,Bansada,Bhadrak,Odisha,India"
21,379,Kendrapara ,2923,Rajnagar ,396033,Badpalli,"Badpalli,Rajnagar,Kendrapara,Odisha,India"
21,379,Kendrapara ,2923,Rajnagar ,396035,Badmaricha palli,"Badmaricha palli,Rajnagar,Kendrapara,Odisha,India"
21,379,Kendrapara ,2924,Jamboo Marine  ,396070,Rabindrapalli,"Rabindrapalli,Jamboo Marine,Kendrapara,Odisha,India"
21,379,Kendrapara ,2926,Pattamundai ,396311,Aradapalli,"Aradapalli,Pattamundai,Kendrapara,Odisha,India"
21,379,Kendrapara ,2926,Pattamundai ,396364,Balia palli,"Balia palli,Pattamundai,Kendrapara,Odisha,India"
21,379,Kendrapara ,2931,Patkura ,396784,Garajanga palli,"Garajanga palli,Patkura,Kendrapara,Odisha,India"
21,379,Kendrapara ,2933,Mahakalapada ,397036,Jasuapalli,"Jasuapalli,Mahakalapada,Kendrapara,Odisha,India"
21,379,Kendrapara ,2933,Mahakalapada ,397040,Ghantia palli,"Ghantia palli,Mahakalapada,Kendrapara,Odisha,India"
21,379,Kendrapara ,2933,Mahakalapada ,397061,Chandia palli,"Chandia palli,Mahakalapada,Kendrapara,Odisha,India"
21,380,Jagatsinghapur ,2936,Kujang ,397231,Panpalli,"Panpalli,Kujang,Jagatsinghapur,Odisha,India"
21,381,Cuttack,2944,Narasinghpur ,398490,Sargunapalli,"Sargunapalli,Narasinghpur,Cuttack,Odisha,India"
21,381,Cuttack,2944,Narasinghpur ,398529,Gandapalli,"Gandapalli,Narasinghpur,Cuttack,Odisha,India"
21,381,Cuttack,2944,Narasinghpur ,398534,Thengapalli,"Thengapalli,Narasinghpur,Cuttack,Odisha,India"
21,381,Cuttack,2944,Narasinghpur ,398584,Kendupalli,"Kendupalli,Narasinghpur,Cuttack,Odisha,India"
21,381,Cuttack,2944,Narasinghpur ,398589,Nuapalli,"Nuapalli,Narasinghpur,Cuttack,Odisha,India"
21,381,Cuttack,2945,Kanpur ,398654,Hatiapalli,"Hatiapalli,Kanpur,Cuttack,Odisha,India"
21,381,Cuttack,2946,Badamba ,398695,Dhanapalli,"Dhanapalli,Badamba,Cuttack,Odisha,India"
21,381,Cuttack,2946,Badamba ,398726,Kendupalli,"Kendupalli,Badamba,Cuttack,Odisha,India"
21,381,Cuttack,2947,Baidyeswar ,398834,Kendupalli,"Kendupalli,Baidyeswar,Cuttack,Odisha,India"
21,381,Cuttack,2947,Baidyeswar ,398853,Karadapalli,"Karadapalli,Baidyeswar,Cuttack,Odisha,India"
21,381,Cuttack,2947,Baidyeswar ,398858,Nandahatapalli,"Nandahatapalli,Baidyeswar,Cuttack,Odisha,India"
21,381,Cuttack,2947,Baidyeswar ,398861,Madhuapalli,"Madhuapalli,Baidyeswar,Cuttack,Odisha,India"
21,381,Cuttack,2947,Baidyeswar ,398869,Gureipalli,"Gureipalli,Baidyeswar,Cuttack,Odisha,India"
21,381,Cuttack,2949,Tigiria ,398994,Karadapalli,"Karadapalli,Tigiria,Cuttack,Odisha,India"
21,385,Nayagarh  ,3022,Gania ,405289,Sakatapalli,"Sakatapalli,Gania,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3022,Gania ,405329,Barapalli,"Barapalli,Gania,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3022,Gania ,405362,Krushnapalli,"Krushnapalli,Gania,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3023,Dasapalla ,405445,Mahantipalli,"Mahantipalli,Dasapalla,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3023,Dasapalla ,405462,Barapalli,"Barapalli,Dasapalla,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3023,Dasapalla ,405512,Tentuliapalli,"Tentuliapalli,Dasapalla,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3024,Banigochha ,405695,Chancharapalli,"Chancharapalli,Banigochha,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3024,Banigochha ,405736,Chadeyapalli,"Chadeyapalli,Banigochha,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3026,Khandapada ,405924,Banjhapalli,"Banjhapalli,Khandapada,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3026,Khandapada ,405954,Koduapalli,"Koduapalli,Khandapada,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3026,Khandapada ,405956,Kendupalli,"Kendupalli,Khandapada,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3026,Khandapada ,405958,Barapalli,"Barapalli,Khandapada,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3026,Khandapada ,405968,Dukhapalli,"Dukhapalli,Khandapada,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3026,Khandapada ,405982,Krushnapalli,"Krushnapalli,Khandapada,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3026,Khandapada ,405993,Bhanlapalli,"Bhanlapalli,Khandapada,Nayagarh,Odisha,India"
