STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
21,370,Bargarh,2755,Paikamal,379763,Dandapat,"Dandapat,Paikamal,Bargarh,Odisha,India"
21,370,Bargarh,2759,Gaisilet,380136,Jagalpat,"Jagalpat,Gaisilet,Bargarh,Odisha,India"
21,371,Jharsuguda,2776,Jharsuguda,381115,Beherapat,"Beherapat,Jharsuguda,Jharsuguda,Odisha,India"
21,372,Sambalpur,2780,Govindpur,381318,Uchkapat,"Uchkapat,Govindpur,Sambalpur,Odisha,India"
21,372,Sambalpur,2792,Jamankira,381891,Kalapat,"Kalapat,Jamankira,Sambalpur,Odisha,India"
21,374,Sundargarh,2809,Sundargarh ,383890,Pradhanpat,"Pradhanpat,Sundargarh,Sundargarh,Odisha,India"
21,374,Sundargarh,2830,Banei,385095,Khandapat,"Khandapat,Banei,Sundargarh,Odisha,India"
21,375,Kendujhar,2839,Champua,385398,Kankadapat,"Kankadapat,Champua,Kendujhar,Odisha,India"
21,375,Kendujhar,2840,Jhumpura,385531,Dhaulipat,"Dhaulipat,Jhumpura,Kendujhar,Odisha,India"
21,375,Kendujhar,2841,Baria,385568,Asanapat,"Asanapat,Baria,Kendujhar,Odisha,India"
21,375,Kendujhar,2848,Telkoi,386442,Sarupat,"Sarupat,Telkoi,Kendujhar,Odisha,India"
21,375,Kendujhar,2850,Ghatgaon,386631,Sarupat,"Sarupat,Ghatgaon,Kendujhar,Odisha,India"
21,376,Mayurbhanj,2867,Jashipur,388613,Saharpat,"Saharpat,Jashipur,Mayurbhanj,Odisha,India"
21,376,Mayurbhanj,2868,Raruan,388725,Rautalipat,"Rautalipat,Raruan,Mayurbhanj,Odisha,India"
21,376,Mayurbhanj,2870,Karanjia,388816,Murgapat,"Murgapat,Karanjia,Mayurbhanj,Odisha,India"
21,376,Mayurbhanj,2870,Karanjia,388879,Ranipat,"Ranipat,Karanjia,Mayurbhanj,Odisha,India"
21,377,Baleshwar,2892,Kamarda,391884,Basulipat,"Basulipat,Kamarda,Baleshwar,Odisha,India"
21,377,Baleshwar,2901,Bampada ,392932,Golapat,"Golapat,Bampada,Baleshwar,Odisha,India"
21,378,Bhadrak,2919,Chandabali ,395382,Panduapat,"Panduapat,Chandabali,Bhadrak,Odisha,India"
21,378,Bhadrak,2920,Bansada ,395453,Andiapat,"Andiapat,Bansada,Bhadrak,Odisha,India"
21,378,Bhadrak,2920,Bansada ,395561,Kaliapat,"Kaliapat,Bansada,Bhadrak,Odisha,India"
21,379,Kendrapara ,2926,Pattamundai ,396245,Poipat,"Poipat,Pattamundai,Kendrapara,Odisha,India"
21,379,Kendrapara ,2930,Derabish ,396607,Nolapat,"Nolapat,Derabish,Kendrapara,Odisha,India"
21,379,Kendrapara ,2931,Patkura ,396794,Solapat,"Solapat,Patkura,Kendrapara,Odisha,India"
21,379,Kendrapara ,2932,Marsaghai ,396963,Khurusiapat,"Khurusiapat,Marsaghai,Kendrapara,Odisha,India"
21,380,Jagatsinghapur ,2938,Ersama ,397372,Jaipat,"Jaipat,Ersama,Jagatsinghapur,Odisha,India"
21,381,Cuttack,2946,Badamba ,398794,Ratapat,"Ratapat,Badamba,Cuttack,Odisha,India"
21,381,Cuttack,2950,Athagad ,399050,Chirigunipat,"Chirigunipat,Athagad,Cuttack,Odisha,India"
21,381,Cuttack,2950,Athagad ,399091,Silapat,"Silapat,Athagad,Cuttack,Odisha,India"
21,381,Cuttack,2950,Athagad ,399113,Gariapat,"Gariapat,Athagad,Cuttack,Odisha,India"
21,382,Jajapur  ,2976,Panikoili ,400795,Bhatasolapat,"Bhatasolapat,Panikoili,Jajapur,Odisha,India"
21,382,Jajapur  ,2979,Dharmasala ,401255,Dhiapat,"Dhiapat,Dharmasala,Jajapur,Odisha,India"
21,382,Jajapur  ,2980,Jenapur  ,401402,Kansalapat,"Kansalapat,Jenapur,Jajapur,Odisha,India"
21,382,Jajapur  ,2980,Jenapur  ,401443,Madhupur pat,"Madhupur pat,Jenapur,Jajapur,Odisha,India"
21,382,Jajapur  ,2982,Badachana ,401694,Udaynagarpat,"Udaynagarpat,Badachana,Jajapur,Odisha,India"
21,382,Jajapur  ,2986,Mangalpur ,402108,Solpat,"Solpat,Mangalpur,Jajapur,Odisha,India"
21,382,Jajapur  ,2986,Mangalpur ,402117,Narana pat,"Narana pat,Mangalpur,Jajapur,Odisha,India"
21,383,Dhenkanal,2987,Parajang ,402306,Renthapat,"Renthapat,Parajang,Dhenkanal,Odisha,India"
21,383,Dhenkanal,2992,Nihalprasad ,402794,Baliapat,"Baliapat,Nihalprasad,Dhenkanal,Odisha,India"
21,383,Dhenkanal,2992,Nihalprasad ,402796,Bhaliapat,"Bhaliapat,Nihalprasad,Dhenkanal,Odisha,India"
21,383,Dhenkanal,2994,Motunga ,402923,gharamapat,"gharamapat,Motunga,Dhenkanal,Odisha,India"
21,384,Anugul  ,3015,Handapa,404522,Barapat,"Barapat,Handapa,Anugul,Odisha,India"
21,384,Anugul  ,3015,Handapa,404523,Nuabarapat,"Nuabarapat,Handapa,Anugul,Odisha,India"
21,384,Anugul  ,3020,Purunakot ,405151,Baghuapat,"Baghuapat,Purunakot,Anugul,Odisha,India"
21,384,Anugul  ,3021,Bantala ,405209,Kusumapat,"Kusumapat,Bantala,Anugul,Odisha,India"
21,388,Ganjam,3083,KHALIKOTE,411780,Sialiapat,"Sialiapat,KHALIKOTE,Ganjam,Odisha,India"
21,389,Gajapati,3103,Serango ,414406,Kulpat,"Kulpat,Serango,Gajapati,Odisha,India"
21,391,Baudh,3129,Baunsuni ,418242,Palaspat,"Palaspat,Baunsuni,Baudh,Odisha,India"
21,391,Baudh,3130,Baudh Sadar ,418447,Palaspat,"Palaspat,Baudh Sadar,Baudh,Odisha,India"
21,393,Balangir,3141,Loisinga ,419962,Karlipat,"Karlipat,Loisinga,Balangir,Odisha,India"
21,394,Nuapada,3155,KOMNA,421875,Barandapat,"Barandapat,KOMNA,Nuapada,Odisha,India"
21,395,Kalahandi,3171,Thuamul Rampur ,424263,Karlapat,"Karlapat,Thuamul Rampur,Kalahandi,Odisha,India"
