STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
21,370,Bargarh,2756,Jharbandha,379878,Kapati,"Kapati,Jharbandha,Bargarh,Odisha,India"
21,372,Sambalpur,2792,Jamankira,382008,Gadpati,"Gadpati,Jamankira,Sambalpur,Odisha,India"
21,372,Sambalpur,2796,Charamal,382270,Badpati,"Badpati,Charamal,Sambalpur,Odisha,India"
21,374,Sundargarh,2827,Lahunipara,384929,Bichhanapati,"Bichhanapati,Lahunipara,Sundargarh,Odisha,India"
21,376,Mayurbhanj,2864,Bisoi,388141,Talapati,"Talapati,Bisoi,Mayurbhanj,Odisha,India"
21,376,Mayurbhanj,2866,Badampahar,388303,Talapati,"Talapati,Badampahar,Mayurbhanj,Odisha,India"
21,377,Baleshwar,2907,Soro,393785,Rangapati,"Rangapati,Soro,Baleshwar,Odisha,India"
21,378,Bhadrak,2919,Chandabali ,395318,Hengupati,"Hengupati,Chandabali,Bhadrak,Odisha,India"
21,380,Jagatsinghapur ,2939,Tirtol ,397514,Adhapati,"Adhapati,Tirtol,Jagatsinghapur,Odisha,India"
21,380,Jagatsinghapur ,2940,Jagatsinghapur,397815,Kandarpati,"Kandarpati,Jagatsinghapur,Jagatsinghapur,Odisha,India"
21,381,Cuttack,2957,Salepur ,399733,Badaroutapati,"Badaroutapati,Salepur,Cuttack,Odisha,India"
21,381,Cuttack,2957,Salepur ,399734,Baunapati,"Baunapati,Salepur,Cuttack,Odisha,India"
21,381,Cuttack,2957,Salepur ,399735,Gobindapati,"Gobindapati,Salepur,Cuttack,Odisha,India"
21,381,Cuttack,2957,Salepur ,399741,Sanaroutapati,"Sanaroutapati,Salepur,Cuttack,Odisha,India"
21,381,Cuttack,2961,Jagatpur ,400035,Champati,"Champati,Jagatpur,Cuttack,Odisha,India"
21,383,Dhenkanal,2999,Dhenkanal Sadar ,403240,Panchupati,"Panchupati,Dhenkanal Sadar,Dhenkanal,Odisha,India"
21,384,Anugul  ,3017,Athmallik ,404876,Kendupati,"Kendupati,Athmallik,Anugul,Odisha,India"
21,384,Anugul  ,3017,Athmallik ,404878,Nuakendupati,"Nuakendupati,Athmallik,Anugul,Odisha,India"
21,385,Nayagarh  ,3029,Itamati ,406322,Khairpati,"Khairpati,Itamati,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3032,Sarankul,406662,Khairapati,"Khairapati,Sarankul,Nayagarh,Odisha,India"
21,385,Nayagarh  ,3032,Sarankul,406682,Jagirikhairapati,"Jagirikhairapati,Sarankul,Nayagarh,Odisha,India"
21,387,Puri,3059,Kakatpur,409151,Kendrapati,"Kendrapati,Kakatpur,Puri,Odisha,India"
21,387,Puri,3067,Brahmagiri,409946,Bhubanapati,"Bhubanapati,Brahmagiri,Puri,Odisha,India"
21,388,Ganjam,3071,TARASINGI,410263,Kupati,"Kupati,TARASINGI,Ganjam,Odisha,India"
21,389,Gajapati,0,Gajapati,0,Gajapati,"Gajapati,Gajapati,Gajapati,Odisha,India"
21,389,Gajapati,3106,Gurandi,414692,Tatipati,"Tatipati,Gurandi,Gajapati,Odisha,India"
21,390,Kandhamal,3110,Gochhapada,415162,Kanapati,"Kanapati,Gochhapada,Kandhamal,Odisha,India"
21,390,Kandhamal,3111,Phulabani ,415458,Ladrupati,"Ladrupati,Phulabani,Kandhamal,Odisha,India"
21,390,Kandhamal,3114,G.Udayagiri,415801,Burupati,"Burupati,G.Udayagiri,Kandhamal,Odisha,India"
21,390,Kandhamal,3118,Phiringia ,416341,Sitikapati,"Sitikapati,Phiringia,Kandhamal,Odisha,India"
21,390,Kandhamal,3122,Belaghar ,417103,Salapati,"Salapati,Belaghar,Kandhamal,Odisha,India"
21,391,Baudh,3128,Manamunda,417906,Bichanapati,"Bichanapati,Manamunda,Baudh,Odisha,India"
21,393,Balangir,3142,Balangir,420114,Bijapati,"Bijapati,Balangir,Balangir,Odisha,India"
21,393,Balangir,3146,Turekela ,420839,Mahulpati,"Mahulpati,Turekela,Balangir,Odisha,India"
21,394,Nuapada,3155,KOMNA,421944,Balipati,"Balipati,KOMNA,Nuapada,Odisha,India"
21,394,Nuapada,3156,KHARIAR,421984,Kendupati,"Kendupati,KHARIAR,Nuapada,Odisha,India"
21,395,Kalahandi,3160,Madanpur Rampur ,422597,Bijapati,"Bijapati,Madanpur Rampur,Kalahandi,Odisha,India"
21,395,Kalahandi,3162,Lanjigarh  ,423102,Kendupati,"Kendupati,Lanjigarh,Kalahandi,Odisha,India"
21,395,Kalahandi,3165,Kegaon ,423599,Kendupati,"Kendupati,Kegaon,Kalahandi,Odisha,India"
21,395,Kalahandi,3165,Kegaon ,423628,Balipati,"Balipati,Kegaon,Kalahandi,Odisha,India"
21,395,Kalahandi,3166,Junagarh,423689,Kendupati,"Kendupati,Junagarh,Kalahandi,Odisha,India"
