STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
8,104,Alwar,499,Alwar,72717,Kithoor,"Kithoor,Alwar,Alwar,Rajasthan,India"
8,109,Dausa,533,Baswa,78101,Dhigariya Kapoor,"Dhigariya Kapoor,Baswa,Dausa,Rajasthan,India"
8,113,Jodhpur,569,Bhopalgarh,84884,Koor,"Koor,Bhopalgarh,Jodhpur,Rajasthan,India"
8,114,Jaisalmer,574,Jaisalmer,86028,Kangoor,"Kangoor,Jaisalmer,Jaisalmer,Rajasthan,India"
8,115,Barmer,582,Barmer,88364,Barmer Adrash Agoor,"Barmer Adrash Agoor,Barmer,Barmer,Rajasthan,India"
8,116,Jalor,588,Bhinmal,89362,Loor,"Loor,Bhinmal,Jalor,Rajasthan,India"
8,116,Jalor,588,Bhinmal,89376,Thoor,"Thoor,Bhinmal,Jalor,Rajasthan,India"
8,116,Jalor,588,Bhinmal,89393,Chandoor,"Chandoor,Bhinmal,Jalor,Rajasthan,India"
8,119,Ajmer,611,Nasirabad,92165,Bithoor,"Bithoor,Nasirabad,Ajmer,Rajasthan,India"
8,121,Bundi,622,Hindoli,93861,Sathoor,"Sathoor,Hindoli,Bundi,Rajasthan,India"
8,123,Rajsamand,642,Kumbhalgarh,96892,Joor,"Joor,Kumbhalgarh,Rajsamand,Rajasthan,India"
8,124,Dungarpur,647,Aspur,97764,Parda Thoor,"Parda Thoor,Aspur,Dungarpur,Rajasthan,India"
8,124,Dungarpur,647,Aspur,97782,Palthoor,"Palthoor,Aspur,Dungarpur,Rajasthan,India"
8,124,Dungarpur,649,Simalwara,98319,Dhechra Mashoor,"Dhechra Mashoor,Simalwara,Dungarpur,Rajasthan,India"
8,125,Banswara,654,Kushalgarh,99623,Bala Sindoor,"Bala Sindoor,Kushalgarh,Banswara,Rajasthan,India"
8,126,Chittaurgarh,658,Rawatbhata,100623,Latoor,"Latoor,Rawatbhata,Chittaurgarh,Rajasthan,India"
8,128,Baran,676,Chhabra,103475,Neem Thoor,"Neem Thoor,Chhabra,Baran,Rajasthan,India"
8,128,Baran,677,Chhipabarod,103596,Neemthoor,"Neemthoor,Chhipabarod,Baran,Rajasthan,India"
8,129,Jhalawar,678,Khanpur,103957,Neem Thoor,"Neem Thoor,Khanpur,Jhalawar,Rajasthan,India"
8,130,Udaipur,689,Girwa,106420,Thoor,"Thoor,Girwa,Udaipur,Rajasthan,India"
8,130,Udaipur,693,Sarada,107503,Dhani Sipoor,"Dhani Sipoor,Sarada,Udaipur,Rajasthan,India"
8,130,Udaipur,693,Sarada,107504,Sipoor,"Sipoor,Sarada,Udaipur,Rajasthan,India"
