STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
8,104,Alwar,503,Lachhmangarh,73489,Pagseri,"Pagseri,Lachhmangarh,Alwar,Rajasthan,India"
8,104,Alwar,503,Lachhmangarh,73663,Baseri,"Baseri,Lachhmangarh,Alwar,Rajasthan,India"
8,105,Bharatpur,513,Bayana,75167,Raseri,"Raseri,Bayana,Bharatpur,Rajasthan,India"
8,106,Dhaulpur,515,Baseri,0,Baseri,"Baseri,Baseri,Dhaulpur,Rajasthan,India"
8,106,Dhaulpur,515,Baseri,75430,Baseri,"Baseri,Baseri,Dhaulpur,Rajasthan,India"
8,107,Karauli,523,Karauli,76611,Baseri,"Baseri,Karauli,Karauli,Rajasthan,India"
8,107,Karauli,523,Karauli,76759,Saseri,"Saseri,Karauli,Karauli,Rajasthan,India"
8,109,Dausa,535,Sikrai,78418,Baseri,"Baseri,Sikrai,Dausa,Rajasthan,India"
8,110,Jaipur,546,Jaipur,80214,Baseri,"Baseri,Jaipur,Jaipur,Rajasthan,India"
8,110,Jaipur,549,Bassi,80723,Baseri,"Baseri,Bassi,Jaipur,Rajasthan,India"
8,112,Nagaur,559,Jayal,82654,Boseri,"Boseri,Jayal,Nagaur,Rajasthan,India"
8,115,Barmer,577,Sheo,86728,Moseri,"Moseri,Sheo,Barmer,Rajasthan,India"
8,115,Barmer,582,Barmer,88317,Saganseri,"Saganseri,Barmer,Barmer,Rajasthan,India"
8,116,Jalor,588,Bhinmal,89373,Ghaseri,"Ghaseri,Bhinmal,Jalor,Rajasthan,India"
8,116,Jalor,588,Bhinmal,89408,Panseri,"Panseri,Bhinmal,Jalor,Rajasthan,India"
8,122,Bhilwara,627,Asind,94647,Malaseri,"Malaseri,Asind,Bhilwara,Rajasthan,India"
8,130,Udaipur,687,Kotra,105946,Adiseri,"Adiseri,Kotra,Udaipur,Rajasthan,India"
