STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
8,101,Bikaner,478,Khajuwala,69758,Dantaur,"Dantaur,Khajuwala,Bikaner,Rajasthan,India"
8,104,Alwar,498,Ramgarh,72687,Sirmaur,"Sirmaur,Ramgarh,Alwar,Rajasthan,India"
8,104,Alwar,500,Bansur,0,Bansur,"Bansur,Bansur,Alwar,Rajasthan,India"
8,104,Alwar,500,Bansur,72979,Kasba Bansur,"Kasba Bansur,Bansur,Alwar,Rajasthan,India"
8,105,Bharatpur,508,Deeg,74372,Nahroli Thakur,"Nahroli Thakur,Deeg,Bharatpur,Rajasthan,India"
8,105,Bharatpur,511,Bharatpur,74687,Dhaur,"Dhaur,Bharatpur,Bharatpur,Rajasthan,India"
8,105,Bharatpur,511,Bharatpur,74747,Barakhur,"Barakhur,Bharatpur,Bharatpur,Rajasthan,India"
8,105,Bharatpur,514,Rupbas,75293,Khera Thakur,"Khera Thakur,Rupbas,Bharatpur,Rajasthan,India"
8,106,Dhaulpur,515,Baseri,75442,Dhaur,"Dhaur,Baseri,Dhaulpur,Rajasthan,India"
8,106,Dhaulpur,515,Baseri,75459,Chilakhur,"Chilakhur,Baseri,Dhaulpur,Rajasthan,India"
8,106,Dhaulpur,516,Bari,75589,Sagaur,"Sagaur,Bari,Dhaulpur,Rajasthan,India"
8,106,Dhaulpur,516,Bari,75651,Dadur,"Dadur,Bari,Dhaulpur,Rajasthan,India"
8,106,Dhaulpur,516,Bari,75691,Gutakhur,"Gutakhur,Bari,Dhaulpur,Rajasthan,India"
8,107,Karauli,524,Mandrail,76873,Manakhur,"Manakhur,Mandrail,Karauli,Rajasthan,India"
8,108,Sawai Madhopur,527,Bamanwas,77285,Naroli Chaur,"Naroli Chaur,Bamanwas,Sawai Madhopur,Rajasthan,India"
8,108,Sawai Madhopur,528,Malarna Doongar,77372,Malarna Chaur,"Malarna Chaur,Malarna Doongar,Sawai Madhopur,Rajasthan,India"
8,108,Sawai Madhopur,531,Sawai Madhopur,77705,Rawanjna Chaur,"Rawanjna Chaur,Sawai Madhopur,Sawai Madhopur,Rajasthan,India"
8,110,Jaipur,546,Jaipur,80186,Sarna Chaur,"Sarna Chaur,Jaipur,Jaipur,Rajasthan,India"
8,110,Jaipur,546,Jaipur,80245,Malpura Chaur,"Malpura Chaur,Jaipur,Jaipur,Rajasthan,India"
8,112,Nagaur,0,Nagaur,0,Nagaur,"Nagaur,Nagaur,Nagaur,Rajasthan,India"
8,112,Nagaur,560,Nagaur,0,Nagaur,"Nagaur,Nagaur,Nagaur,Rajasthan,India"
8,113,Jodhpur,568,Osian,84699,Jur,"Jur,Osian,Jodhpur,Rajasthan,India"
8,114,Jaisalmer,574,Jaisalmer,85884,Habur,"Habur,Jaisalmer,Jaisalmer,Rajasthan,India"
8,118,Pali,603,Desuri,91179,Sarthur,"Sarthur,Desuri,Pali,Rajasthan,India"
8,124,Dungarpur,647,Aspur,97854,Dhani Khajur,"Dhani Khajur,Aspur,Dungarpur,Rajasthan,India"
8,125,Banswara,654,Kushalgarh,99554,Bhoora-Daur,"Bhoora-Daur,Kushalgarh,Banswara,Rajasthan,India"
8,128,Baran,677,Chhipabarod,103732,Saikur,"Saikur,Chhipabarod,Baran,Rajasthan,India"
8,129,Jhalawar,678,Khanpur,103933,Chapa Khur,"Chapa Khur,Khanpur,Jhalawar,Rajasthan,India"
8,129,Jhalawar,682,Pachpahar,104971,Hatya Gaur,"Hatya Gaur,Pachpahar,Jhalawar,Rajasthan,India"
8,130,Udaipur,692,Salumbar,107226,Gur,"Gur,Salumbar,Udaipur,Rajasthan,India"
