STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
8,102,Churu,482,Rajgarh,70177,Bhuwari,"Bhuwari,Rajgarh,Churu,Rajasthan,India"
8,102,Churu,485,Ratangarh,70667,Kanwari,"Kanwari,Ratangarh,Churu,Rajasthan,India"
8,103,Jhunjhunun,490,Khetri,71503,Thathwari,"Thathwari,Khetri,Jhunjhunun,Rajasthan,India"
8,103,Jhunjhunun,491,Nawalgarh,71650,Bharwari,"Bharwari,Nawalgarh,Jhunjhunun,Rajasthan,India"
8,103,Jhunjhunun,492,Udaipurwati,71737,Naharwari,"Naharwari,Udaipurwati,Jhunjhunun,Rajasthan,India"
8,103,Jhunjhunun,492,Udaipurwati,71738,Girawari,"Girawari,Udaipurwati,Jhunjhunun,Rajasthan,India"
8,104,Alwar,493,Behror,71848,Bawari,"Bawari,Behror,Alwar,Rajasthan,India"
8,104,Alwar,494,Mandawar,71991,Sundarwari,"Sundarwari,Mandawar,Alwar,Rajasthan,India"
8,104,Alwar,495,Kotkasim,72204,Kirwari,"Kirwari,Kotkasim,Alwar,Rajasthan,India"
8,104,Alwar,498,Ramgarh,72562,Loharwari,"Loharwari,Ramgarh,Alwar,Rajasthan,India"
8,104,Alwar,498,Ramgarh,72606,Danwari,"Danwari,Ramgarh,Alwar,Rajasthan,India"
8,104,Alwar,499,Alwar,72786,Liwari,"Liwari,Alwar,Alwar,Rajasthan,India"
8,104,Alwar,499,Alwar,72856,Kairwari,"Kairwari,Alwar,Alwar,Rajasthan,India"
8,104,Alwar,501,Thanagazi,73113,Gowari,"Gowari,Thanagazi,Alwar,Rajasthan,India"
8,104,Alwar,502,Rajgarh,73220,Rundh Kankwari,"Rundh Kankwari,Rajgarh,Alwar,Rajasthan,India"
8,104,Alwar,502,Rajgarh,73221,Kankwari,"Kankwari,Rajgarh,Alwar,Rajasthan,India"
8,104,Alwar,502,Rajgarh,73239,Tilwari,"Tilwari,Rajgarh,Alwar,Rajasthan,India"
8,104,Alwar,502,Rajgarh,73371,Mandawari,"Mandawari,Rajgarh,Alwar,Rajasthan,India"
8,104,Alwar,502,Rajgarh,73396,Andwari,"Andwari,Rajgarh,Alwar,Rajasthan,India"
8,104,Alwar,502,Rajgarh,73401,Ghatwari,"Ghatwari,Rajgarh,Alwar,Rajasthan,India"
8,104,Alwar,503,Lachhmangarh,73477,Naswari,"Naswari,Lachhmangarh,Alwar,Rajasthan,India"
8,104,Alwar,504,Kathumar,73777,Kantwari,"Kantwari,Kathumar,Alwar,Rajasthan,India"
8,104,Alwar,504,Kathumar,73788,Kalwari,"Kalwari,Kathumar,Alwar,Rajasthan,India"
8,104,Alwar,504,Kathumar,73802,Salwari,"Salwari,Kathumar,Alwar,Rajasthan,India"
8,105,Bharatpur,505,Pahari,73844,Kanwari,"Kanwari,Pahari,Bharatpur,Rajasthan,India"
8,105,Bharatpur,505,Pahari,73860,Bamanwari,"Bamanwari,Pahari,Bharatpur,Rajasthan,India"
8,105,Bharatpur,505,Pahari,73861,Ahalwari,"Ahalwari,Pahari,Bharatpur,Rajasthan,India"
8,105,Bharatpur,505,Pahari,73896,Satwari,"Satwari,Pahari,Bharatpur,Rajasthan,India"
8,105,Bharatpur,505,Pahari,73960,Ghaghwari,"Ghaghwari,Pahari,Bharatpur,Rajasthan,India"
8,105,Bharatpur,506,Kaman,73990,Pathwari,"Pathwari,Kaman,Bharatpur,Rajasthan,India"
8,105,Bharatpur,506,Kaman,74004,Netwari,"Netwari,Kaman,Bharatpur,Rajasthan,India"
8,105,Bharatpur,506,Kaman,74030,Kanwari,"Kanwari,Kaman,Bharatpur,Rajasthan,India"
8,105,Bharatpur,506,Kaman,74061,Chhichharwari,"Chhichharwari,Kaman,Bharatpur,Rajasthan,India"
8,105,Bharatpur,508,Deeg,74393,Rundh Gharwari,"Rundh Gharwari,Deeg,Bharatpur,Rajasthan,India"
8,105,Bharatpur,508,Deeg,74395,Chak Gharwari,"Chak Gharwari,Deeg,Bharatpur,Rajasthan,India"
8,105,Bharatpur,508,Deeg,74396,Gharwari,"Gharwari,Deeg,Bharatpur,Rajasthan,India"
8,105,Bharatpur,510,Kumher,74545,Didwari,"Didwari,Kumher,Bharatpur,Rajasthan,India"
8,105,Bharatpur,512,Weir,74870,Naiwari,"Naiwari,Weir,Bharatpur,Rajasthan,India"
8,105,Bharatpur,512,Weir,74873,Bijwari,"Bijwari,Weir,Bharatpur,Rajasthan,India"
8,105,Bharatpur,513,Bayana,75168,Karwari,"Karwari,Bayana,Bharatpur,Rajasthan,India"
8,106,Dhaulpur,518,Dhaulpur,76047,Patewari,"Patewari,Dhaulpur,Dhaulpur,Rajasthan,India"
8,106,Dhaulpur,519,Rajakhera,76112,Hathwari,"Hathwari,Rajakhera,Dhaulpur,Rajasthan,India"
8,107,Karauli,520,Todabhim,76326,Kalwari,"Kalwari,Todabhim,Karauli,Rajasthan,India"
8,107,Karauli,521,Nadoti,76416,Ganwari,"Ganwari,Nadoti,Karauli,Rajasthan,India"
8,107,Karauli,523,Karauli,76725,Banswari,"Banswari,Karauli,Karauli,Rajasthan,India"
8,107,Karauli,523,Karauli,76795,Gerai Ki Guwari,"Gerai Ki Guwari,Karauli,Karauli,Rajasthan,India"
8,107,Karauli,525,Sapotra,76915,Jatwari,"Jatwari,Sapotra,Karauli,Rajasthan,India"
8,107,Karauli,525,Sapotra,76970,Unchi Guwari,"Unchi Guwari,Sapotra,Karauli,Rajasthan,India"
8,107,Karauli,525,Sapotra,77005,Doodha Ki Guwari,"Doodha Ki Guwari,Sapotra,Karauli,Rajasthan,India"
8,107,Karauli,525,Sapotra,77006,Matoriya Ki Guwari,"Matoriya Ki Guwari,Sapotra,Karauli,Rajasthan,India"
