STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
33,602,Thiruvallur,5693,Gummidipoondi,628597,Kuruvattucheri,"Kuruvattucheri,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628623,Thandalacheri,"Thandalacheri,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,0,Ponneri,"Ponneri,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628637,Annamalaicheri,"Annamalaicheri,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628648,Kumaranjeri,"Kumaranjeri,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628677,Ernakuracheri,"Ernakuracheri,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628680,Guduvanjeri,"Guduvanjeri,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628685,Somanjeri,"Somanjeri,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628686,Athamanjeri,"Athamanjeri,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628687,Sirulapooncheri,"Sirulapooncheri,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628701,Kadamanjeri,"Kadamanjeri,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628741,Sekkanjeri,"Sekkanjeri,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5695,Uthukkottai,628792,Avicheri,"Avicheri,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5695,Uthukkottai,628796,Puducheri,"Puducheri,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5695,Uthukkottai,628798,Ananderi,"Ananderi,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5695,Uthukkottai,628812,Seeyancheri,"Seeyancheri,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5695,Uthukkottai,628813,Panayancheri,"Panayancheri,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5696,Tiruttani,628889,Velanjeri,"Velanjeri,Tiruttani,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5697,Pallipattu,628949,Athimanjeri,"Athimanjeri,Pallipattu,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629000,Seeyanjeri,"Seeyanjeri,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629004,Thirukkananjeri,"Thirukkananjeri,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629016,Ayalacheri,"Ayalacheri,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5699,Poonamallee,629126,Karunakaracheri,"Karunakaracheri,Poonamallee,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5699,Poonamallee,629132,Kolappancheri,"Kolappancheri,Poonamallee,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5700,Ambattur,629166,Vellacheri,"Vellacheri,Ambattur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5701,Mathavaram,629183,Elandancheri,"Elandancheri,Mathavaram,Thiruvallur,Tamilnadu,India"
33,604,Kancheepuram,5702,Sriperumbudur,629223,Kollacheri,"Kollacheri,Sriperumbudur,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5702,Sriperumbudur,629230,Padicheri,"Padicheri,Sriperumbudur,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5702,Sriperumbudur,629248,Puducheri,"Puducheri,Sriperumbudur,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5702,Sriperumbudur,629250,Karunakaracheri,"Karunakaracheri,Sriperumbudur,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5702,Sriperumbudur,629254,Kaduvancheri,"Kaduvancheri,Sriperumbudur,Kancheepuram,Tamilnadu,India"
