STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
33,602,Thiruvallur,5693,Gummidipoondi,628598,Verkadu,"Verkadu,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628674,Sirupazhaverkadu,"Sirupazhaverkadu,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628720,Thottakadu,"Thottakadu,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628749,Orakkadu,"Orakkadu,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629029,Othikkadu,"Othikkadu,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629079,Valasaivettikadu,"Valasaivettikadu,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629107,Thodukadu,"Thodukadu,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,604,Kancheepuram,5709,Tirukalukundram,629896,Pattikadu,"Pattikadu,Tirukalukundram,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5710,Maduranthakam,630136,Thirumukkadu,"Thirumukkadu,Maduranthakam,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5711,Cheyyur,630180,Periavelikadu,"Periavelikadu,Cheyyur,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5711,Cheyyur,630211,Chitharkadu,"Chitharkadu,Cheyyur,Kancheepuram,Tamilnadu,India"
33,605,Vellore,5713,Katpadi,630392,Serkadu,"Serkadu,Katpadi,Vellore,Tamilnadu,India"
33,605,Vellore,5717,Vellore,630853,Thuttikadu,"Thuttikadu,Vellore,Vellore,Tamilnadu,India"
33,606,Tiruvannamalai,5724,Polur,631678,Pattarikadu,"Pattarikadu,Polur,Tiruvannamalai,Tamilnadu,India"
33,606,Tiruvannamalai,5724,Polur,631679,Thumbakkadu,"Thumbakkadu,Polur,Tiruvannamalai,Tamilnadu,India"
33,607,Viluppuram,5729,Tindivanam,632645,Atchikadu,"Atchikadu,Tindivanam,Viluppuram,Tamilnadu,India"
33,607,Viluppuram,5731,Viluppuram,632889,Vettukkadu,"Vettukkadu,Viluppuram,Viluppuram,Tamilnadu,India"
33,607,Viluppuram,5733,Sankarapuram,633234,Moolakkadu,"Moolakkadu,Sankarapuram,Viluppuram,Tamilnadu,India"
33,607,Viluppuram,5733,Sankarapuram,633280,Kanankadu,"Kanankadu,Sankarapuram,Viluppuram,Tamilnadu,India"
33,607,Viluppuram,5733,Sankarapuram,633297,Vellarikkadu,"Vellarikkadu,Sankarapuram,Viluppuram,Tamilnadu,India"
33,607,Viluppuram,5733,Sankarapuram,633301,Aravankadu,"Aravankadu,Sankarapuram,Viluppuram,Tamilnadu,India"
33,607,Viluppuram,5735,Ulundurpettai,633672,Sikkadu,"Sikkadu,Ulundurpettai,Viluppuram,Tamilnadu,India"
33,608,Salem,5736,Mettur,633771,Moolakkadu,"Moolakkadu,Mettur,Salem,Tamilnadu,India"
33,608,Salem,5741,Yercaud,634080,Periyakkadu,"Periyakkadu,Yercaud,Salem,Tamilnadu,India"
33,608,Salem,5741,Yercaud,634089,Anakkadu,"Anakkadu,Yercaud,Salem,Tamilnadu,India"
33,608,Salem,5741,Yercaud,634098,Olavakkadu,"Olavakkadu,Yercaud,Salem,Tamilnadu,India"
33,608,Salem,5741,Yercaud,634110,Aramanaikadu,"Aramanaikadu,Yercaud,Salem,Tamilnadu,India"
33,608,Salem,5741,Yercaud,634113,Keeraikkadu,"Keeraikkadu,Yercaud,Salem,Tamilnadu,India"
33,608,Salem,5741,Yercaud,634118,Pelakkadu,"Pelakkadu,Yercaud,Salem,Tamilnadu,India"
33,608,Salem,5741,Yercaud,634130,Kombaikkadu,"Kombaikkadu,Yercaud,Salem,Tamilnadu,India"
33,608,Salem,5741,Yercaud,634131,Pottakkadu,"Pottakkadu,Yercaud,Salem,Tamilnadu,India"
33,608,Salem,5742,Vazhapadi,634171,Pallikkadu,"Pallikkadu,Vazhapadi,Salem,Tamilnadu,India"
33,609,Namakkal   ,5746,Rasipuram,634513,Molakkadu,"Molakkadu,Rasipuram,Namakkal,Tamilnadu,India"
33,609,Namakkal   ,5746,Rasipuram,634521,Molakkadu,"Molakkadu,Rasipuram,Namakkal,Tamilnadu,India"
33,616,Ariyalur  ,5785,Sendurai,636314,Asaveerankudikkadu,"Asaveerankudikkadu,Sendurai,Ariyalur,Tamilnadu,India"
33,616,Ariyalur  ,5787,Ariyalur,636494,Chinnapattakadu,"Chinnapattakadu,Ariyalur,Ariyalur,Tamilnadu,India"
33,617,Cuddalore,5789,Cuddalore,636668,Kudikkadu,"Kudikkadu,Cuddalore,Cuddalore,Tamilnadu,India"
33,617,Cuddalore,5789,Cuddalore,636669,karaikkadu,"karaikkadu,Cuddalore,Cuddalore,Tamilnadu,India"
33,617,Cuddalore,5791,Chidambaram,636785,Tachakkadu,"Tachakkadu,Chidambaram,Cuddalore,Tamilnadu,India"
33,617,Cuddalore,5792,Kattumannarkoil,636945,Valasakkadu,"Valasakkadu,Kattumannarkoil,Cuddalore,Tamilnadu,India"
33,617,Cuddalore,5793,Virudhachalam,637194,Vannankudikadu,"Vannankudikadu,Virudhachalam,Cuddalore,Tamilnadu,India"
33,618,Nagapattinam  ,5797,Kuthalam,637507,Asikkadu,"Asikkadu,Kuthalam,Nagapattinam,Tamilnadu,India"
33,618,Nagapattinam  ,5802,Vedaranyam,637819,Thagattur Subramanyakadu,"Thagattur Subramanyakadu,Vedaranyam,Nagapattinam,Tamilnadu,India"
33,618,Nagapattinam  ,5802,Vedaranyam,637820,Thagattur Pethachikadu,"Thagattur Pethachikadu,Vedaranyam,Nagapattinam,Tamilnadu,India"
33,618,Nagapattinam  ,5802,Vedaranyam,637843,Kodiakkadu,"Kodiakkadu,Vedaranyam,Nagapattinam,Tamilnadu,India"
33,619,Thiruvarur,5803,Valangaiman,637864,Uthukkadu,"Uthukkadu,Valangaiman,Thiruvarur,Tamilnadu,India"
33,619,Thiruvarur,5807,Needamangalam,638144,Pullavarayankudikadu,"Pullavarayankudikadu,Needamangalam,Thiruvarur,Tamilnadu,India"
33,619,Thiruvarur,5808,Mannargudi,638216,Rajalikudikadu,"Rajalikudikadu,Mannargudi,Thiruvarur,Tamilnadu,India"
33,619,Thiruvarur,5808,Mannargudi,638249,Maravakkadu,"Maravakkadu,Mannargudi,Thiruvarur,Tamilnadu,India"
33,619,Thiruvarur,5809,Thiruthuraipoondi,638341,Nunakkadu,"Nunakkadu,Thiruthuraipoondi,Thiruvarur,Tamilnadu,India"
33,619,Thiruvarur,5809,Thiruthuraipoondi,638380,Vadakadu,"Vadakadu,Thiruthuraipoondi,Thiruvarur,Tamilnadu,India"
33,619,Thiruvarur,5809,Thiruthuraipoondi,638390,Thondiyakkadu,"Thondiyakkadu,Thiruthuraipoondi,Thiruvarur,Tamilnadu,India"
33,620,Thanjavur,5812,Papanasam,638673,Nallavanniyankudikadu,"Nallavanniyankudikadu,Papanasam,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5814,Thanjavur,638789,Thottakadu,"Thottakadu,Thanjavur,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5814,Thanjavur,638797,Melachittakadu,"Melachittakadu,Thanjavur,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5815,Orathanadu,638875,Samayamkudikadu,"Samayamkudikadu,Orathanadu,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5815,Orathanadu,638885,Palankandakudikadu,"Palankandakudikadu,Orathanadu,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5815,Orathanadu,638905,Pulavankadu,"Pulavankadu,Orathanadu,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5815,Orathanadu,638916,Poyyundarkudikadu,"Poyyundarkudikadu,Orathanadu,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5815,Orathanadu,638942,Cholagankudikadu,"Cholagankudikadu,Orathanadu,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5815,Orathanadu,638947,Mullurpattikadu,"Mullurpattikadu,Orathanadu,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5815,Orathanadu,638954,Pandipalamanaikadu,"Pandipalamanaikadu,Orathanadu,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5815,Orathanadu,638964,Periyakottaikadu,"Periyakottaikadu,Orathanadu,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,638985,Ettupulikkadu,"Ettupulikkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,638988,Veppankkadu,"Veppankkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,638990,Kollukkadu,"Kollukkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639015,Vadiakkadu,"Vadiakkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639020,Santhankadu,"Santhankadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639026,Vattathikkottai Kollukkadu,"Vattathikkottai Kollukkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639034,Madathikkadu,"Madathikkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639035,Thuravikkadu,"Thuravikkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639045,Kalugapulikkadu,"Kalugapulikkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639056,Anaikkadu,"Anaikkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639069,Karappankadu,"Karappankadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639074,Palaverikadu,"Palaverikadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639075,Mannankadu,"Mannankadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639084,Ottankadu,"Ottankadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639091,Kattaiyankadu,"Kattaiyankadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639096,Chatramthokkalikadu,"Chatramthokkalikadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639097,Thokkalikkadu,"Thokkalikkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639105,Thambikottai Melakkadu,"Thambikottai Melakkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639108,Thambikottai Vadakadu,"Thambikottai Vadakadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639115,Kullukkadu,"Kullukkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639118,Andikkadu,"Andikkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639121,Aladikkadu,"Aladikkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639125,Thandamaraikadu,"Thandamaraikadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639128,Rendampulikadu,"Rendampulikadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5816,Pattukkottai,639129,Alamathikkadu,"Alamathikkadu,Pattukkottai,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5817,Peravurani,639137,Thonthupullikkadu,"Thonthupullikkadu,Peravurani,Thanjavur,Tamilnadu,India"
33,620,Thanjavur,5817,Peravurani,639138,Kalluranikkadu,"Kalluranikkadu,Peravurani,Thanjavur,Tamilnadu,India"
