STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
33,602,Thiruvallur,5695,Uthukkottai,628802,Sennankaranai,"Sennankaranai,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5695,Uthukkottai,628843,Manjankaranai,"Manjankaranai,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629090,Thenkaranai,"Thenkaranai,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,604,Kancheepuram,5702,Sriperumbudur,629253,Oddankaranai,"Oddankaranai,Sriperumbudur,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5702,Sriperumbudur,629327,Valayakaranai,"Valayakaranai,Sriperumbudur,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5706,Chengalpattu,629461,Krishanankaranai,"Krishanankaranai,Chengalpattu,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5706,Chengalpattu,629478,Echankaranai,"Echankaranai,Chengalpattu,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5709,Tirukalukundram,629907,Echankaranai,"Echankaranai,Tirukalukundram,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5710,Maduranthakam,630035,Ladakaranai,"Ladakaranai,Maduranthakam,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5710,Maduranthakam,630039,Pasuvankaranai,"Pasuvankaranai,Maduranthakam,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5710,Maduranthakam,630065,Kattukkaranai,"Kattukkaranai,Maduranthakam,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5710,Maduranthakam,630114,Gunankaranai,"Gunankaranai,Maduranthakam,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5710,Maduranthakam,630117,Veppankaranai,"Veppankaranai,Maduranthakam,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5711,Cheyyur,630173,Pekkaranai,"Pekkaranai,Cheyyur,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5711,Cheyyur,630222,Maluvankaranai,"Maluvankaranai,Cheyyur,Kancheepuram,Tamilnadu,India"
33,606,Tiruvannamalai,5723,Vandavasi,631554,Mazhavankaranai,"Mazhavankaranai,Vandavasi,Tiruvannamalai,Tamilnadu,India"
33,606,Tiruvannamalai,5723,Vandavasi,631573,Japthikaranai,"Japthikaranai,Vandavasi,Tiruvannamalai,Tamilnadu,India"
33,607,Viluppuram,5729,Tindivanam,632547,Kilkaranai,"Kilkaranai,Tindivanam,Viluppuram,Tamilnadu,India"
33,607,Viluppuram,5731,Viluppuram,632850,Melkaranai,"Melkaranai,Viluppuram,Viluppuram,Tamilnadu,India"
33,607,Viluppuram,5731,Viluppuram,632881,Kasbakaranai,"Kasbakaranai,Viluppuram,Viluppuram,Tamilnadu,India"
33,607,Viluppuram,5732,Tirukkoyilur,633123,Kasbakaranai,"Kasbakaranai,Tirukkoyilur,Viluppuram,Tamilnadu,India"
