STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
33,602,Thiruvallur,5693,Gummidipoondi,628557,Sunnambukkulam,"Sunnambukkulam,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629056,Thaneerkulam,"Thaneerkulam,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5700,Ambattur,629170,Pammadukulam,"Pammadukulam,Ambattur,Thiruvallur,Tamilnadu,India"
33,604,Kancheepuram,5707,Kancheepuram,629633,Sekkankulam,"Sekkankulam,Kancheepuram,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5707,Kancheepuram,629643,Navettikulam,"Navettikulam,Kancheepuram,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5707,Kancheepuram,629695,Thonankulam,"Thonankulam,Kancheepuram,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5707,Kancheepuram,629715,Iyangarkulam,"Iyangarkulam,Kancheepuram,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5708,Uthiramerur,629755,Kannikulam,"Kannikulam,Uthiramerur,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5708,Uthiramerur,629772,Malayankulam,"Malayankulam,Uthiramerur,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5708,Uthiramerur,629800,Kattankulam,"Kattankulam,Uthiramerur,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5710,Maduranthakam,630144,Munnakulam,"Munnakulam,Maduranthakam,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5711,Cheyyur,630170,Kalkulam,"Kalkulam,Cheyyur,Kancheepuram,Tamilnadu,India"
33,605,Vellore,5714,Wallajah,630489,Jambukulam,"Jambukulam,Wallajah,Vellore,Tamilnadu,India"
33,605,Vellore,5718,Vaniyambadi,630956,Bheemakulam,"Bheemakulam,Vaniyambadi,Vellore,Tamilnadu,India"
33,606,Tiruvannamalai,5722,Cheyyar,631230,Vellakulam,"Vellakulam,Cheyyar,Tiruvannamalai,Tamilnadu,India"
33,606,Tiruvannamalai,5723,Vandavasi,631476,Septankulam,"Septankulam,Vandavasi,Tiruvannamalai,Tamilnadu,India"
33,606,Tiruvannamalai,5723,Vandavasi,631566,Nelliankulam,"Nelliankulam,Vandavasi,Tiruvannamalai,Tamilnadu,India"
33,606,Tiruvannamalai,5725,Chengam,631899,Kottakulam,"Kottakulam,Chengam,Tiruvannamalai,Tamilnadu,India"
33,606,Tiruvannamalai,5727,Tiruvannamalai,632099,Kazhikulam,"Kazhikulam,Tiruvannamalai,Tiruvannamalai,Tamilnadu,India"
33,607,Viluppuram,5728,Gingee,632394,Pallikulam,"Pallikulam,Gingee,Viluppuram,Tamilnadu,India"
33,607,Viluppuram,5729,Tindivanam,632705,Soliasokkulam,"Soliasokkulam,Tindivanam,Viluppuram,Tamilnadu,India"
33,607,Viluppuram,5731,Viluppuram,633024,Mokshakulam,"Mokshakulam,Viluppuram,Viluppuram,Tamilnadu,India"
33,607,Viluppuram,5732,Tirukkoyilur,633063,Velakulam,"Velakulam,Tirukkoyilur,Viluppuram,Tamilnadu,India"
33,609,Namakkal   ,5746,Rasipuram,634499,Kallankulam,"Kallankulam,Rasipuram,Namakkal,Tamilnadu,India"
33,609,Namakkal   ,5748,Paramathi-Velur,634753,Idumbankulam,"Idumbankulam,Paramathi-Velur,Namakkal,Tamilnadu,India"
33,610,Erode,5750,Bhavani,634880,Thalakulam,"Thalakulam,Bhavani,Erode,Tamilnadu,India"
33,610,Erode,5750,Bhavani,634887,Andikulam,"Andikulam,Bhavani,Erode,Tamilnadu,India"
33,610,Erode,5752,Perundurai,634977,Kallakulam,"Kallakulam,Perundurai,Erode,Tamilnadu,India"
33,612,Dindigul,5760,Palani,635142,Chithraikulam,"Chithraikulam,Palani,Dindigul,Tamilnadu,India"
33,612,Dindigul,5760,Palani,635172,Tamaraikulam,"Tamaraikulam,Palani,Dindigul,Tamilnadu,India"
33,612,Dindigul,5764,Dindigul,635363,Tamaraikulam,"Tamaraikulam,Dindigul,Dindigul,Tamilnadu,India"
33,614,Tiruchirappalli,5774,Musiri,635737,Kattukulam,"Kattukulam,Musiri,Tiruchirappalli,Tamilnadu,India"
33,614,Tiruchirappalli,5780,Thiruverumbur,636026,Tirunedunkulam,"Tirunedunkulam,Thiruverumbur,Tiruchirappalli,Tamilnadu,India"
33,617,Cuddalore,5789,Cuddalore,636664,Vettukkulam,"Vettukkulam,Cuddalore,Cuddalore,Tamilnadu,India"
33,617,Cuddalore,5793,Virudhachalam,637125,Periyakappankulam,"Periyakappankulam,Virudhachalam,Cuddalore,Tamilnadu,India"
33,617,Cuddalore,5794,Tittakudi,637254,Kanchirankulam,"Kanchirankulam,Tittakudi,Cuddalore,Tamilnadu,India"
33,617,Cuddalore,5794,Tittakudi,637286,Pudhukulam,"Pudhukulam,Tittakudi,Cuddalore,Tamilnadu,India"
